cantNod,Tiempo,Tipo
2,0.003439,Completo
2,0.002382,Completo
2,0.002028,Completo
2,0.001982,Completo
2,0.001881,Completo
2,0.011197,Completo
2,0.001802,Completo
2,0.001782,Completo
2,0.001808,Completo
2,0.001779,Completo
2,0.001799,Completo
2,0.001807,Completo
2,0.001784,Completo
2,0.001774,Completo
2,0.001781,Completo
2,0.001782,Completo
2,0.001793,Completo
2,0.001771,Completo
2,0.001844,Completo
2,0.015103,Completo
2,0.001828,Completo
2,0.001771,Completo
2,0.001809,Completo
2,0.001803,Completo
2,0.001784,Completo
2,0.001805,Completo
2,0.001773,Completo
2,0.0018,Completo
2,0.001785,Completo
2,0.001837,Completo
2,0.001858,Completo
2,0.01066,Completo
2,0.001775,Completo
2,0.001787,Completo
2,0.001773,Completo
2,0.011839,Completo
2,0.001837,Completo
2,0.001834,Completo
2,0.001858,Completo
2,0.001801,Completo
3,0.005469,Completo
3,0.004622,Completo
3,0.004259,Completo
3,0.004096,Completo
3,0.004119,Completo
3,0.00413,Completo
3,0.004094,Completo
3,0.004107,Completo
3,0.004118,Completo
3,0.004041,Completo
3,0.00405,Completo
3,0.004072,Completo
3,0.004122,Completo
3,0.004047,Completo
3,0.00409,Completo
3,0.004068,Completo
3,0.00404,Completo
3,0.004073,Completo
3,0.004105,Completo
3,0.004071,Completo
3,0.004074,Completo
3,0.00404,Completo
3,0.014108,Completo
3,0.004187,Completo
3,0.004048,Completo
3,0.004077,Completo
3,0.004235,Completo
3,0.004318,Completo
3,0.013106,Completo
3,0.014726,Completo
3,0.004387,Completo
3,0.004392,Completo
3,0.004356,Completo
3,0.004367,Completo
3,0.004205,Completo
3,0.00426,Completo
3,0.004223,Completo
3,0.004396,Completo
3,0.004358,Completo
3,0.004336,Completo
4,0.036917,Completo
4,0.019755,Completo
4,0.010029,Completo
4,0.009917,Completo
4,0.02002,Completo
4,0.010149,Completo
4,0.010177,Completo
4,0.018476,Completo
4,0.009531,Completo
4,0.009563,Completo
4,0.009546,Completo
4,0.009543,Completo
4,0.009634,Completo
4,0.009538,Completo
4,0.009513,Completo
4,0.009551,Completo
4,0.009599,Completo
4,0.009513,Completo
4,0.009592,Completo
4,0.009585,Completo
4,0.009557,Completo
4,0.009519,Completo
4,0.009552,Completo
4,0.009564,Completo
4,0.009499,Completo
4,0.009495,Completo
4,0.009476,Completo
4,0.009466,Completo
4,0.009506,Completo
4,0.009549,Completo
4,0.009494,Completo
4,0.009582,Completo
4,0.009528,Completo
4,0.009522,Completo
4,0.009465,Completo
4,0.009513,Completo
4,0.009522,Completo
4,0.0095,Completo
4,0.009458,Completo
4,0.009489,Completo
5,0.027322,Completo
5,0.024669,Completo
5,0.023277,Completo
5,0.022781,Completo
5,0.022284,Completo
5,0.022031,Completo
5,0.021856,Completo
5,0.046838,Completo
5,0.030719,Completo
5,0.021888,Completo
5,0.021797,Completo
5,0.021834,Completo
5,0.021877,Completo
5,0.021739,Completo
5,0.021706,Completo
5,0.021763,Completo
5,0.021758,Completo
5,0.021744,Completo
5,0.021935,Completo
5,0.021812,Completo
5,0.021738,Completo
5,0.021786,Completo
5,0.021702,Completo
5,0.021776,Completo
5,0.02179,Completo
5,0.021749,Completo
5,0.0217,Completo
5,0.0218,Completo
5,0.021733,Completo
5,0.02173,Completo
5,0.021716,Completo
5,0.021777,Completo
5,0.021783,Completo
5,0.021881,Completo
5,0.021744,Completo
5,0.021829,Completo
5,0.021789,Completo
5,0.021719,Completo
5,0.021738,Completo
5,0.021799,Completo
6,0.060503,Completo
6,0.058802,Completo
6,0.057569,Completo
6,0.056486,Completo
6,0.055713,Completo
6,0.05552,Completo
6,0.054843,Completo
6,0.054602,Completo
6,0.054425,Completo
6,0.054524,Completo
6,0.054459,Completo
6,0.054475,Completo
6,0.054466,Completo
6,0.054634,Completo
6,0.054348,Completo
6,0.054461,Completo
6,0.054376,Completo
6,0.054399,Completo
6,0.054391,Completo
6,0.054401,Completo
6,0.05435,Completo
6,0.054442,Completo
6,0.054389,Completo
6,0.054464,Completo
6,0.054303,Completo
6,0.054489,Completo
6,0.054434,Completo
6,0.054474,Completo
6,0.054329,Completo
6,0.054492,Completo
6,0.05446,Completo
6,0.054482,Completo
6,0.054268,Completo
6,0.054454,Completo
6,0.054333,Completo
6,0.054476,Completo
6,0.054385,Completo
6,0.054452,Completo
6,0.054292,Completo
6,0.054281,Completo
7,0.136542,Completo
7,0.134892,Completo
7,0.143961,Completo
7,0.175409,Completo
7,0.148162,Completo
7,0.153031,Completo
