cantNod,Tiempo,Tipo
2,0.013131,MitadAristas
2,0.001981,MitadAristas
2,0.00182,MitadAristas
2,0.001739,MitadAristas
2,0.001711,MitadAristas
2,0.001678,MitadAristas
2,0.001671,MitadAristas
2,0.001681,MitadAristas
2,0.001714,MitadAristas
2,0.001674,MitadAristas
2,0.001703,MitadAristas
2,0.001658,MitadAristas
2,0.001646,MitadAristas
2,0.001647,MitadAristas
2,0.00165,MitadAristas
2,0.001666,MitadAristas
2,0.001687,MitadAristas
2,0.001652,MitadAristas
2,0.001661,MitadAristas
2,0.001644,MitadAristas
2,0.001652,MitadAristas
2,0.001671,MitadAristas
2,0.00168,MitadAristas
2,0.001673,MitadAristas
2,0.001654,MitadAristas
2,0.001671,MitadAristas
2,0.001659,MitadAristas
2,0.00167,MitadAristas
2,0.001695,MitadAristas
2,0.001646,MitadAristas
2,0.001662,MitadAristas
2,0.001649,MitadAristas
2,0.001654,MitadAristas
2,0.001675,MitadAristas
2,0.001661,MitadAristas
2,0.001649,MitadAristas
2,0.001647,MitadAristas
2,0.001674,MitadAristas
2,0.001654,MitadAristas
2,0.001677,MitadAristas
3,0.014121,MitadAristas
3,0.004357,MitadAristas
3,0.003577,MitadAristas
3,0.016987,MitadAristas
3,0.011996,MitadAristas
3,0.003023,MitadAristas
3,0.003005,MitadAristas
3,0.003227,MitadAristas
3,0.002917,MitadAristas
3,0.002868,MitadAristas
3,0.003214,MitadAristas
3,0.003183,MitadAristas
3,0.002935,MitadAristas
3,0.003114,MitadAristas
3,0.002875,MitadAristas
3,0.002879,MitadAristas
3,0.00281,MitadAristas
3,0.002828,MitadAristas
3,0.003139,MitadAristas
3,0.003164,MitadAristas
3,0.003216,MitadAristas
3,0.003135,MitadAristas
3,0.003114,MitadAristas
3,0.003094,MitadAristas
3,0.003035,MitadAristas
3,0.003069,MitadAristas
3,0.002947,MitadAristas
3,0.003056,MitadAristas
3,0.002907,MitadAristas
3,0.002893,MitadAristas
3,0.00309,MitadAristas
3,0.003086,MitadAristas
3,0.003097,MitadAristas
3,0.002996,MitadAristas
3,0.002956,MitadAristas
3,0.003091,MitadAristas
3,0.003049,MitadAristas
3,0.002949,MitadAristas
3,0.002901,MitadAristas
3,0.003078,MitadAristas
4,0.016416,MitadAristas
4,0.021431,MitadAristas
4,0.008194,MitadAristas
4,0.00723,MitadAristas
4,0.015577,MitadAristas
4,0.004913,MitadAristas
4,0.004716,MitadAristas
4,0.006712,MitadAristas
4,0.004642,MitadAristas
4,0.006511,MitadAristas
4,0.006405,MitadAristas
4,0.004622,MitadAristas
4,0.004675,MitadAristas
4,0.006536,MitadAristas
4,0.009029,MitadAristas
4,0.006555,MitadAristas
4,0.008406,MitadAristas
4,0.004759,MitadAristas
4,0.004685,MitadAristas
4,0.007575,MitadAristas
4,0.00715,MitadAristas
4,0.007259,MitadAristas
4,0.007048,MitadAristas
4,0.004689,MitadAristas
4,0.007833,MitadAristas
4,0.007301,MitadAristas
4,0.006629,MitadAristas
4,0.006621,MitadAristas
4,0.004667,MitadAristas
4,0.007871,MitadAristas
4,0.007573,MitadAristas
4,0.007482,MitadAristas
4,0.006664,MitadAristas
4,0.00471,MitadAristas
4,0.004562,MitadAristas
4,0.007572,MitadAristas
4,0.006458,MitadAristas
4,0.00462,MitadAristas
4,0.007344,MitadAristas
4,0.006426,MitadAristas
5,0.019263,MitadAristas
5,0.020469,MitadAristas
5,0.014899,MitadAristas
5,0.011558,MitadAristas
5,0.009725,MitadAristas
5,0.010783,MitadAristas
5,0.012109,MitadAristas
5,0.009141,MitadAristas
5,0.009974,MitadAristas
5,0.012853,MitadAristas
5,0.008941,MitadAristas
5,0.008993,MitadAristas
5,0.009965,MitadAristas
5,0.012828,MitadAristas
5,0.010527,MitadAristas
5,0.008756,MitadAristas
5,0.008751,MitadAristas
5,0.009466,MitadAristas
5,0.007349,MitadAristas
5,0.011251,MitadAristas
5,0.0115,MitadAristas
5,0.01169,MitadAristas
5,0.00872,MitadAristas
5,0.013676,MitadAristas
5,0.011446,MitadAristas
5,0.011739,MitadAristas
5,0.012834,MitadAristas
5,0.019604,MitadAristas
5,0.017265,MitadAristas
5,0.007177,MitadAristas
5,0.012675,MitadAristas
5,0.008606,MitadAristas
5,0.011478,MitadAristas
5,0.007319,MitadAristas
5,0.010622,MitadAristas
5,0.009805,MitadAristas
5,0.009378,MitadAristas
5,0.00716,MitadAristas
5,0.011813,MitadAristas
5,0.009089,MitadAristas
6,0.054938,MitadAristas
6,0.031233,MitadAristas
6,0.029229,MitadAristas
6,0.019597,MitadAristas
6,0.017543,MitadAristas
6,0.029081,MitadAristas
6,0.023548,MitadAristas
