cantNod,Tiempo,Tipo
2,0.032542,NigualM
2,0.067221,NigualM
2,0.023109,NigualM
2,0.01747,NigualM
2,0.015909,NigualM
2,0.022281,NigualM
2,0.017462,NigualM
2,0.020384,NigualM
2,0.023434,NigualM
2,0.020506,NigualM
2,0.020985,NigualM
2,0.020623,NigualM
2,0.021054,NigualM
2,0.020629,NigualM
2,0.021237,NigualM
2,0.021139,NigualM
2,0.022491,NigualM
2,0.032813,NigualM
2,0.028674,NigualM
2,0.024574,NigualM
2,0.028772,NigualM
2,0.024905,NigualM
2,0.022429,NigualM
2,0.022844,NigualM
2,0.021937,NigualM
2,0.022546,NigualM
2,0.022993,NigualM
2,0.022874,NigualM
2,0.018253,NigualM
2,0.014238,NigualM
2,0.026336,NigualM
2,0.027303,NigualM
2,0.026235,NigualM
2,0.025201,NigualM
2,0.047489,NigualM
2,0.048712,NigualM
2,0.0454,NigualM
2,0.04573,NigualM
2,0.04606,NigualM
2,0.045775,NigualM
3,0.068498,NigualM
3,0.066783,NigualM
3,0.064649,NigualM
3,0.066147,NigualM
3,0.071234,NigualM
3,0.066663,NigualM
3,0.059312,NigualM
3,0.064553,NigualM
3,0.06751,NigualM
3,0.062378,NigualM
3,0.071094,NigualM
3,0.068583,NigualM
3,0.064022,NigualM
3,0.068528,NigualM
3,0.071815,NigualM
3,0.067084,NigualM
3,0.069575,NigualM
3,0.061255,NigualM
3,0.057251,NigualM
3,0.064869,NigualM
3,0.059597,NigualM
3,0.069089,NigualM
3,0.067184,NigualM
3,0.067374,NigualM
3,0.062022,NigualM
3,0.070822,NigualM
3,0.070162,NigualM
3,0.068923,NigualM
3,0.065796,NigualM
3,0.064333,NigualM
3,0.066322,NigualM
3,0.065155,NigualM
3,0.064292,NigualM
3,0.068452,NigualM
3,0.06531,NigualM
3,0.065501,NigualM
3,0.060173,NigualM
3,0.070677,NigualM
3,0.06712,NigualM
3,0.067244,NigualM
4,0.093335,NigualM
4,0.088428,NigualM
4,0.092844,NigualM
4,0.085737,NigualM
4,0.118733,NigualM
4,0.096632,NigualM
4,0.08518,NigualM
4,0.088563,NigualM
4,0.082334,NigualM
4,0.068568,NigualM
4,0.087111,NigualM
4,0.090934,NigualM
4,0.090674,NigualM
4,0.092096,NigualM
4,0.082595,NigualM
4,0.079582,NigualM
4,0.078917,NigualM
4,0.089682,NigualM
4,0.085116,NigualM
4,0.089916,NigualM
4,0.082064,NigualM
4,0.092688,NigualM
4,0.086354,NigualM
4,0.081783,NigualM
4,0.094372,NigualM
4,0.110814,NigualM
4,0.081603,NigualM
4,0.078906,NigualM
4,0.086939,NigualM
4,0.089481,NigualM
4,0.088463,NigualM
4,0.078531,NigualM
4,0.076802,NigualM
4,0.086439,NigualM
