cantNod,Tiempo,Tipo
2,0.00338,Completo
2,0.001968,Completo
2,0.001594,Completo
2,0.001582,Completo
2,0.001598,Completo
2,0.001518,Completo
2,0.001597,Completo
2,0.001542,Completo
2,0.001543,Completo
2,0.001545,Completo
2,0.001563,Completo
2,0.001515,Completo
2,0.001499,Completo
2,0.001517,Completo
2,0.001503,Completo
2,0.001523,Completo
2,0.001549,Completo
2,0.001519,Completo
2,0.001527,Completo
2,0.001491,Completo
2,0.001511,Completo
2,0.001537,Completo
2,0.001556,Completo
2,0.00153,Completo
2,0.001518,Completo
2,0.001516,Completo
2,0.0015,Completo
2,0.001531,Completo
2,0.001505,Completo
2,0.001517,Completo
2,0.001481,Completo
2,0.001558,Completo
2,0.001531,Completo
2,0.001554,Completo
2,0.001524,Completo
2,0.001499,Completo
2,0.001534,Completo
2,0.001496,Completo
2,0.001516,Completo
2,0.001579,Completo
3,0.006514,Completo
3,0.004414,Completo
3,0.003417,Completo
3,0.003432,Completo
3,0.003386,Completo
3,0.003428,Completo
3,0.003368,Completo
3,0.00343,Completo
3,0.003352,Completo
3,0.003423,Completo
3,0.003377,Completo
3,0.003398,Completo
3,0.003379,Completo
3,0.003437,Completo
3,0.003401,Completo
3,0.003425,Completo
3,0.003407,Completo
3,0.00344,Completo
3,0.003351,Completo
3,0.003372,Completo
3,0.003374,Completo
3,0.003377,Completo
3,0.003371,Completo
3,0.003344,Completo
3,0.003396,Completo
3,0.003425,Completo
3,0.003409,Completo
3,0.003394,Completo
3,0.003389,Completo
3,0.003388,Completo
3,0.003397,Completo
3,0.003361,Completo
3,0.003352,Completo
3,0.003364,Completo
3,0.003443,Completo
3,0.003357,Completo
3,0.003427,Completo
3,0.003402,Completo
3,0.003375,Completo
3,0.003424,Completo
4,0.013699,Completo
4,0.010248,Completo
4,0.008827,Completo
4,0.008324,Completo
4,0.008242,Completo
4,0.008056,Completo
4,0.008074,Completo
4,0.007903,Completo
4,0.008057,Completo
4,0.007899,Completo
4,0.008036,Completo
4,0.008004,Completo
4,0.00795,Completo
4,0.008007,Completo
4,0.008039,Completo
4,0.008015,Completo
4,0.00795,Completo
4,0.008032,Completo
4,0.008011,Completo
4,0.008031,Completo
4,0.007897,Completo
4,0.007973,Completo
4,0.008016,Completo
4,0.007989,Completo
4,0.008063,Completo
4,0.007951,Completo
4,0.008028,Completo
4,0.007957,Completo
4,0.008069,Completo
4,0.008021,Completo
4,0.008029,Completo
4,0.007978,Completo
4,0.007991,Completo
4,0.007971,Completo
4,0.007953,Completo
4,0.007952,Completo
4,0.007967,Completo
4,0.00798,Completo
4,0.007984,Completo
4,0.007932,Completo
5,0.030141,Completo
5,0.025679,Completo
5,0.023399,Completo
5,0.022503,Completo
5,0.021827,Completo
5,0.021197,Completo
5,0.020825,Completo
5,0.020335,Completo
5,0.020331,Completo
5,0.020296,Completo
5,0.020484,Completo
5,0.020316,Completo
5,0.020433,Completo
5,0.020452,Completo
5,0.020489,Completo
5,0.020171,Completo
5,0.020053,Completo
5,0.019809,Completo
5,0.019849,Completo
5,0.019901,Completo
5,0.019873,Completo
5,0.019903,Completo
5,0.019896,Completo
5,0.019828,Completo
5,0.019924,Completo
5,0.019807,Completo
5,0.0198,Completo
5,0.019986,Completo
5,0.01983,Completo
5,0.019901,Completo
5,0.019856,Completo
5,0.019833,Completo
5,0.019773,Completo
5,0.019839,Completo
5,0.019868,Completo
5,0.020058,Completo
5,0.02012,Completo
5,0.019723,Completo
5,0.019909,Completo
5,0.020076,Completo
6,0.06631,Completo
6,0.063382,Completo
6,0.061377,Completo
6,0.060567,Completo
6,0.060061,Completo
6,0.059406,Completo
6,0.059033,Completo
6,0.058263,Completo
6,0.056718,Completo
6,0.056683,Completo
6,0.056498,Completo
6,0.056311,Completo
6,0.056093,Completo
6,0.055939,Completo
6,0.05617,Completo
6,0.056511,Completo
6,0.055954,Completo
6,0.056067,Completo
6,0.055887,Completo
6,0.055978,Completo
6,0.056112,Completo
6,0.055887,Completo
6,0.056106,Completo
6,0.055826,Completo
6,0.05615,Completo
6,0.055746,Completo
6,0.055811,Completo
6,0.055681,Completo
6,0.055812,Completo
6,0.055676,Completo
6,0.058263,Completo
6,0.0556,Completo
6,0.056082,Completo
6,0.055697,Completo
6,0.055633,Completo
6,0.056,Completo
6,0.056038,Completo
