cantNod,Tiempo,Tipo
2,0.002746,MitadAristas
2,0.001845,MitadAristas
2,0.00183,MitadAristas
2,0.001583,MitadAristas
2,0.00154,MitadAristas
2,0.001537,MitadAristas
2,0.001517,MitadAristas
2,0.001602,MitadAristas
2,0.001496,MitadAristas
2,0.001504,MitadAristas
2,0.00148,MitadAristas
2,0.001463,MitadAristas
2,0.001473,MitadAristas
2,0.001496,MitadAristas
2,0.001494,MitadAristas
2,0.001491,MitadAristas
2,0.001437,MitadAristas
2,0.001438,MitadAristas
2,0.00146,MitadAristas
2,0.001471,MitadAristas
2,0.001438,MitadAristas
2,0.001501,MitadAristas
2,0.001463,MitadAristas
2,0.001479,MitadAristas
2,0.001439,MitadAristas
2,0.001464,MitadAristas
2,0.001439,MitadAristas
2,0.001475,MitadAristas
2,0.00145,MitadAristas
2,0.001529,MitadAristas
2,0.001493,MitadAristas
2,0.001498,MitadAristas
2,0.00147,MitadAristas
2,0.001456,MitadAristas
2,0.001446,MitadAristas
2,0.001475,MitadAristas
2,0.001471,MitadAristas
2,0.001483,MitadAristas
2,0.001467,MitadAristas
2,0.001464,MitadAristas
3,0.00412,MitadAristas
3,0.020633,MitadAristas
3,0.004356,MitadAristas
3,0.00291,MitadAristas
3,0.00277,MitadAristas
3,0.003008,MitadAristas
3,0.002792,MitadAristas
3,0.002725,MitadAristas
3,0.002641,MitadAristas
3,0.002828,MitadAristas
3,0.002805,MitadAristas
3,0.00268,MitadAristas
3,0.002665,MitadAristas
3,0.002586,MitadAristas
3,0.002625,MitadAristas
3,0.002703,MitadAristas
3,0.002555,MitadAristas
3,0.002567,MitadAristas
3,0.002544,MitadAristas
3,0.002663,MitadAristas
3,0.002689,MitadAristas
3,0.002653,MitadAristas
3,0.002636,MitadAristas
3,0.002675,MitadAristas
3,0.002598,MitadAristas
3,0.002541,MitadAristas
3,0.00258,MitadAristas
3,0.002604,MitadAristas
3,0.00269,MitadAristas
3,0.002649,MitadAristas
3,0.002698,MitadAristas
3,0.002647,MitadAristas
3,0.002667,MitadAristas
3,0.002667,MitadAristas
3,0.002569,MitadAristas
3,0.002585,MitadAristas
3,0.002611,MitadAristas
3,0.002565,MitadAristas
3,0.002643,MitadAristas
3,0.002585,MitadAristas
4,0.027317,MitadAristas
4,0.008908,MitadAristas
4,0.006635,MitadAristas
4,0.008202,MitadAristas
