cantNod,Tiempo,Tipo
2,0.010385,NigualM
2,0.006911,NigualM
2,0.005616,NigualM
2,0.005436,NigualM
2,0.005314,NigualM
2,0.005487,NigualM
2,0.005207,NigualM
2,0.005151,NigualM
2,0.005245,NigualM
2,0.005159,NigualM
2,0.005222,NigualM
2,0.005256,NigualM
2,0.005205,NigualM
2,0.005175,NigualM
2,0.005107,NigualM
2,0.005229,NigualM
2,0.005252,NigualM
2,0.005245,NigualM
2,0.005227,NigualM
2,0.005298,NigualM
2,0.005162,NigualM
2,0.005115,NigualM
2,0.005177,NigualM
2,0.005245,NigualM
2,0.006077,NigualM
2,0.005929,NigualM
2,0.005864,NigualM
2,0.005807,NigualM
2,0.005967,NigualM
2,0.005906,NigualM
2,0.006057,NigualM
2,0.006043,NigualM
2,0.00603,NigualM
2,0.005986,NigualM
2,0.005992,NigualM
2,0.006005,NigualM
2,0.006037,NigualM
2,0.006035,NigualM
2,0.005892,NigualM
2,0.005837,NigualM
3,0.021234,NigualM
3,0.016051,NigualM
3,0.013573,NigualM
3,0.013054,NigualM
3,0.013069,NigualM
3,0.013057,NigualM
3,0.013034,NigualM
3,0.012978,NigualM
3,0.013087,NigualM
3,0.013112,NigualM
3,0.013199,NigualM
3,0.013136,NigualM
3,0.013237,NigualM
3,0.013251,NigualM
3,0.013039,NigualM
3,0.013149,NigualM
3,0.013089,NigualM
3,0.013036,NigualM
3,0.012952,NigualM
3,0.013347,NigualM
3,0.013116,NigualM
3,0.013057,NigualM
3,0.029206,NigualM
3,0.013242,NigualM
3,0.012944,NigualM
3,0.013319,NigualM
3,0.01326,NigualM
3,0.013268,NigualM
3,0.013197,NigualM
3,0.013397,NigualM
3,0.013294,NigualM
3,0.012999,NigualM
3,0.01295,NigualM
3,0.0131,NigualM
3,0.013117,NigualM
3,0.013049,NigualM
3,0.012982,NigualM
3,0.013137,NigualM
3,0.013024,NigualM
3,0.013039,NigualM
4,0.032335,NigualM
4,0.027936,NigualM
4,0.025639,NigualM
4,0.02166,NigualM
4,0.020651,NigualM
4,0.020223,NigualM
4,0.018143,NigualM
4,0.024234,NigualM
4,0.017339,NigualM
4,0.016471,NigualM
4,0.024343,NigualM
4,0.022159,NigualM
4,0.022073,NigualM
4,0.029874,NigualM
4,0.006925,NigualM
4,0.006088,NigualM
4,0.005082,NigualM
4,0.005025,NigualM
4,0.006247,NigualM
4,0.006115,NigualM
4,0.005912,NigualM
4,0.005837,NigualM
4,0.006404,NigualM
4,0.006049,NigualM
4,0.005131,NigualM
4,0.006686,NigualM
4,0.005868,NigualM
4,0.005659,NigualM
4,0.005053,NigualM
4,0.005702,NigualM
4,0.005959,NigualM
4,0.005774,NigualM
4,0.006352,NigualM
4,0.006142,NigualM
4,0.005753,NigualM
4,0.006245,NigualM
4,0.005738,NigualM
4,0.006168,NigualM
4,0.005644,NigualM
4,0.005636,NigualM
5,0.013059,NigualM
5,0.010101,NigualM
5,0.011211,NigualM
5,0.010094,NigualM
5,0.009537,NigualM
5,0.008487,NigualM
5,0.010461,NigualM
5,0.008116,NigualM
5,0.010214,NigualM
5,0.010648,NigualM
5,0.008945,NigualM
5,0.008438,NigualM
5,0.009499,NigualM
5,0.008894,NigualM
5,0.009028,NigualM
5,0.009342,NigualM
5,0.008373,NigualM
5,0.008428,NigualM
5,0.008575,NigualM
5,0.008381,NigualM
5,0.009434,NigualM
5,0.008762,NigualM
5,0.009687,NigualM
5,0.009747,NigualM
5,0.008927,NigualM
5,0.008668,NigualM
5,0.008846,NigualM
5,0.009113,NigualM
5,0.008615,NigualM
5,0.008202,NigualM
5,0.008229,NigualM
5,0.009564,NigualM
5,0.007473,NigualM
5,0.008994,NigualM
5,0.008142,NigualM
5,0.008862,NigualM
5,0.008218,NigualM
5,0.00928,NigualM
5,0.008995,NigualM
5,0.007934,NigualM
6,0.015462,NigualM
6,0.016712,NigualM
6,0.014666,NigualM
6,0.014378,NigualM
6,0.026488,NigualM
6,0.01351,NigualM
6,0.013659,NigualM
6,0.011049,NigualM
6,0.012687,NigualM
6,0.012421,NigualM
6,0.010808,NigualM
6,0.012027,NigualM
6,0.012811,NigualM
6,0.013075,NigualM
6,0.011558,NigualM
6,0.012283,NigualM
