cantNod,Res,Tiempo,Tipo
1,0,0.006292,GrafoRandomDMediaHeurNipo
1,0,0.003757,GrafoRandomDMediaHeurEmi
1,0,0.007744,BusquedaLocalLinealEmi
1,0,0.008485,BusquedaLocalCuadraticaEmi
1,0,0.006143,GrafoRandomDMediaHeurNipo
1,0,0.003675,GrafoRandomDMediaHeurEmi
1,0,0.007349,BusquedaLocalLinealEmi
1,0,0.008438,BusquedaLocalCuadraticaEmi
1,0,0.006099,GrafoRandomDMediaHeurNipo
1,0,0.00402,GrafoRandomDMediaHeurEmi
1,0,0.007314,BusquedaLocalLinealEmi
1,0,0.008057,BusquedaLocalCuadraticaEmi
1,0,0.006068,GrafoRandomDMediaHeurNipo
1,0,0.003935,GrafoRandomDMediaHeurEmi
1,0,0.007294,BusquedaLocalLinealEmi
1,0,0.008193,BusquedaLocalCuadraticaEmi
1,0,0.006007,GrafoRandomDMediaHeurNipo
1,0,0.003837,GrafoRandomDMediaHeurEmi
1,0,0.007301,BusquedaLocalLinealEmi
1,0,0.008378,BusquedaLocalCuadraticaEmi
1,0,0.00607,GrafoRandomDMediaHeurNipo
1,0,0.003864,GrafoRandomDMediaHeurEmi
1,0,0.007397,BusquedaLocalLinealEmi
1,0,0.008145,BusquedaLocalCuadraticaEmi
1,0,0.006055,GrafoRandomDMediaHeurNipo
1,0,0.003768,GrafoRandomDMediaHeurEmi
1,0,0.00736,BusquedaLocalLinealEmi
1,0,0.008133,BusquedaLocalCuadraticaEmi
1,0,0.001957,GrafoRandomDMediaHeurNipo
1,0,0.001206,GrafoRandomDMediaHeurEmi
1,0,0.002332,BusquedaLocalLinealEmi
1,0,0.002597,BusquedaLocalCuadraticaEmi
1,0,0.001948,GrafoRandomDMediaHeurNipo
1,0,0.001222,GrafoRandomDMediaHeurEmi
1,0,0.00233,BusquedaLocalLinealEmi
1,0,0.002672,BusquedaLocalCuadraticaEmi
1,0,0.001935,GrafoRandomDMediaHeurNipo
1,0,0.001212,GrafoRandomDMediaHeurEmi
1,0,0.002355,BusquedaLocalLinealEmi
