cantNod,Res,Tiempo,Tipo
1,0,0.010816,CompletoHeurEmi
1,0,0.005866,CompletoHeurEmi
1,0,0.0047,CompletoHeurEmi
1,0,0.004512,CompletoHeurEmi
1,0,0.004561,CompletoHeurEmi
1,0,0.004556,CompletoHeurEmi
1,0,0.004374,CompletoHeurEmi
1,0,0.004478,CompletoHeurEmi
1,0,0.004519,CompletoHeurEmi
1,0,0.004375,CompletoHeurEmi
1,0,0.004277,CompletoHeurEmi
1,0,0.004638,CompletoHeurEmi
1,0,0.004408,CompletoHeurEmi
1,0,0.004567,CompletoHeurEmi
1,0,0.00456,CompletoHeurEmi
1,0,0.004468,CompletoHeurEmi
1,0,0.0045,CompletoHeurEmi
1,0,0.00463,CompletoHeurEmi
1,0,0.004335,CompletoHeurEmi
1,0,0.00444,CompletoHeurEmi
1,0,0.016741,CompletoHeurEmi
1,0,0.000992,CompletoHeurEmi
1,0,0.000921,CompletoHeurEmi
1,0,0.001007,CompletoHeurEmi
1,0,0.000962,CompletoHeurEmi
1,0,0.000955,CompletoHeurEmi
1,0,0.000923,CompletoHeurEmi
1,0,0.000965,CompletoHeurEmi
1,0,0.001018,CompletoHeurEmi
1,0,0.000945,CompletoHeurEmi
2,0,0.00213,CompletoHeurEmi
2,0,0.001641,CompletoHeurEmi
2,0,0.001392,CompletoHeurEmi
2,0,0.001478,CompletoHeurEmi
2,0,0.001384,CompletoHeurEmi
2,0,0.001382,CompletoHeurEmi
2,0,0.001396,CompletoHeurEmi
2,0,0.00146,CompletoHeurEmi
2,0,0.001417,CompletoHeurEmi
2,0,0.001362,CompletoHeurEmi
2,0,0.001322,CompletoHeurEmi
2,0,0.001355,CompletoHeurEmi
2,0,0.001441,CompletoHeurEmi
2,0,0.001319,CompletoHeurEmi
2,0,0.001369,CompletoHeurEmi
2,0,0.001343,CompletoHeurEmi
2,0,0.001402,CompletoHeurEmi
2,0,0.001347,CompletoHeurEmi
2,0,0.00132,CompletoHeurEmi
2,0,0.001366,CompletoHeurEmi
2,0,0.001374,CompletoHeurEmi
2,0,0.001387,CompletoHeurEmi
2,0,0.001369,CompletoHeurEmi
2,0,0.001352,CompletoHeurEmi
2,0,0.001421,CompletoHeurEmi
2,0,0.001324,CompletoHeurEmi
2,0,0.001402,CompletoHeurEmi
2,0,0.001313,CompletoHeurEmi
2,0,0.001407,CompletoHeurEmi
2,0,0.001377,CompletoHeurEmi
3,0,0.003327,CompletoHeurEmi
3,0,0.00259,CompletoHeurEmi
3,0,0.002215,CompletoHeurEmi
3,0,0.002144,CompletoHeurEmi
3,0,0.002217,CompletoHeurEmi
3,0,0.002234,CompletoHeurEmi
3,0,0.002144,CompletoHeurEmi
3,0,0.002135,CompletoHeurEmi
3,0,0.002259,CompletoHeurEmi
3,0,0.00211,CompletoHeurEmi
3,0,0.002185,CompletoHeurEmi
3,0,0.002139,CompletoHeurEmi
3,0,0.002207,CompletoHeurEmi
3,0,0.002122,CompletoHeurEmi
3,0,0.002166,CompletoHeurEmi
3,0,0.002244,CompletoHeurEmi
3,0,0.0022,CompletoHeurEmi
3,0,0.002195,CompletoHeurEmi
3,0,0.002245,CompletoHeurEmi
3,0,0.002195,CompletoHeurEmi
3,0,0.0022,CompletoHeurEmi
3,0,0.002205,CompletoHeurEmi
3,0,0.002241,CompletoHeurEmi
3,0,0.00217,CompletoHeurEmi
3,0,0.002178,CompletoHeurEmi
3,0,0.00213,CompletoHeurEmi
3,0,0.002214,CompletoHeurEmi
3,0,0.002137,CompletoHeurEmi
3,0,0.002244,CompletoHeurEmi
3,0,0.002159,CompletoHeurEmi
4,0,0.005161,CompletoHeurEmi
4,0,0.004194,CompletoHeurEmi
4,0,0.003841,CompletoHeurEmi
4,0,0.003826,CompletoHeurEmi
4,0,0.00386,CompletoHeurEmi
4,0,0.003795,CompletoHeurEmi
4,0,0.003874,CompletoHeurEmi
4,0,0.003779,CompletoHeurEmi
4,0,0.003863,CompletoHeurEmi
4,0,0.003776,CompletoHeurEmi
4,0,0.003758,CompletoHeurEmi
4,0,0.003768,CompletoHeurEmi
4,0,0.003829,CompletoHeurEmi
4,0,0.003754,CompletoHeurEmi
4,0,0.003785,CompletoHeurEmi
4,0,0.003834,CompletoHeurEmi
4,0,0.003811,CompletoHeurEmi
4,0,0.003826,CompletoHeurEmi
4,0,0.003761,CompletoHeurEmi
4,0,0.003828,CompletoHeurEmi
4,0,0.003804,CompletoHeurEmi
4,0,0.003743,CompletoHeurEmi
4,0,0.003765,CompletoHeurEmi
4,0,0.003776,CompletoHeurEmi
4,0,0.003786,CompletoHeurEmi
4,0,0.003884,CompletoHeurEmi
4,0,0.003724,CompletoHeurEmi
4,0,0.003752,CompletoHeurEmi
4,0,0.003775,CompletoHeurEmi
4,0,0.003823,CompletoHeurEmi
5,0,0.008925,CompletoHeurEmi
5,0,0.007047,CompletoHeurEmi
5,0,0.006757,CompletoHeurEmi
5,0,0.006686,CompletoHeurEmi
5,0,0.006688,CompletoHeurEmi
5,0,0.006685,CompletoHeurEmi
5,0,0.006708,CompletoHeurEmi
5,0,0.00667,CompletoHeurEmi
5,0,0.006636,CompletoHeurEmi
5,0,0.006727,CompletoHeurEmi
5,0,0.006653,CompletoHeurEmi
5,0,0.006664,CompletoHeurEmi
5,0,0.006729,CompletoHeurEmi
5,0,0.006719,CompletoHeurEmi
5,0,0.006748,CompletoHeurEmi
5,0,0.006767,CompletoHeurEmi
5,0,0.006692,CompletoHeurEmi
5,0,0.006608,CompletoHeurEmi
5,0,0.00661,CompletoHeurEmi
5,0,0.006678,CompletoHeurEmi
5,0,0.006774,CompletoHeurEmi
5,0,0.00674,CompletoHeurEmi
5,0,0.006694,CompletoHeurEmi
5,0,0.006645,CompletoHeurEmi
5,0,0.006717,CompletoHeurEmi
5,0,0.006717,CompletoHeurEmi
5,0,0.006784,CompletoHeurEmi
5,0,0.006668,CompletoHeurEmi
5,0,0.00661,CompletoHeurEmi
5,0,0.006722,CompletoHeurEmi
6,0,0.014251,CompletoHeurEmi
6,0,0.012241,CompletoHeurEmi
6,0,0.011812,CompletoHeurEmi
6,0,0.011726,CompletoHeurEmi
6,0,0.011653,CompletoHeurEmi
6,0,0.011563,CompletoHeurEmi
