cantNod,Res,Tiempo,Tipo
1,0,0.008724,GrafoRandomDMediaHeurEmi
1,0,0.00482,GrafoRandomDMediaHeurEmi
1,0,0.004082,GrafoRandomDMediaHeurEmi
1,0,0.003175,GrafoRandomDMediaHeurEmi
1,0,0.003143,GrafoRandomDMediaHeurEmi
1,0,0.00313,GrafoRandomDMediaHeurEmi
1,0,0.003125,GrafoRandomDMediaHeurEmi
1,0,0.00315,GrafoRandomDMediaHeurEmi
1,0,0.003192,GrafoRandomDMediaHeurEmi
1,0,0.003188,GrafoRandomDMediaHeurEmi
1,0,0.003285,GrafoRandomDMediaHeurEmi
1,0,0.003495,GrafoRandomDMediaHeurEmi
1,0,0.003188,GrafoRandomDMediaHeurEmi
1,0,0.00333,GrafoRandomDMediaHeurEmi
1,0,0.003046,GrafoRandomDMediaHeurEmi
1,0,0.003306,GrafoRandomDMediaHeurEmi
1,0,0.00323,GrafoRandomDMediaHeurEmi
1,0,0.003038,GrafoRandomDMediaHeurEmi
1,0,0.00323,GrafoRandomDMediaHeurEmi
1,0,0.003165,GrafoRandomDMediaHeurEmi
1,0,0.0032,GrafoRandomDMediaHeurEmi
1,0,0.003128,GrafoRandomDMediaHeurEmi
1,0,0.003175,GrafoRandomDMediaHeurEmi
1,0,0.003015,GrafoRandomDMediaHeurEmi
1,0,0.003155,GrafoRandomDMediaHeurEmi
1,0,0.003064,GrafoRandomDMediaHeurEmi
1,0,0.003288,GrafoRandomDMediaHeurEmi
1,0,0.003105,GrafoRandomDMediaHeurEmi
1,0,0.003213,GrafoRandomDMediaHeurEmi
1,0,0.003229,GrafoRandomDMediaHeurEmi
2,0,0.012365,GrafoRandomDMediaHeurEmi
2,0,0.008387,GrafoRandomDMediaHeurEmi
2,0,0.00797,GrafoRandomDMediaHeurEmi
2,0,0.006144,GrafoRandomDMediaHeurEmi
2,0,0.006281,GrafoRandomDMediaHeurEmi
2,0,0.006346,GrafoRandomDMediaHeurEmi
2,0,0.006152,GrafoRandomDMediaHeurEmi
2,0,0.006141,GrafoRandomDMediaHeurEmi
2,0,0.006328,GrafoRandomDMediaHeurEmi
2,0,0.006408,GrafoRandomDMediaHeurEmi
2,0,0.006035,GrafoRandomDMediaHeurEmi
2,0,0.021326,GrafoRandomDMediaHeurEmi
2,0,0.002474,GrafoRandomDMediaHeurEmi
2,0,0.002335,GrafoRandomDMediaHeurEmi
2,0,0.002314,GrafoRandomDMediaHeurEmi
2,0,0.002002,GrafoRandomDMediaHeurEmi
2,0,0.001951,GrafoRandomDMediaHeurEmi
2,0,0.001998,GrafoRandomDMediaHeurEmi
2,0,0.001896,GrafoRandomDMediaHeurEmi
2,0,0.001995,GrafoRandomDMediaHeurEmi
2,0,0.001966,GrafoRandomDMediaHeurEmi
2,0,0.001983,GrafoRandomDMediaHeurEmi
2,0,0.001874,GrafoRandomDMediaHeurEmi
2,0,0.001935,GrafoRandomDMediaHeurEmi
2,0,0.001892,GrafoRandomDMediaHeurEmi
2,0,0.001914,GrafoRandomDMediaHeurEmi
2,0,0.001926,GrafoRandomDMediaHeurEmi
2,0,0.001905,GrafoRandomDMediaHeurEmi
2,0,0.001915,GrafoRandomDMediaHeurEmi
2,0,0.001929,GrafoRandomDMediaHeurEmi
3,2,0.006782,GrafoRandomDMediaHeurEmi
3,2,0.005483,GrafoRandomDMediaHeurEmi
3,2,0.005213,GrafoRandomDMediaHeurEmi
3,2,0.005278,GrafoRandomDMediaHeurEmi
3,2,0.005642,GrafoRandomDMediaHeurEmi
3,2,0.005451,GrafoRandomDMediaHeurEmi
3,2,0.005329,GrafoRandomDMediaHeurEmi
3,2,0.005144,GrafoRandomDMediaHeurEmi
3,2,0.005757,GrafoRandomDMediaHeurEmi
3,2,0.005533,GrafoRandomDMediaHeurEmi
3,2,0.00497,GrafoRandomDMediaHeurEmi
3,2,0.005335,GrafoRandomDMediaHeurEmi
3,2,0.0054,GrafoRandomDMediaHeurEmi
3,2,0.00456,GrafoRandomDMediaHeurEmi
3,2,0.004191,GrafoRandomDMediaHeurEmi
3,2,0.004205,GrafoRandomDMediaHeurEmi
3,2,0.004504,GrafoRandomDMediaHeurEmi
3,2,0.004241,GrafoRandomDMediaHeurEmi
3,2,0.00422,GrafoRandomDMediaHeurEmi
3,2,0.004101,GrafoRandomDMediaHeurEmi
3,2,0.004108,GrafoRandomDMediaHeurEmi
3,2,0.004072,GrafoRandomDMediaHeurEmi
3,2,0.00431,GrafoRandomDMediaHeurEmi
3,2,0.00419,GrafoRandomDMediaHeurEmi
3,2,0.004161,GrafoRandomDMediaHeurEmi
3,2,0.004194,GrafoRandomDMediaHeurEmi
3,2,0.004278,GrafoRandomDMediaHeurEmi
3,2,0.004352,GrafoRandomDMediaHeurEmi
3,2,0.004277,GrafoRandomDMediaHeurEmi
3,2,0.004158,GrafoRandomDMediaHeurEmi
4,6,0.00777,GrafoRandomDMediaHeurEmi
4,0,0.007132,GrafoRandomDMediaHeurEmi
4,6,0.008936,GrafoRandomDMediaHeurEmi
4,6,0.006813,GrafoRandomDMediaHeurEmi
4,6,0.007208,GrafoRandomDMediaHeurEmi
4,0,0.006609,GrafoRandomDMediaHeurEmi
4,0,0.006467,GrafoRandomDMediaHeurEmi
4,0,0.006516,GrafoRandomDMediaHeurEmi
4,6,0.006825,GrafoRandomDMediaHeurEmi
4,0,0.006435,GrafoRandomDMediaHeurEmi
4,0,0.00646,GrafoRandomDMediaHeurEmi
4,0,0.006381,GrafoRandomDMediaHeurEmi
4,0,0.006373,GrafoRandomDMediaHeurEmi
4,0,0.006384,GrafoRandomDMediaHeurEmi
4,0,0.006569,GrafoRandomDMediaHeurEmi
4,0,0.006329,GrafoRandomDMediaHeurEmi
4,6,0.006809,GrafoRandomDMediaHeurEmi
4,0,0.006397,GrafoRandomDMediaHeurEmi
4,0,0.006613,GrafoRandomDMediaHeurEmi
4,0,0.006366,GrafoRandomDMediaHeurEmi
4,6,0.006801,GrafoRandomDMediaHeurEmi
4,0,0.006419,GrafoRandomDMediaHeurEmi
4,0,0.0065,GrafoRandomDMediaHeurEmi
4,6,0.006774,GrafoRandomDMediaHeurEmi
4,6,0.006652,GrafoRandomDMediaHeurEmi
4,0,0.006321,GrafoRandomDMediaHeurEmi
4,6,0.00697,GrafoRandomDMediaHeurEmi
