cantNod,Res,Tiempo,Tipo
1,0,0.001033,FuncionEneCubo
1,0,0.000535,FuncionEneCubo
1,0,0.00042,FuncionEneCubo
1,0,0.000207,FuncionEneCubo
1,0,0.000242,FuncionEneCubo
1,0,0.000318,FuncionEneCubo
1,0,0.000247,FuncionEneCubo
1,0,0.000181,FuncionEneCubo
1,0,0.000176,FuncionEneCubo
1,0,0.00016,FuncionEneCubo
1,0,0.000171,FuncionEneCubo
1,0,0.000164,FuncionEneCubo
1,0,0.000172,FuncionEneCubo
1,0,0.000165,FuncionEneCubo
1,0,0.000172,FuncionEneCubo
1,0,0.000171,FuncionEneCubo
1,0,0.000175,FuncionEneCubo
1,0,0.000157,FuncionEneCubo
1,0,0.000167,FuncionEneCubo
1,0,0.000164,FuncionEneCubo
1,0,0.000165,FuncionEneCubo
1,0,0.000167,FuncionEneCubo
1,0,0.000349,FuncionEneCubo
1,0,0.000168,FuncionEneCubo
1,0,0.000166,FuncionEneCubo
1,0,0.000167,FuncionEneCubo
1,0,0.00016,FuncionEneCubo
1,0,0.000168,FuncionEneCubo
1,0,0.000169,FuncionEneCubo
1,0,0.000166,FuncionEneCubo
2,0,0.000927,FuncionEneCubo
2,0,0.000283,FuncionEneCubo
2,0,0.000283,FuncionEneCubo
2,0,0.000273,FuncionEneCubo
2,0,0.000262,FuncionEneCubo
2,0,0.00027,FuncionEneCubo
2,0,0.00035,FuncionEneCubo
2,0,0.00029,FuncionEneCubo
2,0,0.000352,FuncionEneCubo
2,0,0.000595,FuncionEneCubo
2,0,0.000428,FuncionEneCubo
2,0,0.000423,FuncionEneCubo
2,0,0.000391,FuncionEneCubo
2,0,0.000333,FuncionEneCubo
2,0,0.000417,FuncionEneCubo
2,0,0.000285,FuncionEneCubo
2,0,0.000283,FuncionEneCubo
2,0,0.000254,FuncionEneCubo
2,0,0.000291,FuncionEneCubo
2,0,0.000276,FuncionEneCubo
2,0,0.000273,FuncionEneCubo
2,0,0.000269,FuncionEneCubo
2,0,0.000279,FuncionEneCubo
2,0,0.000272,FuncionEneCubo
2,0,0.000259,FuncionEneCubo
2,0,0.000275,FuncionEneCubo
