cantNod,Res,Tiempo,Tipo
1,0,0.009265,GrafoRandomDMediaHeurNipo
1,0,0.00592,GrafoRandomDMediaHeurEmi
1,0,0.020944,BusquedaLocalLinealEmi
1,0,0.011405,BusquedaLocalCuadraticaEmi
1,0,0.006461,GrafoRandomDMediaHeurNipo
1,0,0.003765,GrafoRandomDMediaHeurEmi
1,0,0.009112,BusquedaLocalLinealEmi
1,0,0.008281,BusquedaLocalCuadraticaEmi
1,0,0.006245,GrafoRandomDMediaHeurNipo
1,0,0.003735,GrafoRandomDMediaHeurEmi
1,0,0.007453,BusquedaLocalLinealEmi
1,0,0.008284,BusquedaLocalCuadraticaEmi
1,0,0.006055,GrafoRandomDMediaHeurNipo
1,0,0.003684,GrafoRandomDMediaHeurEmi
1,0,0.007156,BusquedaLocalLinealEmi
1,0,0.008301,BusquedaLocalCuadraticaEmi
1,0,0.006095,GrafoRandomDMediaHeurNipo
1,0,0.003795,GrafoRandomDMediaHeurEmi
1,0,0.007503,BusquedaLocalLinealEmi
1,0,0.008247,BusquedaLocalCuadraticaEmi
1,0,0.006163,GrafoRandomDMediaHeurNipo
1,0,0.003993,GrafoRandomDMediaHeurEmi
1,0,0.00748,BusquedaLocalLinealEmi
1,0,0.00817,BusquedaLocalCuadraticaEmi
1,0,0.006143,GrafoRandomDMediaHeurNipo
1,0,0.003675,GrafoRandomDMediaHeurEmi
1,0,0.007472,BusquedaLocalLinealEmi
1,0,0.008135,BusquedaLocalCuadraticaEmi
1,0,0.0061,GrafoRandomDMediaHeurNipo
1,0,0.003643,GrafoRandomDMediaHeurEmi
1,0,0.002388,BusquedaLocalLinealEmi
1,0,0.002666,BusquedaLocalCuadraticaEmi
1,0,0.001977,GrafoRandomDMediaHeurNipo
1,0,0.00119,GrafoRandomDMediaHeurEmi
1,0,0.002364,BusquedaLocalLinealEmi
1,0,0.002644,BusquedaLocalCuadraticaEmi
1,0,0.001959,GrafoRandomDMediaHeurNipo
1,0,0.00116,GrafoRandomDMediaHeurEmi
1,0,0.002353,BusquedaLocalLinealEmi
1,0,0.002635,BusquedaLocalCuadraticaEmi
1,0,0.001948,GrafoRandomDMediaHeurNipo
1,0,0.001165,GrafoRandomDMediaHeurEmi
1,0,0.00238,BusquedaLocalLinealEmi
1,0,0.002656,BusquedaLocalCuadraticaEmi
1,0,0.001948,GrafoRandomDMediaHeurNipo
1,0,0.001203,GrafoRandomDMediaHeurEmi
1,0,0.002322,BusquedaLocalLinealEmi
1,0,0.002646,BusquedaLocalCuadraticaEmi
1,0,0.001949,GrafoRandomDMediaHeurNipo
1,0,0.001189,GrafoRandomDMediaHeurEmi
1,0,0.002416,BusquedaLocalLinealEmi
1,0,0.002609,BusquedaLocalCuadraticaEmi
1,0,0.001971,GrafoRandomDMediaHeurNipo
1,0,0.001214,GrafoRandomDMediaHeurEmi
1,0,0.002348,BusquedaLocalLinealEmi
1,0,0.002654,BusquedaLocalCuadraticaEmi
1,0,0.001986,GrafoRandomDMediaHeurNipo
1,0,0.001193,GrafoRandomDMediaHeurEmi
1,0,0.002335,BusquedaLocalLinealEmi
1,0,0.002687,BusquedaLocalCuadraticaEmi
1,0,0.002008,GrafoRandomDMediaHeurNipo
1,0,0.00116,GrafoRandomDMediaHeurEmi
1,0,0.002395,BusquedaLocalLinealEmi
1,0,0.002647,BusquedaLocalCuadraticaEmi
1,0,0.00197,GrafoRandomDMediaHeurNipo
1,0,0.001188,GrafoRandomDMediaHeurEmi
1,0,0.002388,BusquedaLocalLinealEmi
1,0,0.002677,BusquedaLocalCuadraticaEmi
1,0,0.001972,GrafoRandomDMediaHeurNipo
1,0,0.001156,GrafoRandomDMediaHeurEmi
1,0,0.002367,BusquedaLocalLinealEmi
1,0,0.0026,BusquedaLocalCuadraticaEmi
1,0,0.00195,GrafoRandomDMediaHeurNipo
1,0,0.001185,GrafoRandomDMediaHeurEmi
1,0,0.002385,BusquedaLocalLinealEmi
1,0,0.002677,BusquedaLocalCuadraticaEmi
1,0,0.00195,GrafoRandomDMediaHeurNipo
1,0,0.001188,GrafoRandomDMediaHeurEmi
1,0,0.002393,BusquedaLocalLinealEmi
1,0,0.002619,BusquedaLocalCuadraticaEmi
1,0,0.001962,GrafoRandomDMediaHeurNipo
1,0,0.001182,GrafoRandomDMediaHeurEmi
1,0,0.002958,BusquedaLocalLinealEmi
1,0,0.002863,BusquedaLocalCuadraticaEmi
1,0,0.001932,GrafoRandomDMediaHeurNipo
1,0,0.001204,GrafoRandomDMediaHeurEmi
1,0,0.002358,BusquedaLocalLinealEmi
1,0,0.00267,BusquedaLocalCuadraticaEmi
1,0,0.001957,GrafoRandomDMediaHeurNipo
1,0,0.001191,GrafoRandomDMediaHeurEmi
1,0,0.00236,BusquedaLocalLinealEmi
1,0,0.002661,BusquedaLocalCuadraticaEmi
1,0,0.001969,GrafoRandomDMediaHeurNipo
1,0,0.001181,GrafoRandomDMediaHeurEmi
1,0,0.002356,BusquedaLocalLinealEmi
1,0,0.002664,BusquedaLocalCuadraticaEmi
1,0,0.00198,GrafoRandomDMediaHeurNipo
1,0,0.001168,GrafoRandomDMediaHeurEmi
1,0,0.002392,BusquedaLocalLinealEmi
1,0,0.002635,BusquedaLocalCuadraticaEmi
1,0,0.001945,GrafoRandomDMediaHeurNipo
1,0,0.001171,GrafoRandomDMediaHeurEmi
1,0,0.002385,BusquedaLocalLinealEmi
1,0,0.002632,BusquedaLocalCuadraticaEmi
1,0,0.001948,GrafoRandomDMediaHeurNipo
1,0,0.001208,GrafoRandomDMediaHeurEmi
1,0,0.002408,BusquedaLocalLinealEmi
1,0,0.002717,BusquedaLocalCuadraticaEmi
1,0,0.001987,GrafoRandomDMediaHeurNipo
1,0,0.001218,GrafoRandomDMediaHeurEmi
1,0,0.002397,BusquedaLocalLinealEmi
1,0,0.002618,BusquedaLocalCuadraticaEmi
1,0,0.00198,GrafoRandomDMediaHeurNipo
1,0,0.001212,GrafoRandomDMediaHeurEmi
1,0,0.002419,BusquedaLocalLinealEmi
1,0,0.002568,BusquedaLocalCuadraticaEmi
1,0,0.001971,GrafoRandomDMediaHeurNipo
1,0,0.001226,GrafoRandomDMediaHeurEmi
1,0,0.002388,BusquedaLocalLinealEmi
1,0,0.002665,BusquedaLocalCuadraticaEmi
2,0,0.00243,GrafoRandomDMediaHeurNipo
2,0,0.002904,GrafoRandomDMediaHeurEmi
2,0,0.004016,BusquedaLocalLinealEmi
2,0,0.004516,BusquedaLocalCuadraticaEmi
2,0,0.002272,GrafoRandomDMediaHeurNipo
2,0,0.002325,GrafoRandomDMediaHeurEmi
2,0,0.003461,BusquedaLocalLinealEmi
2,0,0.004209,BusquedaLocalCuadraticaEmi
2,0,0.002195,GrafoRandomDMediaHeurNipo
2,0,0.002231,GrafoRandomDMediaHeurEmi
2,0,0.00332,BusquedaLocalLinealEmi
2,0,0.003921,BusquedaLocalCuadraticaEmi
2,0,0.002142,GrafoRandomDMediaHeurNipo
2,0,0.002219,GrafoRandomDMediaHeurEmi
2,0,0.003313,BusquedaLocalLinealEmi
2,0,0.003969,BusquedaLocalCuadraticaEmi
2,0,0.002166,GrafoRandomDMediaHeurNipo
2,0,0.002212,GrafoRandomDMediaHeurEmi
2,0,0.003316,BusquedaLocalLinealEmi
2,0,0.003962,BusquedaLocalCuadraticaEmi
2,0,0.002128,GrafoRandomDMediaHeurNipo
2,0,0.00217,GrafoRandomDMediaHeurEmi
2,0,0.003323,BusquedaLocalLinealEmi
2,0,0.004,BusquedaLocalCuadraticaEmi
2,0,0.002166,GrafoRandomDMediaHeurNipo
2,0,0.002176,GrafoRandomDMediaHeurEmi
2,0,0.003279,BusquedaLocalLinealEmi
2,0,0.004008,BusquedaLocalCuadraticaEmi
2,0,0.002167,GrafoRandomDMediaHeurNipo
2,0,0.002196,GrafoRandomDMediaHeurEmi
2,0,0.003341,BusquedaLocalLinealEmi
2,0,0.003905,BusquedaLocalCuadraticaEmi
2,0,0.002156,GrafoRandomDMediaHeurNipo
2,0,0.00224,GrafoRandomDMediaHeurEmi
2,0,0.003265,BusquedaLocalLinealEmi
2,0,0.004018,BusquedaLocalCuadraticaEmi
2,0,0.002158,GrafoRandomDMediaHeurNipo
2,0,0.002225,GrafoRandomDMediaHeurEmi
