cantNod,Res,Tiempo,Tipo
1,0,0.002058,GrafoRandomDMediaHeurNipo
1,0,0.000974,GrafoRandomDMediaHeurEmi
1,0,0.002437,BusquedaLocalLinealEmi
1,0,0.002793,BusquedaLocalCuadraticaEmi
1,0,0.002078,GrafoRandomDMediaHeurNipo
1,0,0.000932,GrafoRandomDMediaHeurEmi
1,0,0.002243,BusquedaLocalLinealEmi
1,0,0.002659,BusquedaLocalCuadraticaEmi
1,0,0.001996,GrafoRandomDMediaHeurNipo
1,0,0.000969,GrafoRandomDMediaHeurEmi
1,0,0.002386,BusquedaLocalLinealEmi
1,0,0.002676,BusquedaLocalCuadraticaEmi
1,0,0.001982,GrafoRandomDMediaHeurNipo
1,0,0.000939,GrafoRandomDMediaHeurEmi
1,0,0.002276,BusquedaLocalLinealEmi
1,0,0.002711,BusquedaLocalCuadraticaEmi
1,0,0.0021,GrafoRandomDMediaHeurNipo
1,0,0.00098,GrafoRandomDMediaHeurEmi
1,0,0.002352,BusquedaLocalLinealEmi
1,0,0.002815,BusquedaLocalCuadraticaEmi
1,0,0.002038,GrafoRandomDMediaHeurNipo
1,0,0.000932,GrafoRandomDMediaHeurEmi
1,0,0.002289,BusquedaLocalLinealEmi
1,0,0.002713,BusquedaLocalCuadraticaEmi
1,0,0.002043,GrafoRandomDMediaHeurNipo
1,0,0.000931,GrafoRandomDMediaHeurEmi
1,0,0.002215,BusquedaLocalLinealEmi
1,0,0.002632,BusquedaLocalCuadraticaEmi
1,0,0.001961,GrafoRandomDMediaHeurNipo
1,0,0.000941,GrafoRandomDMediaHeurEmi
1,0,0.002277,BusquedaLocalLinealEmi
1,0,0.002671,BusquedaLocalCuadraticaEmi
1,0,0.002008,GrafoRandomDMediaHeurNipo
1,0,0.000972,GrafoRandomDMediaHeurEmi
1,0,0.002232,BusquedaLocalLinealEmi
1,0,0.002591,BusquedaLocalCuadraticaEmi
1,0,0.001985,GrafoRandomDMediaHeurNipo
1,0,0.000948,GrafoRandomDMediaHeurEmi
1,0,0.002377,BusquedaLocalLinealEmi
1,0,0.002585,BusquedaLocalCuadraticaEmi
1,0,0.002,GrafoRandomDMediaHeurNipo
1,0,0.000971,GrafoRandomDMediaHeurEmi
1,0,0.002295,BusquedaLocalLinealEmi
1,0,0.002716,BusquedaLocalCuadraticaEmi
1,0,0.001998,GrafoRandomDMediaHeurNipo
1,0,0.000962,GrafoRandomDMediaHeurEmi
1,0,0.002293,BusquedaLocalLinealEmi
