cantNod,Res,Tiempo,Tipo
1,0,0.00236,GrafoRandomDMediaHeurNipo
1,0,0.001047,GrafoRandomDMediaHeurEmi
1,0,0.002539,BusquedaLocalLinealEmi
1,0,0.002823,BusquedaLocalCuadraticaEmi
1,0,0.002086,GrafoRandomDMediaHeurNipo
1,0,0.000952,GrafoRandomDMediaHeurEmi
1,0,0.00224,BusquedaLocalLinealEmi
1,0,0.002818,BusquedaLocalCuadraticaEmi
1,0,0.002049,GrafoRandomDMediaHeurNipo
1,0,0.000962,GrafoRandomDMediaHeurEmi
1,0,0.002274,BusquedaLocalLinealEmi
1,0,0.002749,BusquedaLocalCuadraticaEmi
1,0,0.002023,GrafoRandomDMediaHeurNipo
1,0,0.000929,GrafoRandomDMediaHeurEmi
1,0,0.002277,BusquedaLocalLinealEmi
1,0,0.002708,BusquedaLocalCuadraticaEmi
1,0,0.002069,GrafoRandomDMediaHeurNipo
1,0,0.000966,GrafoRandomDMediaHeurEmi
1,0,0.002197,BusquedaLocalLinealEmi
1,0,0.00264,BusquedaLocalCuadraticaEmi
1,0,0.002105,GrafoRandomDMediaHeurNipo
1,0,0.000947,GrafoRandomDMediaHeurEmi
1,0,0.002285,BusquedaLocalLinealEmi
1,0,0.002681,BusquedaLocalCuadraticaEmi
1,0,0.002103,GrafoRandomDMediaHeurNipo
1,0,0.000947,GrafoRandomDMediaHeurEmi
1,0,0.002257,BusquedaLocalLinealEmi
1,0,0.002772,BusquedaLocalCuadraticaEmi
1,0,0.001971,GrafoRandomDMediaHeurNipo
1,0,0.000929,GrafoRandomDMediaHeurEmi
1,0,0.002234,BusquedaLocalLinealEmi
1,0,0.002658,BusquedaLocalCuadraticaEmi
1,0,0.00196,GrafoRandomDMediaHeurNipo
1,0,0.000931,GrafoRandomDMediaHeurEmi
1,0,0.002289,BusquedaLocalLinealEmi
1,0,0.002685,BusquedaLocalCuadraticaEmi
1,0,0.002003,GrafoRandomDMediaHeurNipo
1,0,0.000959,GrafoRandomDMediaHeurEmi
1,0,0.002229,BusquedaLocalLinealEmi
1,0,0.002779,BusquedaLocalCuadraticaEmi
1,0,0.002,GrafoRandomDMediaHeurNipo
1,0,0.000969,GrafoRandomDMediaHeurEmi
1,0,0.002292,BusquedaLocalLinealEmi
1,0,0.002671,BusquedaLocalCuadraticaEmi
1,0,0.001993,GrafoRandomDMediaHeurNipo
1,0,0.000937,GrafoRandomDMediaHeurEmi
1,0,0.002262,BusquedaLocalLinealEmi
