cantNod,Res,Tiempo,Tipo
1,0,0.005722,GrafoRandomDMediaHeurNipo
1,0,0.002745,GrafoRandomDMediaHeurEmi
1,0,0.010493,BusquedaLocalLinealEmi
1,0,0.006447,BusquedaLocalCuadraticaEmi
1,0,0.003838,GrafoRandomDMediaHeurNipo
1,0,0.001686,GrafoRandomDMediaHeurEmi
1,0,0.003889,BusquedaLocalLinealEmi
1,0,0.004683,BusquedaLocalCuadraticaEmi
1,0,0.003243,GrafoRandomDMediaHeurNipo
1,0,0.001614,GrafoRandomDMediaHeurEmi
1,0,0.003776,BusquedaLocalLinealEmi
1,0,0.00459,BusquedaLocalCuadraticaEmi
1,0,0.003338,GrafoRandomDMediaHeurNipo
1,0,0.001633,GrafoRandomDMediaHeurEmi
1,0,0.00368,BusquedaLocalLinealEmi
1,0,0.00462,BusquedaLocalCuadraticaEmi
1,0,0.003183,GrafoRandomDMediaHeurNipo
1,0,0.001614,GrafoRandomDMediaHeurEmi
1,0,0.003627,BusquedaLocalLinealEmi
1,0,0.004438,BusquedaLocalCuadraticaEmi
1,0,0.003277,GrafoRandomDMediaHeurNipo
1,0,0.001625,GrafoRandomDMediaHeurEmi
1,0,0.003611,BusquedaLocalLinealEmi
1,0,0.004516,BusquedaLocalCuadraticaEmi
1,0,0.003288,GrafoRandomDMediaHeurNipo
1,0,0.001609,GrafoRandomDMediaHeurEmi
1,0,0.003643,BusquedaLocalLinealEmi
1,0,0.004508,BusquedaLocalCuadraticaEmi
1,0,0.00324,GrafoRandomDMediaHeurNipo
1,0,0.001616,GrafoRandomDMediaHeurEmi
1,0,0.003679,BusquedaLocalLinealEmi
1,0,0.004526,BusquedaLocalCuadraticaEmi
1,0,0.003245,GrafoRandomDMediaHeurNipo
1,0,0.001617,GrafoRandomDMediaHeurEmi
1,0,0.003742,BusquedaLocalLinealEmi
1,0,0.004526,BusquedaLocalCuadraticaEmi
1,0,0.003303,GrafoRandomDMediaHeurNipo
1,0,0.001668,GrafoRandomDMediaHeurEmi
1,0,0.00362,BusquedaLocalLinealEmi
1,0,0.004463,BusquedaLocalCuadraticaEmi
1,0,0.003145,GrafoRandomDMediaHeurNipo
1,0,0.001613,GrafoRandomDMediaHeurEmi
1,0,0.003707,BusquedaLocalLinealEmi
1,0,0.004687,BusquedaLocalCuadraticaEmi
1,0,0.00316,GrafoRandomDMediaHeurNipo
1,0,0.001609,GrafoRandomDMediaHeurEmi
1,0,0.003681,BusquedaLocalLinealEmi
1,0,0.00456,BusquedaLocalCuadraticaEmi
1,0,0.003251,GrafoRandomDMediaHeurNipo
1,0,0.001625,GrafoRandomDMediaHeurEmi
1,0,0.003649,BusquedaLocalLinealEmi
1,0,0.004674,BusquedaLocalCuadraticaEmi
1,0,0.003262,GrafoRandomDMediaHeurNipo
1,0,0.001616,GrafoRandomDMediaHeurEmi
1,0,0.003617,BusquedaLocalLinealEmi
1,0,0.004538,BusquedaLocalCuadraticaEmi
1,0,0.003309,GrafoRandomDMediaHeurNipo
1,0,0.001678,GrafoRandomDMediaHeurEmi
1,0,0.003729,BusquedaLocalLinealEmi
1,0,0.004575,BusquedaLocalCuadraticaEmi
2,0,0.003828,GrafoRandomDMediaHeurNipo
2,0,0.003828,GrafoRandomDMediaHeurEmi
2,0,0.006372,BusquedaLocalLinealEmi
2,0,0.007537,BusquedaLocalCuadraticaEmi
2,0,0.003753,GrafoRandomDMediaHeurNipo
2,0,0.00312,GrafoRandomDMediaHeurEmi
2,0,0.005666,BusquedaLocalLinealEmi
2,0,0.006993,BusquedaLocalCuadraticaEmi
2,0,0.003726,GrafoRandomDMediaHeurNipo
2,0,0.003025,GrafoRandomDMediaHeurEmi
2,0,0.005567,BusquedaLocalLinealEmi
2,0,0.007038,BusquedaLocalCuadraticaEmi
2,0,0.003726,GrafoRandomDMediaHeurNipo
2,0,0.002975,GrafoRandomDMediaHeurEmi
2,0,0.00554,BusquedaLocalLinealEmi
2,0,0.007099,BusquedaLocalCuadraticaEmi
2,0,0.003589,GrafoRandomDMediaHeurNipo
2,0,0.002997,GrafoRandomDMediaHeurEmi
2,0,0.005519,BusquedaLocalLinealEmi
2,0,0.006965,BusquedaLocalCuadraticaEmi
2,0,0.003699,GrafoRandomDMediaHeurNipo
2,0,0.002948,GrafoRandomDMediaHeurEmi
2,0,0.005347,BusquedaLocalLinealEmi
2,0,0.007037,BusquedaLocalCuadraticaEmi
2,0,0.003623,GrafoRandomDMediaHeurNipo
2,0,0.003018,GrafoRandomDMediaHeurEmi
2,0,0.005458,BusquedaLocalLinealEmi
2,0,0.006992,BusquedaLocalCuadraticaEmi
2,0,0.003585,GrafoRandomDMediaHeurNipo
2,0,0.002952,GrafoRandomDMediaHeurEmi
2,0,0.005588,BusquedaLocalLinealEmi
2,0,0.007144,BusquedaLocalCuadraticaEmi
2,0,0.003728,GrafoRandomDMediaHeurNipo
2,0,0.003084,GrafoRandomDMediaHeurEmi
2,0,0.005618,BusquedaLocalLinealEmi
2,0,0.00711,BusquedaLocalCuadraticaEmi
2,0,0.003718,GrafoRandomDMediaHeurNipo
2,0,0.003063,GrafoRandomDMediaHeurEmi
2,0,0.005402,BusquedaLocalLinealEmi
2,0,0.007091,BusquedaLocalCuadraticaEmi
2,0,0.003619,GrafoRandomDMediaHeurNipo
2,0,0.003028,GrafoRandomDMediaHeurEmi
2,0,0.005498,BusquedaLocalLinealEmi
2,0,0.007091,BusquedaLocalCuadraticaEmi
2,0,0.003704,GrafoRandomDMediaHeurNipo
2,0,0.003038,GrafoRandomDMediaHeurEmi
2,0,0.005471,BusquedaLocalLinealEmi
2,0,0.007465,BusquedaLocalCuadraticaEmi
2,0,0.003714,GrafoRandomDMediaHeurNipo
2,0,0.00302,GrafoRandomDMediaHeurEmi
2,0,0.005461,BusquedaLocalLinealEmi
2,0,0.00689,BusquedaLocalCuadraticaEmi
2,0,0.003741,GrafoRandomDMediaHeurNipo
2,0,0.003033,GrafoRandomDMediaHeurEmi
2,0,0.005503,BusquedaLocalLinealEmi
2,0,0.006983,BusquedaLocalCuadraticaEmi
2,0,0.003726,GrafoRandomDMediaHeurNipo
2,0,0.002983,GrafoRandomDMediaHeurEmi
2,0,0.005425,BusquedaLocalLinealEmi
2,0,0.006982,BusquedaLocalCuadraticaEmi
3,0,0.005381,GrafoRandomDMediaHeurNipo
3,1,0.006295,GrafoRandomDMediaHeurEmi
