cantNod,Res,Tiempo,Tipo
1,0,0.002853,CompletoHeurEmi
1,0,0.001689,CompletoHeurEmi
1,0,0.00123,CompletoHeurEmi
1,0,0.001095,CompletoHeurEmi
1,0,0.00089,CompletoHeurEmi
1,0,0.000848,CompletoHeurEmi
1,0,0.000863,CompletoHeurEmi
1,0,0.00085,CompletoHeurEmi
1,0,0.000822,CompletoHeurEmi
1,0,0.000856,CompletoHeurEmi
1,0,0.000868,CompletoHeurEmi
1,0,0.000848,CompletoHeurEmi
1,0,0.00088,CompletoHeurEmi
1,0,0.000874,CompletoHeurEmi
1,0,0.000827,CompletoHeurEmi
1,0,0.000814,CompletoHeurEmi
1,0,0.000843,CompletoHeurEmi
1,0,0.000815,CompletoHeurEmi
1,0,0.000855,CompletoHeurEmi
1,0,0.000849,CompletoHeurEmi
1,0,0.000857,CompletoHeurEmi
1,0,0.000821,CompletoHeurEmi
1,0,0.0008,CompletoHeurEmi
1,0,0.000832,CompletoHeurEmi
1,0,0.000805,CompletoHeurEmi
1,0,0.00083,CompletoHeurEmi
1,0,0.000849,CompletoHeurEmi
1,0,0.000907,CompletoHeurEmi
1,0,0.000885,CompletoHeurEmi
1,0,0.000841,CompletoHeurEmi
2,0,0.003738,CompletoHeurEmi
2,0,0.001848,CompletoHeurEmi
2,0,0.001775,CompletoHeurEmi
2,0,0.001676,CompletoHeurEmi
2,0,0.001685,CompletoHeurEmi
2,0,0.001681,CompletoHeurEmi
2,0,0.001676,CompletoHeurEmi
2,0,0.001635,CompletoHeurEmi
2,0,0.001686,CompletoHeurEmi
2,0,0.001705,CompletoHeurEmi
2,0,0.001696,CompletoHeurEmi
2,0,0.001656,CompletoHeurEmi
2,0,0.001594,CompletoHeurEmi
2,0,0.001671,CompletoHeurEmi
2,0,0.001725,CompletoHeurEmi
2,0,0.001572,CompletoHeurEmi
2,0,0.001588,CompletoHeurEmi
2,0,0.001553,CompletoHeurEmi
2,0,0.001656,CompletoHeurEmi
2,0,0.001612,CompletoHeurEmi
2,0,0.001586,CompletoHeurEmi
2,0,0.001619,CompletoHeurEmi
2,0,0.001632,CompletoHeurEmi
2,0,0.001574,CompletoHeurEmi
2,0,0.001604,CompletoHeurEmi
2,0,0.00163,CompletoHeurEmi
