cantNod,Res,Tiempo,Tipo
1,0,0.002839,GrafoRandomDMediaHeurNipo
1,0,0.002096,GrafoRandomDMediaHeurNipo
1,0,0.002149,GrafoRandomDMediaHeurNipo
1,0,0.001888,GrafoRandomDMediaHeurNipo
1,0,0.001885,GrafoRandomDMediaHeurNipo
1,0,0.001903,GrafoRandomDMediaHeurNipo
1,0,0.001873,GrafoRandomDMediaHeurNipo
1,0,0.014928,GrafoRandomDMediaHeurNipo
1,0,0.00188,GrafoRandomDMediaHeurNipo
1,0,0.00189,GrafoRandomDMediaHeurNipo
1,0,0.001828,GrafoRandomDMediaHeurNipo
1,0,0.00188,GrafoRandomDMediaHeurNipo
1,0,0.001863,GrafoRandomDMediaHeurNipo
1,0,0.001819,GrafoRandomDMediaHeurNipo
1,0,0.00181,GrafoRandomDMediaHeurNipo
1,0,0.001837,GrafoRandomDMediaHeurNipo
1,0,0.001898,GrafoRandomDMediaHeurNipo
1,0,0.001794,GrafoRandomDMediaHeurNipo
1,0,0.001768,GrafoRandomDMediaHeurNipo
1,0,0.001766,GrafoRandomDMediaHeurNipo
1,0,0.001765,GrafoRandomDMediaHeurNipo
1,0,0.001812,GrafoRandomDMediaHeurNipo
1,0,0.001812,GrafoRandomDMediaHeurNipo
1,0,0.001841,GrafoRandomDMediaHeurNipo
1,0,0.001806,GrafoRandomDMediaHeurNipo
1,0,0.001728,GrafoRandomDMediaHeurNipo
1,0,0.001846,GrafoRandomDMediaHeurNipo
1,0,0.001806,GrafoRandomDMediaHeurNipo
1,0,0.001785,GrafoRandomDMediaHeurNipo
1,0,0.00177,GrafoRandomDMediaHeurNipo
2,0,0.00218,GrafoRandomDMediaHeurNipo
2,0,0.001958,GrafoRandomDMediaHeurNipo
2,0,0.00224,GrafoRandomDMediaHeurNipo
2,0,0.002124,GrafoRandomDMediaHeurNipo
2,0,0.002141,GrafoRandomDMediaHeurNipo
2,0,0.002111,GrafoRandomDMediaHeurNipo
2,0,0.002102,GrafoRandomDMediaHeurNipo
2,0,0.002113,GrafoRandomDMediaHeurNipo
2,0,0.002011,GrafoRandomDMediaHeurNipo
2,0,0.002082,GrafoRandomDMediaHeurNipo
2,0,0.002095,GrafoRandomDMediaHeurNipo
2,0,0.002081,GrafoRandomDMediaHeurNipo
2,0,0.002117,GrafoRandomDMediaHeurNipo
2,0,0.002135,GrafoRandomDMediaHeurNipo
2,0,0.00209,GrafoRandomDMediaHeurNipo
2,0,0.002085,GrafoRandomDMediaHeurNipo
2,0,0.002006,GrafoRandomDMediaHeurNipo
2,0,0.002131,GrafoRandomDMediaHeurNipo
2,0,0.002115,GrafoRandomDMediaHeurNipo
2,0,0.001985,GrafoRandomDMediaHeurNipo
2,0,0.001996,GrafoRandomDMediaHeurNipo
2,0,0.002037,GrafoRandomDMediaHeurNipo
2,0,0.001962,GrafoRandomDMediaHeurNipo
2,0,0.001976,GrafoRandomDMediaHeurNipo
2,0,0.001992,GrafoRandomDMediaHeurNipo
2,0,0.001976,GrafoRandomDMediaHeurNipo
2,0,0.002023,GrafoRandomDMediaHeurNipo
2,0,0.002025,GrafoRandomDMediaHeurNipo
2,0,0.001971,GrafoRandomDMediaHeurNipo
2,0,0.011963,GrafoRandomDMediaHeurNipo
3,1,0.003239,GrafoRandomDMediaHeurNipo
3,1,0.003029,GrafoRandomDMediaHeurNipo
3,1,0.002785,GrafoRandomDMediaHeurNipo
3,1,0.002775,GrafoRandomDMediaHeurNipo
3,1,0.002851,GrafoRandomDMediaHeurNipo
3,1,0.002925,GrafoRandomDMediaHeurNipo
3,1,0.002706,GrafoRandomDMediaHeurNipo
3,1,0.002637,GrafoRandomDMediaHeurNipo
3,1,0.002649,GrafoRandomDMediaHeurNipo
3,1,0.00269,GrafoRandomDMediaHeurNipo
3,1,0.00272,GrafoRandomDMediaHeurNipo
3,1,0.002671,GrafoRandomDMediaHeurNipo
3,1,0.002633,GrafoRandomDMediaHeurNipo
3,1,0.00257,GrafoRandomDMediaHeurNipo
3,1,0.002556,GrafoRandomDMediaHeurNipo
3,1,0.002577,GrafoRandomDMediaHeurNipo
3,1,0.002584,GrafoRandomDMediaHeurNipo
3,1,0.002603,GrafoRandomDMediaHeurNipo
3,1,0.002642,GrafoRandomDMediaHeurNipo
3,1,0.002656,GrafoRandomDMediaHeurNipo
3,1,0.002574,GrafoRandomDMediaHeurNipo
3,1,0.00257,GrafoRandomDMediaHeurNipo
3,1,0.002611,GrafoRandomDMediaHeurNipo
3,1,0.002604,GrafoRandomDMediaHeurNipo
3,1,0.002619,GrafoRandomDMediaHeurNipo
3,1,0.002611,GrafoRandomDMediaHeurNipo
3,1,0.002657,GrafoRandomDMediaHeurNipo
3,1,0.002606,GrafoRandomDMediaHeurNipo
3,1,0.002716,GrafoRandomDMediaHeurNipo
