cantNod,Res,Tiempo,Tipo
1,0,0.000873,FuncionEneCubo
1,0,0.000282,FuncionEneCubo
1,0,0.000208,FuncionEneCubo
1,0,0.000227,FuncionEneCubo
1,0,0.000416,FuncionEneCubo
1,0,0.000252,FuncionEneCubo
1,0,0.000269,FuncionEneCubo
1,0,0.000163,FuncionEneCubo
1,0,0.000168,FuncionEneCubo
1,0,0.00018,FuncionEneCubo
1,0,0.000173,FuncionEneCubo
1,0,0.00017,FuncionEneCubo
1,0,0.000164,FuncionEneCubo
1,0,0.000171,FuncionEneCubo
1,0,0.00016,FuncionEneCubo
1,0,0.000172,FuncionEneCubo
1,0,0.000172,FuncionEneCubo
1,0,0.00016,FuncionEneCubo
1,0,0.000165,FuncionEneCubo
1,0,0.000272,FuncionEneCubo
1,0,0.000172,FuncionEneCubo
1,0,0.00018,FuncionEneCubo
1,0,0.000172,FuncionEneCubo
1,0,0.000171,FuncionEneCubo
1,0,0.000175,FuncionEneCubo
1,0,0.000164,FuncionEneCubo
1,0,0.00017,FuncionEneCubo
1,0,0.000168,FuncionEneCubo
1,0,0.000175,FuncionEneCubo
1,0,0.000167,FuncionEneCubo
2,0,0.001023,FuncionEneCubo
2,0,0.000577,FuncionEneCubo
2,0,0.000269,FuncionEneCubo
2,0,0.000283,FuncionEneCubo
2,0,0.000258,FuncionEneCubo
2,0,0.000271,FuncionEneCubo
2,0,0.000272,FuncionEneCubo
2,0,0.000265,FuncionEneCubo
2,0,0.000458,FuncionEneCubo
2,0,0.000415,FuncionEneCubo
2,0,0.00027,FuncionEneCubo
2,0,0.000258,FuncionEneCubo
2,0,0.000257,FuncionEneCubo
2,0,0.000262,FuncionEneCubo
2,0,0.000273,FuncionEneCubo
2,0,0.000292,FuncionEneCubo
2,0,0.000284,FuncionEneCubo
2,0,0.000275,FuncionEneCubo
2,0,0.000285,FuncionEneCubo
2,0,0.000258,FuncionEneCubo
2,0,0.000284,FuncionEneCubo
2,0,0.00026,FuncionEneCubo
2,0,0.000273,FuncionEneCubo
2,0,0.000272,FuncionEneCubo
2,0,0.000257,FuncionEneCubo
2,0,0.000277,FuncionEneCubo
2,0,0.000267,FuncionEneCubo
2,0,0.00027,FuncionEneCubo
2,0,0.000267,FuncionEneCubo
