cantNod,Res,Tiempo,Tipo
5,2,0.008566,GrafoMaloNipo
5,2,0.006102,GrafoMaloNipo
5,2,0.005205,GrafoMaloNipo
5,2,0.004966,GrafoMaloNipo
5,2,0.005009,GrafoMaloNipo
5,2,0.004907,GrafoMaloNipo
5,2,0.004982,GrafoMaloNipo
5,2,0.004971,GrafoMaloNipo
5,2,0.005034,GrafoMaloNipo
5,2,0.004942,GrafoMaloNipo
5,2,0.004921,GrafoMaloNipo
5,2,0.005009,GrafoMaloNipo
5,2,0.004968,GrafoMaloNipo
5,2,0.004917,GrafoMaloNipo
5,2,0.005003,GrafoMaloNipo
5,2,0.005066,GrafoMaloNipo
5,2,0.004955,GrafoMaloNipo
5,2,0.004897,GrafoMaloNipo
5,2,0.005079,GrafoMaloNipo
5,2,0.00488,GrafoMaloNipo
5,2,0.004958,GrafoMaloNipo
5,2,0.004919,GrafoMaloNipo
5,2,0.005003,GrafoMaloNipo
5,2,0.004931,GrafoMaloNipo
5,2,0.004966,GrafoMaloNipo
5,2,0.004908,GrafoMaloNipo
5,2,0.004961,GrafoMaloNipo
5,2,0.004926,GrafoMaloNipo
5,2,0.004899,GrafoMaloNipo
5,2,0.004929,GrafoMaloNipo
5,2,0.004922,GrafoMaloNipo
5,2,0.004862,GrafoMaloNipo
5,2,0.004925,GrafoMaloNipo
5,2,0.004993,GrafoMaloNipo
5,2,0.004886,GrafoMaloNipo
5,2,0.004985,GrafoMaloNipo
5,2,0.004836,GrafoMaloNipo
5,2,0.004873,GrafoMaloNipo
5,2,0.004886,GrafoMaloNipo
5,2,0.004881,GrafoMaloNipo
6,2,0.006112,GrafoMaloNipo
6,2,0.005538,GrafoMaloNipo
6,2,0.005324,GrafoMaloNipo
6,2,0.005421,GrafoMaloNipo
6,2,0.005298,GrafoMaloNipo
6,2,0.005297,GrafoMaloNipo
6,2,0.005321,GrafoMaloNipo
6,2,0.005269,GrafoMaloNipo
6,2,0.005183,GrafoMaloNipo
6,2,0.005209,GrafoMaloNipo
6,2,0.00524,GrafoMaloNipo
6,2,0.005269,GrafoMaloNipo
6,2,0.005233,GrafoMaloNipo
6,2,0.005283,GrafoMaloNipo
6,2,0.005212,GrafoMaloNipo
6,2,0.005147,GrafoMaloNipo
6,2,0.00527,GrafoMaloNipo
6,2,0.005286,GrafoMaloNipo
6,2,0.005282,GrafoMaloNipo
6,2,0.005215,GrafoMaloNipo
6,2,0.005177,GrafoMaloNipo
6,2,0.005231,GrafoMaloNipo
6,2,0.005302,GrafoMaloNipo
6,2,0.005164,GrafoMaloNipo
6,2,0.005184,GrafoMaloNipo
6,2,0.005215,GrafoMaloNipo
6,2,0.005268,GrafoMaloNipo
6,2,0.005142,GrafoMaloNipo
6,2,0.005267,GrafoMaloNipo
6,2,0.005252,GrafoMaloNipo
6,2,0.005167,GrafoMaloNipo
6,2,0.005265,GrafoMaloNipo
6,2,0.005161,GrafoMaloNipo
6,2,0.005282,GrafoMaloNipo
6,2,0.005279,GrafoMaloNipo
6,2,0.005165,GrafoMaloNipo
6,2,0.005231,GrafoMaloNipo
6,2,0.005263,GrafoMaloNipo
6,2,0.005202,GrafoMaloNipo
6,2,0.005282,GrafoMaloNipo
7,2,0.006584,GrafoMaloNipo
7,2,0.006174,GrafoMaloNipo
7,2,0.005663,GrafoMaloNipo
7,2,0.005572,GrafoMaloNipo
7,2,0.005636,GrafoMaloNipo
7,2,0.005535,GrafoMaloNipo
7,2,0.005581,GrafoMaloNipo
7,2,0.00568,GrafoMaloNipo
7,2,0.005573,GrafoMaloNipo
7,2,0.005562,GrafoMaloNipo
7,2,0.005533,GrafoMaloNipo
7,2,0.005656,GrafoMaloNipo
7,2,0.005525,GrafoMaloNipo
7,2,0.005591,GrafoMaloNipo
7,2,0.005573,GrafoMaloNipo
7,2,0.005545,GrafoMaloNipo
7,2,0.005663,GrafoMaloNipo
7,2,0.005458,GrafoMaloNipo
7,2,0.005435,GrafoMaloNipo
7,2,0.005496,GrafoMaloNipo
7,2,0.005575,GrafoMaloNipo
7,2,0.005634,GrafoMaloNipo
7,2,0.005546,GrafoMaloNipo
7,2,0.005653,GrafoMaloNipo
7,2,0.005445,GrafoMaloNipo
7,2,0.005549,GrafoMaloNipo
7,2,0.005525,GrafoMaloNipo
7,2,0.00551,GrafoMaloNipo
7,2,0.005482,GrafoMaloNipo
7,2,0.005474,GrafoMaloNipo
7,2,0.005495,GrafoMaloNipo
7,2,0.005595,GrafoMaloNipo
7,2,0.00549,GrafoMaloNipo
7,2,0.005447,GrafoMaloNipo
7,2,0.005497,GrafoMaloNipo
7,2,0.005589,GrafoMaloNipo
7,2,0.005507,GrafoMaloNipo
7,2,0.005561,GrafoMaloNipo
7,2,0.005487,GrafoMaloNipo
7,2,0.005523,GrafoMaloNipo
8,3,0.008342,GrafoMaloNipo
8,3,0.0075,GrafoMaloNipo
8,3,0.006879,GrafoMaloNipo
8,3,0.00693,GrafoMaloNipo
8,3,0.00693,GrafoMaloNipo
8,3,0.00701,GrafoMaloNipo
8,3,0.006987,GrafoMaloNipo
8,3,0.006896,GrafoMaloNipo
8,3,0.006888,GrafoMaloNipo
8,3,0.006903,GrafoMaloNipo
8,3,0.006962,GrafoMaloNipo
8,3,0.006722,GrafoMaloNipo
8,3,0.006793,GrafoMaloNipo
8,3,0.006874,GrafoMaloNipo
8,3,0.006812,GrafoMaloNipo
