cantNod,Res,Tiempo,Tipo
1,0,1.4729,GrafoRandomDAltaGRASP
1,0,0.956294,GrafoRandomDAltaGRASP
1,0,1.07107,GrafoRandomDAltaGRASP
1,0,0.884245,GrafoRandomDAltaGRASP
1,0,0.8571,GrafoRandomDAltaGRASP
1,0,0.851283,GrafoRandomDAltaGRASP
1,0,0.851662,GrafoRandomDAltaGRASP
1,0,0.850404,GrafoRandomDAltaGRASP
1,0,0.850846,GrafoRandomDAltaGRASP
1,0,0.850599,GrafoRandomDAltaGRASP
1,0,0.851562,GrafoRandomDAltaGRASP
1,0,1.06562,GrafoRandomDAltaGRASP
1,0,0.819743,GrafoRandomDAltaGRASP
1,0,0.81993,GrafoRandomDAltaGRASP
1,0,0.891215,GrafoRandomDAltaGRASP
1,0,0.822255,GrafoRandomDAltaGRASP
1,0,0.887939,GrafoRandomDAltaGRASP
1,0,0.819778,GrafoRandomDAltaGRASP
1,0,0.86887,GrafoRandomDAltaGRASP
1,0,0.880297,GrafoRandomDAltaGRASP
1,0,0.83417,GrafoRandomDAltaGRASP
1,0,0.821996,GrafoRandomDAltaGRASP
1,0,0.820119,GrafoRandomDAltaGRASP
1,0,0.819922,GrafoRandomDAltaGRASP
1,0,0.820448,GrafoRandomDAltaGRASP
1,0,0.820044,GrafoRandomDAltaGRASP
1,0,0.823848,GrafoRandomDAltaGRASP
1,0,0.819922,GrafoRandomDAltaGRASP
1,0,0.820086,GrafoRandomDAltaGRASP
1,0,0.994255,GrafoRandomDAltaGRASP
2,0,1.15001,GrafoRandomDAltaGRASP
2,0,1.12511,GrafoRandomDAltaGRASP
2,0,1.13278,GrafoRandomDAltaGRASP
2,0,1.21096,GrafoRandomDAltaGRASP
2,0,1.24262,GrafoRandomDAltaGRASP
2,0,1.12938,GrafoRandomDAltaGRASP
2,0,1.16341,GrafoRandomDAltaGRASP
2,0,1.16255,GrafoRandomDAltaGRASP
2,0,1.21085,GrafoRandomDAltaGRASP
2,0,1.11716,GrafoRandomDAltaGRASP
2,0,1.11718,GrafoRandomDAltaGRASP
2,0,1.11911,GrafoRandomDAltaGRASP
2,0,1.12966,GrafoRandomDAltaGRASP
2,0,1.12769,GrafoRandomDAltaGRASP
2,0,1.16462,GrafoRandomDAltaGRASP
2,0,1.16718,GrafoRandomDAltaGRASP
2,0,1.1656,GrafoRandomDAltaGRASP
2,0,1.13075,GrafoRandomDAltaGRASP
2,0,1.13048,GrafoRandomDAltaGRASP
2,0,1.12887,GrafoRandomDAltaGRASP
2,0,1.12888,GrafoRandomDAltaGRASP
2,0,1.13017,GrafoRandomDAltaGRASP
2,0,1.12887,GrafoRandomDAltaGRASP
2,0,1.17257,GrafoRandomDAltaGRASP
2,0,1.12821,GrafoRandomDAltaGRASP
2,0,1.12915,GrafoRandomDAltaGRASP
2,0,1.13016,GrafoRandomDAltaGRASP
2,0,1.13106,GrafoRandomDAltaGRASP
2,0,1.16464,GrafoRandomDAltaGRASP
2,0,1.17839,GrafoRandomDAltaGRASP
3,0,2.35945,GrafoRandomDAltaGRASP
3,0,2.40104,GrafoRandomDAltaGRASP
3,0,2.64274,GrafoRandomDAltaGRASP
3,0,2.31818,GrafoRandomDAltaGRASP
3,0,2.43125,GrafoRandomDAltaGRASP
3,0,2.61584,GrafoRandomDAltaGRASP
3,0,2.40631,GrafoRandomDAltaGRASP
3,0,2.39345,GrafoRandomDAltaGRASP
3,0,2.32326,GrafoRandomDAltaGRASP
3,0,2.32396,GrafoRandomDAltaGRASP
3,0,2.45906,GrafoRandomDAltaGRASP
3,0,2.31866,GrafoRandomDAltaGRASP
3,0,2.35324,GrafoRandomDAltaGRASP
3,0,2.31675,GrafoRandomDAltaGRASP
3,0,2.3179,GrafoRandomDAltaGRASP
3,0,2.32068,GrafoRandomDAltaGRASP
3,0,2.33336,GrafoRandomDAltaGRASP
3,0,2.31759,GrafoRandomDAltaGRASP
3,0,2.31601,GrafoRandomDAltaGRASP
3,0,2.31893,GrafoRandomDAltaGRASP
3,0,2.33573,GrafoRandomDAltaGRASP
3,0,2.32468,GrafoRandomDAltaGRASP
3,0,2.3253,GrafoRandomDAltaGRASP
3,0,2.31996,GrafoRandomDAltaGRASP
3,0,2.3207,GrafoRandomDAltaGRASP
3,0,2.32111,GrafoRandomDAltaGRASP
3,0,2.32581,GrafoRandomDAltaGRASP
3,0,2.36753,GrafoRandomDAltaGRASP
3,0,2.32593,GrafoRandomDAltaGRASP
3,0,2.32399,GrafoRandomDAltaGRASP
4,0,2.99167,GrafoRandomDAltaGRASP
4,0,2.96579,GrafoRandomDAltaGRASP
4,0,2.97612,GrafoRandomDAltaGRASP
4,0,2.93254,GrafoRandomDAltaGRASP
4,0,3.14924,GrafoRandomDAltaGRASP
4,0,2.93152,GrafoRandomDAltaGRASP
4,0,2.93725,GrafoRandomDAltaGRASP
