cantNod,Res,Tiempo,Tipo
1,0,0.694332,GrafoRandomDAltaGRASP
1,0,0.678194,GrafoRandomDAltaGRASP
1,0,0.681468,GrafoRandomDAltaGRASP
1,0,0.679661,GrafoRandomDAltaGRASP
1,0,0.681028,GrafoRandomDAltaGRASP
1,0,0.892036,GrafoRandomDAltaGRASP
1,0,0.749121,GrafoRandomDAltaGRASP
1,0,0.723356,GrafoRandomDAltaGRASP
1,0,0.724485,GrafoRandomDAltaGRASP
1,0,0.741385,GrafoRandomDAltaGRASP
1,0,0.715782,GrafoRandomDAltaGRASP
1,0,0.769418,GrafoRandomDAltaGRASP
1,0,0.73634,GrafoRandomDAltaGRASP
1,0,0.680357,GrafoRandomDAltaGRASP
1,0,0.678702,GrafoRandomDAltaGRASP
2,0,1.00362,GrafoRandomDAltaGRASP
2,0,0.932045,GrafoRandomDAltaGRASP
2,0,0.932574,GrafoRandomDAltaGRASP
2,0,0.928619,GrafoRandomDAltaGRASP
2,0,0.967362,GrafoRandomDAltaGRASP
2,0,0.932605,GrafoRandomDAltaGRASP
2,0,0.930503,GrafoRandomDAltaGRASP
2,0,0.935327,GrafoRandomDAltaGRASP
2,0,0.957451,GrafoRandomDAltaGRASP
2,0,0.933813,GrafoRandomDAltaGRASP
2,0,0.951567,GrafoRandomDAltaGRASP
2,0,0.998814,GrafoRandomDAltaGRASP
2,0,0.973754,GrafoRandomDAltaGRASP
2,0,1.05964,GrafoRandomDAltaGRASP
2,0,1.08126,GrafoRandomDAltaGRASP
3,0,2.0171,GrafoRandomDAltaGRASP
3,0,1.90765,GrafoRandomDAltaGRASP
3,0,1.9304,GrafoRandomDAltaGRASP
3,0,1.9071,GrafoRandomDAltaGRASP
3,0,1.93451,GrafoRandomDAltaGRASP
3,0,1.90994,GrafoRandomDAltaGRASP
3,0,1.98299,GrafoRandomDAltaGRASP
3,0,1.9068,GrafoRandomDAltaGRASP
3,0,1.90679,GrafoRandomDAltaGRASP
3,0,1.94613,GrafoRandomDAltaGRASP
3,0,1.91021,GrafoRandomDAltaGRASP
3,0,1.93327,GrafoRandomDAltaGRASP
3,0,1.90967,GrafoRandomDAltaGRASP
3,0,2.0782,GrafoRandomDAltaGRASP
3,0,2.09327,GrafoRandomDAltaGRASP
4,0,2.8073,GrafoRandomDAltaGRASP
4,0,2.53605,GrafoRandomDAltaGRASP
4,0,2.51035,GrafoRandomDAltaGRASP
4,0,2.52811,GrafoRandomDAltaGRASP
4,0,2.52642,GrafoRandomDAltaGRASP
4,0,2.52842,GrafoRandomDAltaGRASP
4,0,2.54543,GrafoRandomDAltaGRASP
4,0,2.53082,GrafoRandomDAltaGRASP
4,0,2.51035,GrafoRandomDAltaGRASP
4,0,2.50848,GrafoRandomDAltaGRASP
4,0,2.51223,GrafoRandomDAltaGRASP
4,0,2.50474,GrafoRandomDAltaGRASP
4,0,2.51472,GrafoRandomDAltaGRASP
4,0,2.50545,GrafoRandomDAltaGRASP
4,0,2.51114,GrafoRandomDAltaGRASP
5,0,4.77864,GrafoRandomDAltaGRASP
5,0,5.25933,GrafoRandomDAltaGRASP
5,0,5.46869,GrafoRandomDAltaGRASP
5,0,5.04736,GrafoRandomDAltaGRASP
5,0,4.85881,GrafoRandomDAltaGRASP
5,0,4.74842,GrafoRandomDAltaGRASP
5,0,5.08722,GrafoRandomDAltaGRASP
5,0,4.6599,GrafoRandomDAltaGRASP
5,0,4.69694,GrafoRandomDAltaGRASP
5,0,4.77643,GrafoRandomDAltaGRASP
5,0,4.63763,GrafoRandomDAltaGRASP
5,0,4.62765,GrafoRandomDAltaGRASP
5,0,4.74963,GrafoRandomDAltaGRASP
5,0,4.66178,GrafoRandomDAltaGRASP
5,0,4.63007,GrafoRandomDAltaGRASP
6,0,5.29948,GrafoRandomDAltaGRASP
6,0,5.41769,GrafoRandomDAltaGRASP
6,0,5.17045,GrafoRandomDAltaGRASP
6,0,5.25479,GrafoRandomDAltaGRASP
6,0,5.30393,GrafoRandomDAltaGRASP
6,0,5.59367,GrafoRandomDAltaGRASP
6,0,5.58764,GrafoRandomDAltaGRASP
6,0,5.36168,GrafoRandomDAltaGRASP
6,0,5.21376,GrafoRandomDAltaGRASP
6,0,5.23523,GrafoRandomDAltaGRASP
6,0,5.3339,GrafoRandomDAltaGRASP
6,0,5.21021,GrafoRandomDAltaGRASP
6,0,5.1754,GrafoRandomDAltaGRASP
6,0,5.33769,GrafoRandomDAltaGRASP
6,0,5.20797,GrafoRandomDAltaGRASP
7,0,8.4772,GrafoRandomDAltaGRASP
7,0,8.54788,GrafoRandomDAltaGRASP
7,0,8.35808,GrafoRandomDAltaGRASP
7,0,8.36755,GrafoRandomDAltaGRASP
7,0,8.35286,GrafoRandomDAltaGRASP
7,0,8.49537,GrafoRandomDAltaGRASP
7,0,9.01848,GrafoRandomDAltaGRASP
