cantNod,Res,Tiempo,Tipo
1,0,0.998985,GrafoRandomDBajaGRASP
1,0,0.950914,GrafoRandomDBajaGRASP
1,0,0.896411,GrafoRandomDBajaGRASP
1,0,0.861255,GrafoRandomDBajaGRASP
1,0,0.882602,GrafoRandomDBajaGRASP
1,0,0.861851,GrafoRandomDBajaGRASP
1,0,0.850848,GrafoRandomDBajaGRASP
1,0,0.87081,GrafoRandomDBajaGRASP
1,0,0.855915,GrafoRandomDBajaGRASP
1,0,0.853252,GrafoRandomDBajaGRASP
1,0,0.892461,GrafoRandomDBajaGRASP
1,0,0.82473,GrafoRandomDBajaGRASP
1,0,0.820315,GrafoRandomDBajaGRASP
1,0,0.823042,GrafoRandomDBajaGRASP
1,0,0.820382,GrafoRandomDBajaGRASP
1,0,0.821224,GrafoRandomDBajaGRASP
1,0,0.821027,GrafoRandomDBajaGRASP
1,0,0.820078,GrafoRandomDBajaGRASP
1,0,0.820493,GrafoRandomDBajaGRASP
1,0,0.855656,GrafoRandomDBajaGRASP
1,0,0.819917,GrafoRandomDBajaGRASP
1,0,0.820222,GrafoRandomDBajaGRASP
1,0,0.841346,GrafoRandomDBajaGRASP
1,0,0.820791,GrafoRandomDBajaGRASP
1,0,0.820182,GrafoRandomDBajaGRASP
1,0,0.819819,GrafoRandomDBajaGRASP
1,0,0.820779,GrafoRandomDBajaGRASP
1,0,0.820598,GrafoRandomDBajaGRASP
1,0,0.820473,GrafoRandomDBajaGRASP
1,0,0.821106,GrafoRandomDBajaGRASP
2,0,1.12219,GrafoRandomDBajaGRASP
2,0,1.13371,GrafoRandomDBajaGRASP
2,0,1.20726,GrafoRandomDBajaGRASP
2,0,1.24365,GrafoRandomDBajaGRASP
2,0,1.13367,GrafoRandomDBajaGRASP
2,0,1.13078,GrafoRandomDBajaGRASP
2,0,1.12073,GrafoRandomDBajaGRASP
2,0,1.16826,GrafoRandomDBajaGRASP
2,0,1.21928,GrafoRandomDBajaGRASP
2,0,1.11745,GrafoRandomDBajaGRASP
2,0,1.11809,GrafoRandomDBajaGRASP
2,0,1.13831,GrafoRandomDBajaGRASP
2,0,1.1298,GrafoRandomDBajaGRASP
2,0,1.12599,GrafoRandomDBajaGRASP
2,0,1.12792,GrafoRandomDBajaGRASP
2,0,1.13015,GrafoRandomDBajaGRASP
2,0,1.12981,GrafoRandomDBajaGRASP
2,0,1.13014,GrafoRandomDBajaGRASP
2,0,1.13032,GrafoRandomDBajaGRASP
2,0,1.13086,GrafoRandomDBajaGRASP
2,0,1.12787,GrafoRandomDBajaGRASP
2,0,1.12784,GrafoRandomDBajaGRASP
2,0,1.13143,GrafoRandomDBajaGRASP
2,0,1.12933,GrafoRandomDBajaGRASP
2,0,1.12762,GrafoRandomDBajaGRASP
2,0,1.12988,GrafoRandomDBajaGRASP
2,0,1.1676,GrafoRandomDBajaGRASP
2,0,1.13087,GrafoRandomDBajaGRASP
2,0,1.12963,GrafoRandomDBajaGRASP
2,0,1.13011,GrafoRandomDBajaGRASP
3,0,1.50052,GrafoRandomDBajaGRASP
3,0,1.5033,GrafoRandomDBajaGRASP
3,0,1.49233,GrafoRandomDBajaGRASP
3,0,1.42515,GrafoRandomDBajaGRASP
3,0,1.53704,GrafoRandomDBajaGRASP
3,0,1.47564,GrafoRandomDBajaGRASP
3,0,1.47617,GrafoRandomDBajaGRASP
3,0,1.45678,GrafoRandomDBajaGRASP
3,0,1.42479,GrafoRandomDBajaGRASP
3,0,1.43997,GrafoRandomDBajaGRASP
3,0,1.47681,GrafoRandomDBajaGRASP
3,0,1.42222,GrafoRandomDBajaGRASP
3,0,1.49168,GrafoRandomDBajaGRASP
3,0,1.4204,GrafoRandomDBajaGRASP
3,0,1.42122,GrafoRandomDBajaGRASP
3,0,1.45478,GrafoRandomDBajaGRASP
3,0,1.42097,GrafoRandomDBajaGRASP
3,0,1.42382,GrafoRandomDBajaGRASP
3,0,1.41997,GrafoRandomDBajaGRASP
3,0,1.4226,GrafoRandomDBajaGRASP
3,0,1.42234,GrafoRandomDBajaGRASP
3,0,1.42359,GrafoRandomDBajaGRASP
3,0,1.42107,GrafoRandomDBajaGRASP
3,0,1.42146,GrafoRandomDBajaGRASP
3,0,1.42194,GrafoRandomDBajaGRASP
3,0,1.42162,GrafoRandomDBajaGRASP
3,0,1.42388,GrafoRandomDBajaGRASP
3,0,1.42139,GrafoRandomDBajaGRASP
3,0,1.42363,GrafoRandomDBajaGRASP
3,0,1.42122,GrafoRandomDBajaGRASP
4,0,1.69441,GrafoRandomDBajaGRASP
4,0,1.79561,GrafoRandomDBajaGRASP
4,0,1.741,GrafoRandomDBajaGRASP
4,0,1.86949,GrafoRandomDBajaGRASP
4,0,1.69871,GrafoRandomDBajaGRASP
4,0,1.69559,GrafoRandomDBajaGRASP
4,0,1.73109,GrafoRandomDBajaGRASP
4,0,1.70046,GrafoRandomDBajaGRASP
4,0,1.69999,GrafoRandomDBajaGRASP
4,0,1.69894,GrafoRandomDBajaGRASP
4,0,1.69761,GrafoRandomDBajaGRASP
4,0,1.69819,GrafoRandomDBajaGRASP
4,0,1.69901,GrafoRandomDBajaGRASP
4,0,1.74768,GrafoRandomDBajaGRASP
4,0,1.69933,GrafoRandomDBajaGRASP
4,0,1.69924,GrafoRandomDBajaGRASP
4,0,1.69892,GrafoRandomDBajaGRASP
4,0,1.73218,GrafoRandomDBajaGRASP
4,0,1.70069,GrafoRandomDBajaGRASP
4,0,1.70836,GrafoRandomDBajaGRASP
4,0,1.69842,GrafoRandomDBajaGRASP
4,0,1.6985,GrafoRandomDBajaGRASP
4,0,1.69726,GrafoRandomDBajaGRASP
4,0,1.70164,GrafoRandomDBajaGRASP
4,0,1.69873,GrafoRandomDBajaGRASP
4,0,1.70125,GrafoRandomDBajaGRASP
4,0,1.70094,GrafoRandomDBajaGRASP
4,0,1.7315,GrafoRandomDBajaGRASP
4,0,1.69878,GrafoRandomDBajaGRASP
4,0,1.73263,GrafoRandomDBajaGRASP
5,0,2.32811,GrafoRandomDBajaGRASP
5,0,2.24935,GrafoRandomDBajaGRASP
5,0,2.36938,GrafoRandomDBajaGRASP
5,0,2.25182,GrafoRandomDBajaGRASP
5,0,2.30749,GrafoRandomDBajaGRASP
5,0,2.28292,GrafoRandomDBajaGRASP
5,0,2.25196,GrafoRandomDBajaGRASP
5,0,2.25214,GrafoRandomDBajaGRASP
5,0,2.24874,GrafoRandomDBajaGRASP
5,0,2.24835,GrafoRandomDBajaGRASP
5,0,2.25143,GrafoRandomDBajaGRASP
5,0,2.25063,GrafoRandomDBajaGRASP
5,0,2.25641,GrafoRandomDBajaGRASP
5,0,2.25315,GrafoRandomDBajaGRASP
5,0,2.2531,GrafoRandomDBajaGRASP
5,0,2.33457,GrafoRandomDBajaGRASP
5,0,2.25581,GrafoRandomDBajaGRASP
5,0,2.30152,GrafoRandomDBajaGRASP
5,0,2.25987,GrafoRandomDBajaGRASP
5,0,2.30268,GrafoRandomDBajaGRASP
