cantNod,Res,Tiempo,Tipo
1,0,1.01845,GrafoRandomDMediaGRASP
1,0,0.968142,GrafoRandomDMediaGRASP
1,0,0.919982,GrafoRandomDMediaGRASP
1,0,0.874983,GrafoRandomDMediaGRASP
1,0,0.938033,GrafoRandomDMediaGRASP
1,0,0.849919,GrafoRandomDMediaGRASP
1,0,0.850103,GrafoRandomDMediaGRASP
1,0,0.858123,GrafoRandomDMediaGRASP
1,0,0.850501,GrafoRandomDMediaGRASP
1,0,0.849338,GrafoRandomDMediaGRASP
1,0,0.855336,GrafoRandomDMediaGRASP
1,0,0.879164,GrafoRandomDMediaGRASP
1,0,0.820307,GrafoRandomDMediaGRASP
1,0,0.828732,GrafoRandomDMediaGRASP
1,0,0.819982,GrafoRandomDMediaGRASP
1,0,0.820088,GrafoRandomDMediaGRASP
1,0,0.822517,GrafoRandomDMediaGRASP
1,0,0.819335,GrafoRandomDMediaGRASP
1,0,0.819568,GrafoRandomDMediaGRASP
1,0,1.08421,GrafoRandomDMediaGRASP
1,0,0.820666,GrafoRandomDMediaGRASP
1,0,0.820404,GrafoRandomDMediaGRASP
1,0,0.837508,GrafoRandomDMediaGRASP
1,0,0.820094,GrafoRandomDMediaGRASP
1,0,0.860396,GrafoRandomDMediaGRASP
1,0,0.819498,GrafoRandomDMediaGRASP
1,0,0.820508,GrafoRandomDMediaGRASP
1,0,0.867932,GrafoRandomDMediaGRASP
1,0,0.819586,GrafoRandomDMediaGRASP
1,0,0.819677,GrafoRandomDMediaGRASP
2,0,1.15867,GrafoRandomDMediaGRASP
2,0,1.12541,GrafoRandomDMediaGRASP
2,0,1.16524,GrafoRandomDMediaGRASP
2,0,1.2522,GrafoRandomDMediaGRASP
2,0,1.1302,GrafoRandomDMediaGRASP
2,0,1.1303,GrafoRandomDMediaGRASP
2,0,1.12095,GrafoRandomDMediaGRASP
2,0,1.17501,GrafoRandomDMediaGRASP
2,0,1.33678,GrafoRandomDMediaGRASP
2,0,1.12117,GrafoRandomDMediaGRASP
2,0,1.11797,GrafoRandomDMediaGRASP
2,0,1.11932,GrafoRandomDMediaGRASP
2,0,1.12881,GrafoRandomDMediaGRASP
2,0,1.16088,GrafoRandomDMediaGRASP
2,0,1.12783,GrafoRandomDMediaGRASP
2,0,1.12953,GrafoRandomDMediaGRASP
