cantNod,Res,Tiempo,Tipo
1,0,0.892629,GrafoRandomDMediaGRASP
1,0,0.681883,GrafoRandomDMediaGRASP
1,0,0.678451,GrafoRandomDMediaGRASP
1,0,0.713746,GrafoRandomDMediaGRASP
1,0,0.678735,GrafoRandomDMediaGRASP
1,0,0.677824,GrafoRandomDMediaGRASP
1,0,0.678954,GrafoRandomDMediaGRASP
1,0,0.68181,GrafoRandomDMediaGRASP
1,0,0.717138,GrafoRandomDMediaGRASP
1,0,0.680115,GrafoRandomDMediaGRASP
1,0,0.680071,GrafoRandomDMediaGRASP
1,0,0.681611,GrafoRandomDMediaGRASP
1,0,0.680512,GrafoRandomDMediaGRASP
1,0,0.679708,GrafoRandomDMediaGRASP
1,0,0.790334,GrafoRandomDMediaGRASP
1,0,0.719284,GrafoRandomDMediaGRASP
1,0,0.718932,GrafoRandomDMediaGRASP
1,0,0.763857,GrafoRandomDMediaGRASP
1,0,0.679854,GrafoRandomDMediaGRASP
1,0,0.693682,GrafoRandomDMediaGRASP
1,0,0.687354,GrafoRandomDMediaGRASP
1,0,0.679231,GrafoRandomDMediaGRASP
1,0,0.679009,GrafoRandomDMediaGRASP
1,0,0.678704,GrafoRandomDMediaGRASP
1,0,0.679556,GrafoRandomDMediaGRASP
1,0,0.719599,GrafoRandomDMediaGRASP
1,0,0.682688,GrafoRandomDMediaGRASP
1,0,0.680277,GrafoRandomDMediaGRASP
1,0,0.680219,GrafoRandomDMediaGRASP
1,0,0.681127,GrafoRandomDMediaGRASP
2,0,0.962477,GrafoRandomDMediaGRASP
2,0,0.966573,GrafoRandomDMediaGRASP
2,0,0.950531,GrafoRandomDMediaGRASP
2,0,0.928549,GrafoRandomDMediaGRASP
2,0,1.07383,GrafoRandomDMediaGRASP
2,0,0.996482,GrafoRandomDMediaGRASP
2,0,1.00372,GrafoRandomDMediaGRASP
2,0,1.05811,GrafoRandomDMediaGRASP
2,0,0.970344,GrafoRandomDMediaGRASP
2,0,0.955816,GrafoRandomDMediaGRASP
2,0,0.929382,GrafoRandomDMediaGRASP
2,0,0.928427,GrafoRandomDMediaGRASP
2,0,0.932886,GrafoRandomDMediaGRASP
2,0,0.960574,GrafoRandomDMediaGRASP
2,0,0.93137,GrafoRandomDMediaGRASP
2,0,0.931904,GrafoRandomDMediaGRASP
2,0,0.931817,GrafoRandomDMediaGRASP
2,0,0.961351,GrafoRandomDMediaGRASP
2,0,0.933056,GrafoRandomDMediaGRASP
2,0,0.954213,GrafoRandomDMediaGRASP
2,0,0.930414,GrafoRandomDMediaGRASP
2,0,0.96281,GrafoRandomDMediaGRASP
2,0,0.929804,GrafoRandomDMediaGRASP
2,0,0.929654,GrafoRandomDMediaGRASP
2,0,0.932833,GrafoRandomDMediaGRASP
2,0,0.963159,GrafoRandomDMediaGRASP
2,0,0.931196,GrafoRandomDMediaGRASP
2,0,0.929773,GrafoRandomDMediaGRASP
2,0,0.930197,GrafoRandomDMediaGRASP
2,0,0.928123,GrafoRandomDMediaGRASP
3,0,1.68148,GrafoRandomDMediaGRASP
3,0,1.63621,GrafoRandomDMediaGRASP
3,0,1.96577,GrafoRandomDMediaGRASP
3,0,1.84914,GrafoRandomDMediaGRASP
3,0,1.80894,GrafoRandomDMediaGRASP
3,0,1.64663,GrafoRandomDMediaGRASP
3,0,1.66749,GrafoRandomDMediaGRASP
3,0,1.6364,GrafoRandomDMediaGRASP
3,0,1.67887,GrafoRandomDMediaGRASP
3,0,1.67131,GrafoRandomDMediaGRASP
3,0,1.633,GrafoRandomDMediaGRASP
3,0,1.67325,GrafoRandomDMediaGRASP
3,0,1.67781,GrafoRandomDMediaGRASP
3,0,1.7375,GrafoRandomDMediaGRASP
3,0,1.69477,GrafoRandomDMediaGRASP
3,0,1.63441,GrafoRandomDMediaGRASP
3,0,1.65758,GrafoRandomDMediaGRASP
3,0,1.63248,GrafoRandomDMediaGRASP
3,0,1.662,GrafoRandomDMediaGRASP
3,0,1.63431,GrafoRandomDMediaGRASP
3,0,1.63341,GrafoRandomDMediaGRASP
3,0,1.68686,GrafoRandomDMediaGRASP
3,0,1.67399,GrafoRandomDMediaGRASP
3,0,1.7808,GrafoRandomDMediaGRASP
3,0,1.65548,GrafoRandomDMediaGRASP
3,0,1.66675,GrafoRandomDMediaGRASP
3,0,1.63178,GrafoRandomDMediaGRASP
3,0,1.63543,GrafoRandomDMediaGRASP
3,0,1.67188,GrafoRandomDMediaGRASP
3,0,1.65633,GrafoRandomDMediaGRASP
4,0,2.15829,GrafoRandomDMediaGRASP
4,0,2.12185,GrafoRandomDMediaGRASP
4,0,2.31634,GrafoRandomDMediaGRASP
4,0,2.18919,GrafoRandomDMediaGRASP
4,0,2.30709,GrafoRandomDMediaGRASP
4,0,2.47223,GrafoRandomDMediaGRASP
4,0,2.20823,GrafoRandomDMediaGRASP
4,0,2.31497,GrafoRandomDMediaGRASP
4,0,2.18562,GrafoRandomDMediaGRASP
4,0,2.2544,GrafoRandomDMediaGRASP
4,0,2.27646,GrafoRandomDMediaGRASP
4,0,2.29984,GrafoRandomDMediaGRASP
4,0,2.14897,GrafoRandomDMediaGRASP
4,0,2.19131,GrafoRandomDMediaGRASP
4,0,2.19562,GrafoRandomDMediaGRASP
4,0,2.12052,GrafoRandomDMediaGRASP
4,0,2.2355,GrafoRandomDMediaGRASP
4,0,2.25934,GrafoRandomDMediaGRASP
4,0,2.15332,GrafoRandomDMediaGRASP
4,0,2.15292,GrafoRandomDMediaGRASP
4,0,2.12103,GrafoRandomDMediaGRASP
4,0,2.1521,GrafoRandomDMediaGRASP
4,0,2.12065,GrafoRandomDMediaGRASP
4,0,2.14415,GrafoRandomDMediaGRASP
4,0,2.13119,GrafoRandomDMediaGRASP
4,0,2.23786,GrafoRandomDMediaGRASP
4,0,2.11947,GrafoRandomDMediaGRASP
4,0,2.14558,GrafoRandomDMediaGRASP
4,0,2.11817,GrafoRandomDMediaGRASP
4,0,2.12214,GrafoRandomDMediaGRASP
5,0,3.6415,GrafoRandomDMediaGRASP
5,0,2.69992,GrafoRandomDMediaGRASP
5,0,3.63461,GrafoRandomDMediaGRASP
5,0,2.87805,GrafoRandomDMediaGRASP
5,0,3.64106,GrafoRandomDMediaGRASP
5,0,2.70209,GrafoRandomDMediaGRASP
5,0,4.02294,GrafoRandomDMediaGRASP
5,0,2.89833,GrafoRandomDMediaGRASP
5,0,3.89106,GrafoRandomDMediaGRASP
5,0,2.69985,GrafoRandomDMediaGRASP
5,0,3.67676,GrafoRandomDMediaGRASP
