cantNod,Res,Tiempo,Tipo
1,0,1.05598,GrafoRandomDBajaGRASP
1,0,1.17904,GrafoRandomDBajaGRASP
1,0,0.930395,GrafoRandomDBajaGRASP
1,0,0.860255,GrafoRandomDBajaGRASP
1,0,0.867316,GrafoRandomDBajaGRASP
1,0,0.860328,GrafoRandomDBajaGRASP
1,0,0.859734,GrafoRandomDBajaGRASP
1,0,0.871847,GrafoRandomDBajaGRASP
1,0,1.00483,GrafoRandomDBajaGRASP
1,0,0.855359,GrafoRandomDBajaGRASP
1,0,0.858143,GrafoRandomDBajaGRASP
1,0,0.858967,GrafoRandomDBajaGRASP
1,0,0.824031,GrafoRandomDBajaGRASP
1,0,0.874794,GrafoRandomDBajaGRASP
1,0,0.824685,GrafoRandomDBajaGRASP
1,0,0.825325,GrafoRandomDBajaGRASP
1,0,0.857818,GrafoRandomDBajaGRASP
1,0,0.824752,GrafoRandomDBajaGRASP
1,0,0.824683,GrafoRandomDBajaGRASP
1,0,0.82486,GrafoRandomDBajaGRASP
1,0,0.824561,GrafoRandomDBajaGRASP
1,0,0.847827,GrafoRandomDBajaGRASP
1,0,0.824865,GrafoRandomDBajaGRASP
1,0,0.824399,GrafoRandomDBajaGRASP
1,0,0.826247,GrafoRandomDBajaGRASP
1,0,0.824598,GrafoRandomDBajaGRASP
1,0,0.824227,GrafoRandomDBajaGRASP
1,0,0.825095,GrafoRandomDBajaGRASP
1,0,0.82499,GrafoRandomDBajaGRASP
1,0,0.826508,GrafoRandomDBajaGRASP
6,8,7.26067,GrafoRandomDBajaGRASP
6,8,6.89137,GrafoRandomDBajaGRASP
6,8,6.78883,GrafoRandomDBajaGRASP
6,8,6.86759,GrafoRandomDBajaGRASP
6,8,6.83914,GrafoRandomDBajaGRASP
6,8,6.85055,GrafoRandomDBajaGRASP
6,8,6.83251,GrafoRandomDBajaGRASP
6,8,6.82668,GrafoRandomDBajaGRASP
6,8,6.80741,GrafoRandomDBajaGRASP
6,8,6.81843,GrafoRandomDBajaGRASP
6,8,7.0163,GrafoRandomDBajaGRASP
6,8,6.84756,GrafoRandomDBajaGRASP
6,8,6.79703,GrafoRandomDBajaGRASP
6,8,6.79279,GrafoRandomDBajaGRASP
6,8,6.7961,GrafoRandomDBajaGRASP
6,8,6.81045,GrafoRandomDBajaGRASP
6,8,6.84682,GrafoRandomDBajaGRASP
6,8,6.76762,GrafoRandomDBajaGRASP
6,8,6.81811,GrafoRandomDBajaGRASP
6,8,6.83775,GrafoRandomDBajaGRASP
6,8,6.81724,GrafoRandomDBajaGRASP
6,8,6.81109,GrafoRandomDBajaGRASP
6,8,7.07905,GrafoRandomDBajaGRASP
6,8,6.90863,GrafoRandomDBajaGRASP
6,8,6.83016,GrafoRandomDBajaGRASP
6,8,6.8381,GrafoRandomDBajaGRASP
6,8,6.79863,GrafoRandomDBajaGRASP
6,8,6.79515,GrafoRandomDBajaGRASP
6,8,6.8212,GrafoRandomDBajaGRASP
