cantNod,Res,Tiempo,Tipo
1,0,0.873796,GrafoRandomDBajaGRASP
1,0,0.823201,GrafoRandomDBajaGRASP
1,0,0.829982,GrafoRandomDBajaGRASP
1,0,0.823553,GrafoRandomDBajaGRASP
1,0,0.931165,GrafoRandomDBajaGRASP
1,0,1.1262,GrafoRandomDBajaGRASP
1,0,0.884375,GrafoRandomDBajaGRASP
1,0,0.823268,GrafoRandomDBajaGRASP
1,0,0.832531,GrafoRandomDBajaGRASP
1,0,0.823936,GrafoRandomDBajaGRASP
1,0,0.890577,GrafoRandomDBajaGRASP
1,0,1.14015,GrafoRandomDBajaGRASP
1,0,0.908841,GrafoRandomDBajaGRASP
1,0,0.823242,GrafoRandomDBajaGRASP
1,0,0.826016,GrafoRandomDBajaGRASP
1,0,0.822664,GrafoRandomDBajaGRASP
1,0,0.82242,GrafoRandomDBajaGRASP
1,0,0.82539,GrafoRandomDBajaGRASP
1,0,0.824014,GrafoRandomDBajaGRASP
1,0,0.822953,GrafoRandomDBajaGRASP
1,0,0.823167,GrafoRandomDBajaGRASP
1,0,0.823063,GrafoRandomDBajaGRASP
1,0,0.875714,GrafoRandomDBajaGRASP
1,0,0.823235,GrafoRandomDBajaGRASP
1,0,0.823019,GrafoRandomDBajaGRASP
1,0,0.824974,GrafoRandomDBajaGRASP
1,0,0.823291,GrafoRandomDBajaGRASP
1,0,0.823265,GrafoRandomDBajaGRASP
1,0,0.823228,GrafoRandomDBajaGRASP
1,0,0.823639,GrafoRandomDBajaGRASP
6,1,2.50707,GrafoRandomDBajaGRASP
6,1,2.52711,GrafoRandomDBajaGRASP
6,1,2.66091,GrafoRandomDBajaGRASP
6,1,2.43128,GrafoRandomDBajaGRASP
6,1,2.44945,GrafoRandomDBajaGRASP
6,1,2.40364,GrafoRandomDBajaGRASP
6,1,2.40024,GrafoRandomDBajaGRASP
6,1,2.39677,GrafoRandomDBajaGRASP
6,1,2.39545,GrafoRandomDBajaGRASP
6,1,2.43179,GrafoRandomDBajaGRASP
6,1,2.40074,GrafoRandomDBajaGRASP
6,1,2.39599,GrafoRandomDBajaGRASP
6,1,2.39757,GrafoRandomDBajaGRASP
6,1,2.40249,GrafoRandomDBajaGRASP
6,1,2.39295,GrafoRandomDBajaGRASP
6,1,2.45525,GrafoRandomDBajaGRASP
6,1,2.44248,GrafoRandomDBajaGRASP
6,1,2.54063,GrafoRandomDBajaGRASP
6,1,2.39757,GrafoRandomDBajaGRASP
6,1,2.39499,GrafoRandomDBajaGRASP
6,1,2.39809,GrafoRandomDBajaGRASP
6,1,2.40402,GrafoRandomDBajaGRASP
6,1,2.40499,GrafoRandomDBajaGRASP
6,1,2.40068,GrafoRandomDBajaGRASP
6,1,2.40349,GrafoRandomDBajaGRASP
6,1,2.39294,GrafoRandomDBajaGRASP
6,1,2.45038,GrafoRandomDBajaGRASP
6,1,2.40437,GrafoRandomDBajaGRASP
6,1,2.39918,GrafoRandomDBajaGRASP
6,1,2.39575,GrafoRandomDBajaGRASP
11,2,3.77288,GrafoRandomDBajaGRASP
11,2,3.83617,GrafoRandomDBajaGRASP
11,2,3.88939,GrafoRandomDBajaGRASP
11,2,3.83584,GrafoRandomDBajaGRASP
11,2,3.83159,GrafoRandomDBajaGRASP
11,2,3.84178,GrafoRandomDBajaGRASP
11,2,3.84108,GrafoRandomDBajaGRASP
11,2,3.83654,GrafoRandomDBajaGRASP
11,2,3.83261,GrafoRandomDBajaGRASP
11,2,3.85687,GrafoRandomDBajaGRASP
11,2,3.85378,GrafoRandomDBajaGRASP
11,2,3.83185,GrafoRandomDBajaGRASP
11,2,3.80797,GrafoRandomDBajaGRASP
11,2,3.80938,GrafoRandomDBajaGRASP
11,2,3.81516,GrafoRandomDBajaGRASP
11,2,3.81796,GrafoRandomDBajaGRASP
11,2,3.8552,GrafoRandomDBajaGRASP
11,2,3.80649,GrafoRandomDBajaGRASP
11,2,3.81252,GrafoRandomDBajaGRASP
11,2,3.85464,GrafoRandomDBajaGRASP
11,2,3.80893,GrafoRandomDBajaGRASP
11,2,3.8096,GrafoRandomDBajaGRASP
11,2,3.81189,GrafoRandomDBajaGRASP
11,2,3.8025,GrafoRandomDBajaGRASP
11,2,3.80951,GrafoRandomDBajaGRASP
11,2,3.80352,GrafoRandomDBajaGRASP
11,2,3.82257,GrafoRandomDBajaGRASP
11,2,3.84685,GrafoRandomDBajaGRASP
11,2,3.80477,GrafoRandomDBajaGRASP
11,2,3.80776,GrafoRandomDBajaGRASP
16,3,5.44447,GrafoRandomDBajaGRASP
16,5,7.21758,GrafoRandomDBajaGRASP
16,5,7.22762,GrafoRandomDBajaGRASP
16,4,5.78017,GrafoRandomDBajaGRASP
16,4,5.77148,GrafoRandomDBajaGRASP
16,4,5.98951,GrafoRandomDBajaGRASP
16,4,5.76784,GrafoRandomDBajaGRASP
16,4,5.7743,GrafoRandomDBajaGRASP
16,4,5.76643,GrafoRandomDBajaGRASP
16,4,5.77868,GrafoRandomDBajaGRASP
16,4,5.76469,GrafoRandomDBajaGRASP
16,5,6.58553,GrafoRandomDBajaGRASP
16,5,6.57113,GrafoRandomDBajaGRASP
16,5,6.56788,GrafoRandomDBajaGRASP
16,5,6.5653,GrafoRandomDBajaGRASP
16,5,6.55693,GrafoRandomDBajaGRASP
16,5,6.55985,GrafoRandomDBajaGRASP
16,5,6.56544,GrafoRandomDBajaGRASP
16,5,6.56774,GrafoRandomDBajaGRASP
16,5,6.55864,GrafoRandomDBajaGRASP
16,5,6.60743,GrafoRandomDBajaGRASP
16,4,7.06733,GrafoRandomDBajaGRASP
16,4,6.98073,GrafoRandomDBajaGRASP
16,4,6.97566,GrafoRandomDBajaGRASP
16,4,6.98007,GrafoRandomDBajaGRASP
16,4,6.97301,GrafoRandomDBajaGRASP
16,4,6.97039,GrafoRandomDBajaGRASP
16,4,6.98083,GrafoRandomDBajaGRASP
16,4,6.99079,GrafoRandomDBajaGRASP
16,4,7.00112,GrafoRandomDBajaGRASP
21,5,8.57319,GrafoRandomDBajaGRASP
21,7,10.2173,GrafoRandomDBajaGRASP
21,7,10.2313,GrafoRandomDBajaGRASP
21,7,10.2327,GrafoRandomDBajaGRASP
21,7,10.1853,GrafoRandomDBajaGRASP
21,6,9.91934,GrafoRandomDBajaGRASP
21,6,9.24035,GrafoRandomDBajaGRASP
21,6,9.27926,GrafoRandomDBajaGRASP
21,6,9.41573,GrafoRandomDBajaGRASP
21,5,9.06463,GrafoRandomDBajaGRASP
21,5,8.38333,GrafoRandomDBajaGRASP
21,9,9.74462,GrafoRandomDBajaGRASP
21,7,9.30311,GrafoRandomDBajaGRASP
21,6,8.66975,GrafoRandomDBajaGRASP
21,6,8.66213,GrafoRandomDBajaGRASP
21,6,8.6611,GrafoRandomDBajaGRASP
21,7,8.7408,GrafoRandomDBajaGRASP
21,5,8.98427,GrafoRandomDBajaGRASP
21,5,8.94621,GrafoRandomDBajaGRASP
21,5,8.95072,GrafoRandomDBajaGRASP
21,5,9.03859,GrafoRandomDBajaGRASP
21,5,8.74111,GrafoRandomDBajaGRASP
21,5,8.96818,GrafoRandomDBajaGRASP
21,5,8.95983,GrafoRandomDBajaGRASP
21,5,8.96168,GrafoRandomDBajaGRASP
21,9,10.6038,GrafoRandomDBajaGRASP
21,4,8.78063,GrafoRandomDBajaGRASP
21,9,10.6296,GrafoRandomDBajaGRASP
21,4,8.76695,GrafoRandomDBajaGRASP
21,8,9.65653,GrafoRandomDBajaGRASP
26,9,12.6256,GrafoRandomDBajaGRASP
26,9,11.4117,GrafoRandomDBajaGRASP
26,8,11.8009,GrafoRandomDBajaGRASP
26,8,11.7554,GrafoRandomDBajaGRASP
26,10,13.9322,GrafoRandomDBajaGRASP
26,8,12.3799,GrafoRandomDBajaGRASP
26,8,11.9957,GrafoRandomDBajaGRASP
26,9,12.5554,GrafoRandomDBajaGRASP
26,9,11.7142,GrafoRandomDBajaGRASP
26,10,13.6034,GrafoRandomDBajaGRASP
26,8,13.3351,GrafoRandomDBajaGRASP
26,8,13.4781,GrafoRandomDBajaGRASP
26,11,11.9296,GrafoRandomDBajaGRASP
26,9,12.2501,GrafoRandomDBajaGRASP
26,9,12.2588,GrafoRandomDBajaGRASP
26,11,12.9658,GrafoRandomDBajaGRASP
26,12,15.9229,GrafoRandomDBajaGRASP
26,7,12.0898,GrafoRandomDBajaGRASP
26,12,16.8698,GrafoRandomDBajaGRASP
26,8,12.7478,GrafoRandomDBajaGRASP
26,10,11.504,GrafoRandomDBajaGRASP
26,10,13.0107,GrafoRandomDBajaGRASP
26,8,11.7052,GrafoRandomDBajaGRASP
26,7,11.5606,GrafoRandomDBajaGRASP
26,8,11.9696,GrafoRandomDBajaGRASP
26,7,11.5845,GrafoRandomDBajaGRASP
26,6,11.7028,GrafoRandomDBajaGRASP
26,6,11.7012,GrafoRandomDBajaGRASP
26,8,11.9203,GrafoRandomDBajaGRASP
26,11,15.7331,GrafoRandomDBajaGRASP
31,11,16.1221,GrafoRandomDBajaGRASP
31,10,15.3331,GrafoRandomDBajaGRASP
31,12,20.1524,GrafoRandomDBajaGRASP
31,14,20.2304,GrafoRandomDBajaGRASP
31,11,21.5629,GrafoRandomDBajaGRASP
31,9,15.0025,GrafoRandomDBajaGRASP
31,12,20.1393,GrafoRandomDBajaGRASP
31,9,15.1178,GrafoRandomDBajaGRASP
31,12,18.023,GrafoRandomDBajaGRASP
31,11,18.4455,GrafoRandomDBajaGRASP
31,9,16.2956,GrafoRandomDBajaGRASP
31,14,19.9334,GrafoRandomDBajaGRASP
31,13,14.8139,GrafoRandomDBajaGRASP
31,10,15.6505,GrafoRandomDBajaGRASP
31,10,16.7738,GrafoRandomDBajaGRASP
31,17,20.5694,GrafoRandomDBajaGRASP
31,14,19.8734,GrafoRandomDBajaGRASP
31,11,15.9826,GrafoRandomDBajaGRASP
31,11,17.7172,GrafoRandomDBajaGRASP
31,11,18.2541,GrafoRandomDBajaGRASP
31,8,15.1033,GrafoRandomDBajaGRASP
31,12,18.9985,GrafoRandomDBajaGRASP
31,12,19.2297,GrafoRandomDBajaGRASP
31,11,15.7508,GrafoRandomDBajaGRASP
31,10,18.2961,GrafoRandomDBajaGRASP
31,11,16.9878,GrafoRandomDBajaGRASP
31,9,15.1638,GrafoRandomDBajaGRASP
31,10,15.2445,GrafoRandomDBajaGRASP
31,10,19.4668,GrafoRandomDBajaGRASP
31,8,15.2422,GrafoRandomDBajaGRASP
36,14,23.1092,GrafoRandomDBajaGRASP
36,12,22.3412,GrafoRandomDBajaGRASP
36,15,22.9022,GrafoRandomDBajaGRASP
36,15,19.9995,GrafoRandomDBajaGRASP
36,13,21.6788,GrafoRandomDBajaGRASP
36,12,22.5053,GrafoRandomDBajaGRASP
36,11,22.3323,GrafoRandomDBajaGRASP
36,13,24.0635,GrafoRandomDBajaGRASP
36,15,22.1253,GrafoRandomDBajaGRASP
36,13,23.2502,GrafoRandomDBajaGRASP
36,11,19.5689,GrafoRandomDBajaGRASP
36,10,21.5022,GrafoRandomDBajaGRASP
36,15,19.9782,GrafoRandomDBajaGRASP
36,14,19.788,GrafoRandomDBajaGRASP
36,10,21.426,GrafoRandomDBajaGRASP
36,14,21.2125,GrafoRandomDBajaGRASP
36,19,28.1039,GrafoRandomDBajaGRASP
36,15,21.203,GrafoRandomDBajaGRASP
36,11,18.572,GrafoRandomDBajaGRASP
36,17,26.888,GrafoRandomDBajaGRASP
36,15,23.2718,GrafoRandomDBajaGRASP
36,11,21.7472,GrafoRandomDBajaGRASP
36,10,19.2496,GrafoRandomDBajaGRASP
36,14,21.6703,GrafoRandomDBajaGRASP
36,16,24.1238,GrafoRandomDBajaGRASP
36,11,18.6096,GrafoRandomDBajaGRASP
36,13,21.2507,GrafoRandomDBajaGRASP
36,15,21.219,GrafoRandomDBajaGRASP
36,14,20.6429,GrafoRandomDBajaGRASP
36,16,25.4555,GrafoRandomDBajaGRASP
41,14,23.5088,GrafoRandomDBajaGRASP
41,14,24.6512,GrafoRandomDBajaGRASP
41,19,29.2554,GrafoRandomDBajaGRASP
41,17,27.3212,GrafoRandomDBajaGRASP
41,19,29.0445,GrafoRandomDBajaGRASP
41,20,31.9526,GrafoRandomDBajaGRASP
41,16,28.3756,GrafoRandomDBajaGRASP
41,22,37.6701,GrafoRandomDBajaGRASP
41,12,27.2552,GrafoRandomDBajaGRASP
41,19,31.4991,GrafoRandomDBajaGRASP
41,18,32.1203,GrafoRandomDBajaGRASP
41,20,34.1872,GrafoRandomDBajaGRASP
41,16,27.9344,GrafoRandomDBajaGRASP
41,18,29.2871,GrafoRandomDBajaGRASP
41,14,25.5257,GrafoRandomDBajaGRASP
41,18,29.6107,GrafoRandomDBajaGRASP
41,15,23.663,GrafoRandomDBajaGRASP
41,16,24.3445,GrafoRandomDBajaGRASP
41,17,25.8632,GrafoRandomDBajaGRASP
41,18,27.6148,GrafoRandomDBajaGRASP
41,20,32.1504,GrafoRandomDBajaGRASP
41,17,28.0109,GrafoRandomDBajaGRASP
41,19,35.4016,GrafoRandomDBajaGRASP
41,16,30.8491,GrafoRandomDBajaGRASP
41,17,27.9228,GrafoRandomDBajaGRASP
41,14,26.2266,GrafoRandomDBajaGRASP
41,15,25.0011,GrafoRandomDBajaGRASP
41,19,33.5146,GrafoRandomDBajaGRASP
41,18,27.3159,GrafoRandomDBajaGRASP
41,14,25.4864,GrafoRandomDBajaGRASP
46,16,32.594,GrafoRandomDBajaGRASP
46,23,35.7523,GrafoRandomDBajaGRASP
46,21,35.7443,GrafoRandomDBajaGRASP
46,21,39.8342,GrafoRandomDBajaGRASP
46,16,30.0189,GrafoRandomDBajaGRASP
46,17,27.0919,GrafoRandomDBajaGRASP
46,17,34.7167,GrafoRandomDBajaGRASP
46,31,50.7743,GrafoRandomDBajaGRASP
46,19,32.4826,GrafoRandomDBajaGRASP
46,25,42.8288,GrafoRandomDBajaGRASP
46,20,36.9082,GrafoRandomDBajaGRASP
46,18,31.3927,GrafoRandomDBajaGRASP
46,18,29.4209,GrafoRandomDBajaGRASP
46,15,31.8719,GrafoRandomDBajaGRASP
46,14,28.6698,GrafoRandomDBajaGRASP
46,15,31.9939,GrafoRandomDBajaGRASP
46,21,33.9596,GrafoRandomDBajaGRASP
46,16,35.8102,GrafoRandomDBajaGRASP
46,16,34.4017,GrafoRandomDBajaGRASP
46,19,32.0158,GrafoRandomDBajaGRASP
46,16,31.1969,GrafoRandomDBajaGRASP
46,21,39.2779,GrafoRandomDBajaGRASP
46,23,47.1459,GrafoRandomDBajaGRASP
46,22,32.5167,GrafoRandomDBajaGRASP
46,16,31.0282,GrafoRandomDBajaGRASP
46,15,29.5817,GrafoRandomDBajaGRASP
46,17,34.7375,GrafoRandomDBajaGRASP
46,18,34.5751,GrafoRandomDBajaGRASP
46,19,36.2315,GrafoRandomDBajaGRASP
46,20,34.9941,GrafoRandomDBajaGRASP
51,22,41.3509,GrafoRandomDBajaGRASP
51,30,54.6528,GrafoRandomDBajaGRASP
51,18,40.5847,GrafoRandomDBajaGRASP
51,23,39.7003,GrafoRandomDBajaGRASP
51,27,48.9635,GrafoRandomDBajaGRASP
51,21,39.4969,GrafoRandomDBajaGRASP
51,21,36.4661,GrafoRandomDBajaGRASP
51,24,42.8443,GrafoRandomDBajaGRASP
51,21,42.8686,GrafoRandomDBajaGRASP
51,22,46.2354,GrafoRandomDBajaGRASP
51,26,45.9423,GrafoRandomDBajaGRASP
