cantNod,Res,Tiempo,Tipo
1,0,1.05839,GrafoRandomDMediaGRASP
1,0,1.00899,GrafoRandomDMediaGRASP
1,0,1.08767,GrafoRandomDMediaGRASP
1,0,0.897074,GrafoRandomDMediaGRASP
1,0,0.860118,GrafoRandomDMediaGRASP
1,0,0.86033,GrafoRandomDMediaGRASP
1,0,0.85998,GrafoRandomDMediaGRASP
1,0,0.896441,GrafoRandomDMediaGRASP
1,0,0.89631,GrafoRandomDMediaGRASP
1,0,0.857472,GrafoRandomDMediaGRASP
1,0,0.859353,GrafoRandomDMediaGRASP
1,0,0.855298,GrafoRandomDMediaGRASP
1,0,0.824571,GrafoRandomDMediaGRASP
1,0,0.824956,GrafoRandomDMediaGRASP
1,0,0.824541,GrafoRandomDMediaGRASP
1,0,0.826996,GrafoRandomDMediaGRASP
1,0,0.824528,GrafoRandomDMediaGRASP
1,0,0.824815,GrafoRandomDMediaGRASP
1,0,0.826275,GrafoRandomDMediaGRASP
1,0,0.872776,GrafoRandomDMediaGRASP
1,0,0.824281,GrafoRandomDMediaGRASP
1,0,1.1027,GrafoRandomDMediaGRASP
1,0,0.825125,GrafoRandomDMediaGRASP
1,0,0.860059,GrafoRandomDMediaGRASP
1,0,0.824512,GrafoRandomDMediaGRASP
1,0,0.824601,GrafoRandomDMediaGRASP
1,0,0.826086,GrafoRandomDMediaGRASP
1,0,0.824641,GrafoRandomDMediaGRASP
1,0,0.824768,GrafoRandomDMediaGRASP
1,0,0.824543,GrafoRandomDMediaGRASP
6,5,4.65993,GrafoRandomDMediaGRASP
6,5,4.56972,GrafoRandomDMediaGRASP
6,5,4.66409,GrafoRandomDMediaGRASP
6,5,4.62029,GrafoRandomDMediaGRASP
6,5,4.62575,GrafoRandomDMediaGRASP
6,5,4.56463,GrafoRandomDMediaGRASP
6,5,4.87876,GrafoRandomDMediaGRASP
6,5,4.57787,GrafoRandomDMediaGRASP
6,5,4.61922,GrafoRandomDMediaGRASP
6,5,4.63692,GrafoRandomDMediaGRASP
6,5,4.61907,GrafoRandomDMediaGRASP
6,5,4.57305,GrafoRandomDMediaGRASP
6,5,4.57107,GrafoRandomDMediaGRASP
6,5,4.56093,GrafoRandomDMediaGRASP
6,5,4.60223,GrafoRandomDMediaGRASP
6,5,4.59645,GrafoRandomDMediaGRASP
6,5,4.57478,GrafoRandomDMediaGRASP
6,5,4.5636,GrafoRandomDMediaGRASP
6,5,4.57508,GrafoRandomDMediaGRASP
6,5,4.57099,GrafoRandomDMediaGRASP
6,5,4.67066,GrafoRandomDMediaGRASP
6,5,4.60568,GrafoRandomDMediaGRASP
6,5,4.57176,GrafoRandomDMediaGRASP
6,5,4.62152,GrafoRandomDMediaGRASP
6,5,4.61874,GrafoRandomDMediaGRASP
6,5,4.57842,GrafoRandomDMediaGRASP
6,5,4.60156,GrafoRandomDMediaGRASP
6,5,4.61548,GrafoRandomDMediaGRASP
6,5,4.56858,GrafoRandomDMediaGRASP
6,5,4.65946,GrafoRandomDMediaGRASP
11,14,12.2777,GrafoRandomDMediaGRASP
11,14,11.8236,GrafoRandomDMediaGRASP
11,14,12.1851,GrafoRandomDMediaGRASP
11,12,11.1756,GrafoRandomDMediaGRASP
11,12,11.1718,GrafoRandomDMediaGRASP
11,12,11.1515,GrafoRandomDMediaGRASP
11,12,11.1209,GrafoRandomDMediaGRASP
11,12,11.1415,GrafoRandomDMediaGRASP
11,12,11.1745,GrafoRandomDMediaGRASP
11,12,11.095,GrafoRandomDMediaGRASP
11,12,11.2458,GrafoRandomDMediaGRASP
11,12,11.1472,GrafoRandomDMediaGRASP
11,12,11.1852,GrafoRandomDMediaGRASP
11,12,11.1449,GrafoRandomDMediaGRASP
11,12,11.162,GrafoRandomDMediaGRASP
11,12,11.4216,GrafoRandomDMediaGRASP
11,12,11.558,GrafoRandomDMediaGRASP
11,12,11.1663,GrafoRandomDMediaGRASP
11,12,11.1829,GrafoRandomDMediaGRASP
11,12,11.1556,GrafoRandomDMediaGRASP
11,12,11.1618,GrafoRandomDMediaGRASP
11,12,11.2838,GrafoRandomDMediaGRASP
11,12,11.1924,GrafoRandomDMediaGRASP
11,12,11.1999,GrafoRandomDMediaGRASP
11,12,11.1416,GrafoRandomDMediaGRASP
11,12,11.1105,GrafoRandomDMediaGRASP
11,14,12.2493,GrafoRandomDMediaGRASP
11,14,12.194,GrafoRandomDMediaGRASP
11,14,12.1871,GrafoRandomDMediaGRASP
11,14,12.6495,GrafoRandomDMediaGRASP
16,29,31.4183,GrafoRandomDMediaGRASP
16,30,24.3795,GrafoRandomDMediaGRASP
16,34,30.2013,GrafoRandomDMediaGRASP
16,30,24.2771,GrafoRandomDMediaGRASP
16,34,30.1865,GrafoRandomDMediaGRASP
16,30,24.8815,GrafoRandomDMediaGRASP
16,34,30.1709,GrafoRandomDMediaGRASP
16,30,24.3233,GrafoRandomDMediaGRASP
16,33,30.6169,GrafoRandomDMediaGRASP
16,32,32.7665,GrafoRandomDMediaGRASP
16,33,30.668,GrafoRandomDMediaGRASP
16,32,32.7592,GrafoRandomDMediaGRASP
16,33,30.6061,GrafoRandomDMediaGRASP
16,32,32.8071,GrafoRandomDMediaGRASP
16,33,30.5682,GrafoRandomDMediaGRASP
16,32,32.7422,GrafoRandomDMediaGRASP
16,29,26.1393,GrafoRandomDMediaGRASP
16,31,28.2879,GrafoRandomDMediaGRASP
16,31,28.309,GrafoRandomDMediaGRASP
16,31,28.2454,GrafoRandomDMediaGRASP
16,31,28.2761,GrafoRandomDMediaGRASP
16,31,28.9187,GrafoRandomDMediaGRASP
16,31,28.3032,GrafoRandomDMediaGRASP
16,31,28.2955,GrafoRandomDMediaGRASP
