cantNod,Res,Tiempo,Tipo
1,0,2.33813,Grasp
1,0,1.00336,Grasp
1,0,0.994441,Grasp
1,0,0.967098,Grasp
1,0,0.955159,Grasp
1,0,0.922875,Grasp
1,0,1.04625,Grasp
1,0,0.907163,Grasp
1,0,1.03803,Grasp
1,0,0.891168,Grasp
1,0,0.854852,Grasp
1,0,0.871134,Grasp
1,0,0.855507,Grasp
1,0,0.854024,Grasp
1,0,0.854191,Grasp
1,0,0.854766,Grasp
1,0,0.857365,Grasp
1,0,0.860425,Grasp
1,0,0.854463,Grasp
1,0,0.854219,Grasp
1,0,0.856229,Grasp
1,0,0.854734,Grasp
1,0,0.85378,Grasp
1,0,0.878301,Grasp
1,0,0.870028,Grasp
1,0,0.85948,Grasp
1,0,0.868826,Grasp
1,0,0.949346,Grasp
1,0,1.01582,Grasp
1,0,0.860806,Grasp
2,0,1.17606,Grasp
2,0,1.12241,Grasp
2,0,1.12155,Grasp
2,0,1.12349,Grasp
2,0,1.15887,Grasp
2,0,1.14051,Grasp
2,0,1.12269,Grasp
2,0,1.12206,Grasp
2,0,1.12136,Grasp
2,0,1.12117,Grasp
2,0,1.12318,Grasp
2,0,1.12144,Grasp
2,0,1.12147,Grasp
2,0,1.12309,Grasp
2,0,1.12149,Grasp
2,0,1.12144,Grasp
2,0,1.12066,Grasp
2,0,1.12271,Grasp
2,0,1.12173,Grasp
2,0,1.16702,Grasp
2,0,1.1236,Grasp
2,0,1.12151,Grasp
2,0,1.33564,Grasp
2,0,1.40734,Grasp
2,0,1.30876,Grasp
2,0,1.2826,Grasp
2,0,1.15686,Grasp
2,0,1.12463,Grasp
2,0,1.11836,Grasp
2,0,1.11886,Grasp
3,1,2.01767,Grasp
3,1,1.93681,Grasp
3,1,1.97672,Grasp
3,1,1.93623,Grasp
3,1,1.93815,Grasp
3,1,1.93847,Grasp
3,1,1.93745,Grasp
3,1,1.93745,Grasp
3,1,1.94125,Grasp
3,1,1.93714,Grasp
3,1,1.99248,Grasp
3,1,2.12495,Grasp
3,1,2.18577,Grasp
3,1,2.12321,Grasp
3,1,1.98043,Grasp
