cantNod,Tiempo,Tipo
20, 0.390859, GRASP
40, 1.36314, GRASP
60, 3.02774, GRASP
80, 5.37078, GRASP
100, 8.70221, GRASP
120, 12.8476, GRASP
140, 18.5373, GRASP
160, 23.4282, GRASP
180, 30.6255, GRASP
200, 41.3803, GRASP
220, 45.5237, GRASP
240, 55.4631, GRASP
260, 70.827, GRASP
280, 75.3955, GRASP
300, 84.8646, GRASP
320, 100.928, GRASP
340, 112.857, GRASP
360, 126.852, GRASP
380, 143.324, GRASP
400, 161.448, GRASP
420, 180.13, GRASP
440, 201.015, GRASP
460, 221.757, GRASP
480, 246.919, GRASP
500, 269.052, GRASP
