cantNod,Res,Tiempo,Tipo
5,4,0.005453,GrafoMaloEmiHeurNipo
5,2,0.016059,GrafoMaloEmiHeurEmi
5,4,0.011951,GrafoMaloEmiHeurNipo
5,2,0.022416,GrafoMaloEmiHeurEmi
5,4,0.002729,GrafoMaloEmiHeurNipo
5,2,0.01266,GrafoMaloEmiHeurEmi
5,4,0.002593,GrafoMaloEmiHeurNipo
5,2,0.012415,GrafoMaloEmiHeurEmi
5,4,0.0026,GrafoMaloEmiHeurNipo
5,2,0.012304,GrafoMaloEmiHeurEmi
5,4,0.002633,GrafoMaloEmiHeurNipo
5,2,0.012404,GrafoMaloEmiHeurEmi
5,4,0.002595,GrafoMaloEmiHeurNipo
5,2,0.012308,GrafoMaloEmiHeurEmi
5,4,0.002602,GrafoMaloEmiHeurNipo
5,2,0.012298,GrafoMaloEmiHeurEmi
5,4,0.002612,GrafoMaloEmiHeurNipo
5,2,0.012258,GrafoMaloEmiHeurEmi
5,4,0.002606,GrafoMaloEmiHeurNipo
5,2,0.012263,GrafoMaloEmiHeurEmi
5,4,0.002571,GrafoMaloEmiHeurNipo
5,2,0.012273,GrafoMaloEmiHeurEmi
5,4,0.002612,GrafoMaloEmiHeurNipo
5,2,0.012245,GrafoMaloEmiHeurEmi
5,4,0.002588,GrafoMaloEmiHeurNipo
5,2,0.012295,GrafoMaloEmiHeurEmi
5,4,0.00254,GrafoMaloEmiHeurNipo
5,2,0.012275,GrafoMaloEmiHeurEmi
5,4,0.002581,GrafoMaloEmiHeurNipo
5,2,0.012271,GrafoMaloEmiHeurEmi
5,4,0.002566,GrafoMaloEmiHeurNipo
5,2,0.012215,GrafoMaloEmiHeurEmi
5,4,0.002627,GrafoMaloEmiHeurNipo
5,2,0.012285,GrafoMaloEmiHeurEmi
5,4,0.002589,GrafoMaloEmiHeurNipo
5,2,0.012295,GrafoMaloEmiHeurEmi
5,4,0.002616,GrafoMaloEmiHeurNipo
5,2,0.012267,GrafoMaloEmiHeurEmi
5,4,0.002654,GrafoMaloEmiHeurNipo
5,2,0.012317,GrafoMaloEmiHeurEmi
5,4,0.002659,GrafoMaloEmiHeurNipo
5,2,0.012281,GrafoMaloEmiHeurEmi
5,4,0.002593,GrafoMaloEmiHeurNipo
5,2,0.012252,GrafoMaloEmiHeurEmi
5,4,0.002613,GrafoMaloEmiHeurNipo
5,2,0.012292,GrafoMaloEmiHeurEmi
5,4,0.002597,GrafoMaloEmiHeurNipo
5,2,0.012271,GrafoMaloEmiHeurEmi
5,4,0.002642,GrafoMaloEmiHeurNipo
5,2,0.01232,GrafoMaloEmiHeurEmi
5,4,0.002584,GrafoMaloEmiHeurNipo
5,2,0.012273,GrafoMaloEmiHeurEmi
5,4,0.00259,GrafoMaloEmiHeurNipo
5,2,0.012315,GrafoMaloEmiHeurEmi
5,4,0.002575,GrafoMaloEmiHeurNipo
5,2,0.012263,GrafoMaloEmiHeurEmi
5,4,0.002575,GrafoMaloEmiHeurNipo
5,2,0.012311,GrafoMaloEmiHeurEmi
5,4,0.002575,GrafoMaloEmiHeurNipo
5,2,0.012271,GrafoMaloEmiHeurEmi
5,4,0.002594,GrafoMaloEmiHeurNipo
5,2,0.012253,GrafoMaloEmiHeurEmi
5,4,0.002567,GrafoMaloEmiHeurNipo
5,2,0.012248,GrafoMaloEmiHeurEmi
5,4,0.002577,GrafoMaloEmiHeurNipo
5,2,0.012243,GrafoMaloEmiHeurEmi
5,4,0.002581,GrafoMaloEmiHeurNipo
5,2,0.012247,GrafoMaloEmiHeurEmi
5,4,0.002596,GrafoMaloEmiHeurNipo
5,2,0.012241,GrafoMaloEmiHeurEmi
5,4,0.0026,GrafoMaloEmiHeurNipo
5,2,0.012293,GrafoMaloEmiHeurEmi
5,4,0.002603,GrafoMaloEmiHeurNipo
5,2,0.012311,GrafoMaloEmiHeurEmi
5,4,0.002637,GrafoMaloEmiHeurNipo
5,2,0.012232,GrafoMaloEmiHeurEmi
5,4,0.002585,GrafoMaloEmiHeurNipo
5,2,0.012253,GrafoMaloEmiHeurEmi
5,4,0.002578,GrafoMaloEmiHeurNipo
5,2,0.012263,GrafoMaloEmiHeurEmi
6,5,0.004062,GrafoMaloEmiHeurNipo
6,3,0.037987,GrafoMaloEmiHeurEmi
6,5,0.003324,GrafoMaloEmiHeurNipo
6,3,0.017527,GrafoMaloEmiHeurEmi
6,5,0.003273,GrafoMaloEmiHeurNipo
6,3,0.017172,GrafoMaloEmiHeurEmi
6,5,0.003185,GrafoMaloEmiHeurNipo
6,3,0.017016,GrafoMaloEmiHeurEmi
6,5,0.003139,GrafoMaloEmiHeurNipo
6,3,0.016988,GrafoMaloEmiHeurEmi
6,5,0.003138,GrafoMaloEmiHeurNipo
6,3,0.016905,GrafoMaloEmiHeurEmi
6,5,0.003205,GrafoMaloEmiHeurNipo
6,3,0.016871,GrafoMaloEmiHeurEmi
6,5,0.003143,GrafoMaloEmiHeurNipo
6,3,0.016978,GrafoMaloEmiHeurEmi
6,5,0.003146,GrafoMaloEmiHeurNipo
6,3,0.016927,GrafoMaloEmiHeurEmi
6,5,0.003136,GrafoMaloEmiHeurNipo
6,3,0.016893,GrafoMaloEmiHeurEmi
6,5,0.003142,GrafoMaloEmiHeurNipo
