cantNod,Res,Tiempo,Tipo
5,4,0.005805,GrafoMaloEmiHeurNipo
5,2,0.017286,GrafoMaloEmiHeurEmi
5,4,0.004092,GrafoMaloEmiHeurNipo
5,2,0.010381,GrafoMaloEmiHeurEmi
5,4,0.00311,GrafoMaloEmiHeurNipo
5,2,0.009497,GrafoMaloEmiHeurEmi
5,4,0.002968,GrafoMaloEmiHeurNipo
5,2,0.011093,GrafoMaloEmiHeurEmi
5,4,0.002984,GrafoMaloEmiHeurNipo
5,2,0.009334,GrafoMaloEmiHeurEmi
5,4,0.002917,GrafoMaloEmiHeurNipo
5,2,0.009102,GrafoMaloEmiHeurEmi
5,4,0.002922,GrafoMaloEmiHeurNipo
5,2,0.008951,GrafoMaloEmiHeurEmi
5,4,0.002928,GrafoMaloEmiHeurNipo
5,2,0.009037,GrafoMaloEmiHeurEmi
5,4,0.003072,GrafoMaloEmiHeurNipo
5,2,0.009057,GrafoMaloEmiHeurEmi
5,4,0.002979,GrafoMaloEmiHeurNipo
5,2,0.009142,GrafoMaloEmiHeurEmi
5,4,0.003,GrafoMaloEmiHeurNipo
5,2,0.009306,GrafoMaloEmiHeurEmi
5,4,0.002935,GrafoMaloEmiHeurNipo
5,2,0.009039,GrafoMaloEmiHeurEmi
5,4,0.002956,GrafoMaloEmiHeurNipo
5,2,0.012325,GrafoMaloEmiHeurEmi
5,4,0.004382,GrafoMaloEmiHeurNipo
5,2,0.012387,GrafoMaloEmiHeurEmi
5,4,0.004048,GrafoMaloEmiHeurNipo
5,2,0.012197,GrafoMaloEmiHeurEmi
5,4,0.004005,GrafoMaloEmiHeurNipo
5,2,0.013315,GrafoMaloEmiHeurEmi
5,4,0.004078,GrafoMaloEmiHeurNipo
5,2,0.012499,GrafoMaloEmiHeurEmi
5,4,0.004222,GrafoMaloEmiHeurNipo
5,2,0.012717,GrafoMaloEmiHeurEmi
5,4,0.00406,GrafoMaloEmiHeurNipo
5,2,0.013002,GrafoMaloEmiHeurEmi
5,4,0.004413,GrafoMaloEmiHeurNipo
5,2,0.012814,GrafoMaloEmiHeurEmi
5,4,0.004512,GrafoMaloEmiHeurNipo
5,2,0.013242,GrafoMaloEmiHeurEmi
5,4,0.004661,GrafoMaloEmiHeurNipo
5,2,0.012682,GrafoMaloEmiHeurEmi
5,4,0.004591,GrafoMaloEmiHeurNipo
5,2,0.012672,GrafoMaloEmiHeurEmi
5,4,0.004013,GrafoMaloEmiHeurNipo
5,2,0.014323,GrafoMaloEmiHeurEmi
5,4,0.004305,GrafoMaloEmiHeurNipo
5,2,0.012846,GrafoMaloEmiHeurEmi
6,5,0.006452,GrafoMaloEmiHeurNipo
6,3,0.020666,GrafoMaloEmiHeurEmi
6,5,0.005189,GrafoMaloEmiHeurNipo
6,3,0.013944,GrafoMaloEmiHeurEmi
6,5,0.003617,GrafoMaloEmiHeurNipo
6,3,0.012665,GrafoMaloEmiHeurEmi
6,5,0.003322,GrafoMaloEmiHeurNipo
6,3,0.012427,GrafoMaloEmiHeurEmi
6,5,0.003285,GrafoMaloEmiHeurNipo
6,3,0.012244,GrafoMaloEmiHeurEmi
6,5,0.003406,GrafoMaloEmiHeurNipo
6,3,0.012216,GrafoMaloEmiHeurEmi
6,5,0.003268,GrafoMaloEmiHeurNipo
6,3,0.012136,GrafoMaloEmiHeurEmi
6,5,0.003307,GrafoMaloEmiHeurNipo
6,3,0.01204,GrafoMaloEmiHeurEmi
6,5,0.003394,GrafoMaloEmiHeurNipo
6,3,0.012,GrafoMaloEmiHeurEmi
6,5,0.003402,GrafoMaloEmiHeurNipo
6,3,0.0121,GrafoMaloEmiHeurEmi
6,5,0.003405,GrafoMaloEmiHeurNipo
