cantNod,Res,Tiempo,Tipo
5,2,0.02562,GrafoMaloNipoHeurNipo
5,1,0.051117,GrafoMaloNipoHeurEmi
5,2,0.010367,GrafoMaloNipoHeurNipo
5,1,0.042712,GrafoMaloNipoHeurEmi
5,2,0.008251,GrafoMaloNipoHeurNipo
5,1,0.038153,GrafoMaloNipoHeurEmi
5,2,0.00825,GrafoMaloNipoHeurNipo
5,1,0.037713,GrafoMaloNipoHeurEmi
5,2,0.008143,GrafoMaloNipoHeurNipo
5,1,0.011817,GrafoMaloNipoHeurEmi
5,2,0.002531,GrafoMaloNipoHeurNipo
5,1,0.011751,GrafoMaloNipoHeurEmi
5,2,0.002577,GrafoMaloNipoHeurNipo
5,1,0.011776,GrafoMaloNipoHeurEmi
5,2,0.002659,GrafoMaloNipoHeurNipo
5,1,0.013523,GrafoMaloNipoHeurEmi
5,2,0.00259,GrafoMaloNipoHeurNipo
5,1,0.011813,GrafoMaloNipoHeurEmi
5,2,0.002614,GrafoMaloNipoHeurNipo
5,1,0.011713,GrafoMaloNipoHeurEmi
5,2,0.002611,GrafoMaloNipoHeurNipo
5,1,0.011759,GrafoMaloNipoHeurEmi
5,2,0.002565,GrafoMaloNipoHeurNipo
5,1,0.011775,GrafoMaloNipoHeurEmi
5,2,0.002612,GrafoMaloNipoHeurNipo
5,1,0.011749,GrafoMaloNipoHeurEmi
5,2,0.002512,GrafoMaloNipoHeurNipo
5,1,0.011783,GrafoMaloNipoHeurEmi
5,2,0.002516,GrafoMaloNipoHeurNipo
5,1,0.011718,GrafoMaloNipoHeurEmi
5,2,0.002519,GrafoMaloNipoHeurNipo
5,1,0.011843,GrafoMaloNipoHeurEmi
5,2,0.002696,GrafoMaloNipoHeurNipo
5,1,0.011652,GrafoMaloNipoHeurEmi
5,2,0.002637,GrafoMaloNipoHeurNipo
5,1,0.01165,GrafoMaloNipoHeurEmi
5,2,0.002595,GrafoMaloNipoHeurNipo
5,1,0.011634,GrafoMaloNipoHeurEmi
5,2,0.00257,GrafoMaloNipoHeurNipo
5,1,0.011647,GrafoMaloNipoHeurEmi
5,2,0.002539,GrafoMaloNipoHeurNipo
5,1,0.011613,GrafoMaloNipoHeurEmi
5,2,0.00255,GrafoMaloNipoHeurNipo
5,1,0.011835,GrafoMaloNipoHeurEmi
5,2,0.002565,GrafoMaloNipoHeurNipo
5,1,0.011731,GrafoMaloNipoHeurEmi
5,2,0.002543,GrafoMaloNipoHeurNipo
5,1,0.011675,GrafoMaloNipoHeurEmi
5,2,0.00257,GrafoMaloNipoHeurNipo
5,1,0.011186,GrafoMaloNipoHeurEmi
6,2,0.003305,GrafoMaloNipoHeurNipo
6,1,0.019216,GrafoMaloNipoHeurEmi
6,2,0.002866,GrafoMaloNipoHeurNipo
6,1,0.016551,GrafoMaloNipoHeurEmi
6,2,0.002775,GrafoMaloNipoHeurNipo
6,1,0.015656,GrafoMaloNipoHeurEmi
6,2,0.002778,GrafoMaloNipoHeurNipo
6,1,0.015461,GrafoMaloNipoHeurEmi
6,2,0.002717,GrafoMaloNipoHeurNipo
6,1,0.015126,GrafoMaloNipoHeurEmi
6,2,0.00271,GrafoMaloNipoHeurNipo
6,1,0.014878,GrafoMaloNipoHeurEmi
6,2,0.00276,GrafoMaloNipoHeurNipo
6,1,0.014978,GrafoMaloNipoHeurEmi
6,2,0.002645,GrafoMaloNipoHeurNipo
6,1,0.014813,GrafoMaloNipoHeurEmi
6,2,0.002692,GrafoMaloNipoHeurNipo
6,1,0.015067,GrafoMaloNipoHeurEmi
6,2,0.002671,GrafoMaloNipoHeurNipo
6,1,0.014908,GrafoMaloNipoHeurEmi
6,2,0.002676,GrafoMaloNipoHeurNipo
6,1,0.015018,GrafoMaloNipoHeurEmi
6,2,0.002631,GrafoMaloNipoHeurNipo
6,1,0.019017,GrafoMaloNipoHeurEmi
6,2,0.003717,GrafoMaloNipoHeurNipo
6,1,0.015087,GrafoMaloNipoHeurEmi
6,2,0.002684,GrafoMaloNipoHeurNipo
6,1,0.01494,GrafoMaloNipoHeurEmi
6,2,0.002647,GrafoMaloNipoHeurNipo
6,1,0.01493,GrafoMaloNipoHeurEmi
6,2,0.002689,GrafoMaloNipoHeurNipo
6,1,0.01505,GrafoMaloNipoHeurEmi
6,2,0.00265,GrafoMaloNipoHeurNipo
6,1,0.01494,GrafoMaloNipoHeurEmi
6,2,0.002618,GrafoMaloNipoHeurNipo
6,1,0.015105,GrafoMaloNipoHeurEmi
6,2,0.002671,GrafoMaloNipoHeurNipo
6,1,0.01489,GrafoMaloNipoHeurEmi
6,2,0.002617,GrafoMaloNipoHeurNipo
6,1,0.014984,GrafoMaloNipoHeurEmi
6,2,0.002591,GrafoMaloNipoHeurNipo
6,1,0.014953,GrafoMaloNipoHeurEmi
6,2,0.002645,GrafoMaloNipoHeurNipo
6,1,0.01493,GrafoMaloNipoHeurEmi
6,2,0.002636,GrafoMaloNipoHeurNipo
6,1,0.014994,GrafoMaloNipoHeurEmi
6,2,0.002633,GrafoMaloNipoHeurNipo
6,1,0.014924,GrafoMaloNipoHeurEmi
6,2,0.002633,GrafoMaloNipoHeurNipo
6,1,0.014934,GrafoMaloNipoHeurEmi
7,2,0.003962,GrafoMaloNipoHeurNipo
7,2,0.025531,GrafoMaloNipoHeurEmi
7,2,0.003551,GrafoMaloNipoHeurNipo
7,2,0.022507,GrafoMaloNipoHeurEmi
7,2,0.003115,GrafoMaloNipoHeurNipo
7,2,0.021291,GrafoMaloNipoHeurEmi
7,2,0.003034,GrafoMaloNipoHeurNipo
7,2,0.020604,GrafoMaloNipoHeurEmi
7,2,0.002985,GrafoMaloNipoHeurNipo
7,2,0.020308,GrafoMaloNipoHeurEmi
7,2,0.003032,GrafoMaloNipoHeurNipo
7,2,0.020219,GrafoMaloNipoHeurEmi
7,2,0.002967,GrafoMaloNipoHeurNipo
7,2,0.020347,GrafoMaloNipoHeurEmi
7,2,0.002986,GrafoMaloNipoHeurNipo
7,2,0.020043,GrafoMaloNipoHeurEmi
7,2,0.00299,GrafoMaloNipoHeurNipo
7,2,0.020188,GrafoMaloNipoHeurEmi
7,2,0.002978,GrafoMaloNipoHeurNipo
7,2,0.020138,GrafoMaloNipoHeurEmi
7,2,0.003038,GrafoMaloNipoHeurNipo
7,2,0.019981,GrafoMaloNipoHeurEmi
7,2,0.002991,GrafoMaloNipoHeurNipo
7,2,0.020118,GrafoMaloNipoHeurEmi
7,2,0.002979,GrafoMaloNipoHeurNipo
7,2,0.019098,GrafoMaloNipoHeurEmi
7,2,0.002795,GrafoMaloNipoHeurNipo
7,2,0.019183,GrafoMaloNipoHeurEmi
7,2,0.002855,GrafoMaloNipoHeurNipo
7,2,0.019172,GrafoMaloNipoHeurEmi
7,2,0.002878,GrafoMaloNipoHeurNipo
7,2,0.019074,GrafoMaloNipoHeurEmi
7,2,0.002921,GrafoMaloNipoHeurNipo
7,2,0.018978,GrafoMaloNipoHeurEmi
7,2,0.002856,GrafoMaloNipoHeurNipo
7,2,0.019133,GrafoMaloNipoHeurEmi
7,2,0.002836,GrafoMaloNipoHeurNipo
7,2,0.018969,GrafoMaloNipoHeurEmi
7,2,0.002869,GrafoMaloNipoHeurNipo
7,2,0.019108,GrafoMaloNipoHeurEmi
7,2,0.002887,GrafoMaloNipoHeurNipo
7,2,0.019183,GrafoMaloNipoHeurEmi
7,2,0.002877,GrafoMaloNipoHeurNipo
7,2,0.019078,GrafoMaloNipoHeurEmi
7,2,0.002869,GrafoMaloNipoHeurNipo
7,2,0.019252,GrafoMaloNipoHeurEmi
7,2,0.002843,GrafoMaloNipoHeurNipo
7,2,0.018978,GrafoMaloNipoHeurEmi
7,2,0.002901,GrafoMaloNipoHeurNipo
7,2,0.019144,GrafoMaloNipoHeurEmi
8,3,0.004264,GrafoMaloNipoHeurNipo
8,2,0.030983,GrafoMaloNipoHeurEmi
8,3,0.003827,GrafoMaloNipoHeurNipo
8,2,0.027724,GrafoMaloNipoHeurEmi
8,3,0.00344,GrafoMaloNipoHeurNipo
8,2,0.02622,GrafoMaloNipoHeurEmi
8,3,0.003518,GrafoMaloNipoHeurNipo
8,2,0.02556,GrafoMaloNipoHeurEmi
8,3,0.003238,GrafoMaloNipoHeurNipo
8,2,0.02535,GrafoMaloNipoHeurEmi
8,3,0.003532,GrafoMaloNipoHeurNipo
8,2,0.025078,GrafoMaloNipoHeurEmi
8,3,0.003278,GrafoMaloNipoHeurNipo
8,2,0.025027,GrafoMaloNipoHeurEmi
8,3,0.003486,GrafoMaloNipoHeurNipo
8,2,0.02476,GrafoMaloNipoHeurEmi
8,3,0.003373,GrafoMaloNipoHeurNipo
8,2,0.024852,GrafoMaloNipoHeurEmi
8,3,0.003528,GrafoMaloNipoHeurNipo
8,2,0.024698,GrafoMaloNipoHeurEmi
8,3,0.003276,GrafoMaloNipoHeurNipo
8,2,0.024711,GrafoMaloNipoHeurEmi
8,3,0.003523,GrafoMaloNipoHeurNipo
8,2,0.024627,GrafoMaloNipoHeurEmi
8,3,0.003334,GrafoMaloNipoHeurNipo
8,2,0.024935,GrafoMaloNipoHeurEmi
8,3,0.003531,GrafoMaloNipoHeurNipo
8,2,0.033507,GrafoMaloNipoHeurEmi
8,3,0.003446,GrafoMaloNipoHeurNipo
