cantNod,Res,Tiempo,Tipo
5,2,0.004872,GrafoMaloNipoHeurNipo
5,1,0.025103,GrafoMaloNipoHeurEmi
5,2,0.002555,GrafoMaloNipoHeurNipo
5,1,0.023698,GrafoMaloNipoHeurEmi
5,2,0.002369,GrafoMaloNipoHeurNipo
5,1,0.014185,GrafoMaloNipoHeurEmi
5,2,0.002335,GrafoMaloNipoHeurNipo
5,1,0.014041,GrafoMaloNipoHeurEmi
5,2,0.002257,GrafoMaloNipoHeurNipo
5,1,0.014019,GrafoMaloNipoHeurEmi
5,2,0.002303,GrafoMaloNipoHeurNipo
5,1,0.013902,GrafoMaloNipoHeurEmi
5,2,0.00222,GrafoMaloNipoHeurNipo
5,1,0.013408,GrafoMaloNipoHeurEmi
5,2,0.00223,GrafoMaloNipoHeurNipo
5,1,0.013544,GrafoMaloNipoHeurEmi
5,2,0.002229,GrafoMaloNipoHeurNipo
5,1,0.013509,GrafoMaloNipoHeurEmi
5,2,0.002205,GrafoMaloNipoHeurNipo
5,1,0.013452,GrafoMaloNipoHeurEmi
5,2,0.002203,GrafoMaloNipoHeurNipo
5,1,0.013467,GrafoMaloNipoHeurEmi
5,2,0.002195,GrafoMaloNipoHeurNipo
5,1,0.013441,GrafoMaloNipoHeurEmi
5,2,0.002183,GrafoMaloNipoHeurNipo
5,1,0.01345,GrafoMaloNipoHeurEmi
5,2,0.013477,GrafoMaloNipoHeurNipo
5,1,0.013456,GrafoMaloNipoHeurEmi
5,2,0.002205,GrafoMaloNipoHeurNipo
5,1,0.013411,GrafoMaloNipoHeurEmi
5,2,0.002218,GrafoMaloNipoHeurNipo
5,1,0.013543,GrafoMaloNipoHeurEmi
5,2,0.002219,GrafoMaloNipoHeurNipo
5,1,0.013496,GrafoMaloNipoHeurEmi
5,2,0.002174,GrafoMaloNipoHeurNipo
5,1,0.013469,GrafoMaloNipoHeurEmi
5,2,0.002199,GrafoMaloNipoHeurNipo
5,1,0.01341,GrafoMaloNipoHeurEmi
5,2,0.002184,GrafoMaloNipoHeurNipo
5,1,0.013452,GrafoMaloNipoHeurEmi
5,2,0.002224,GrafoMaloNipoHeurNipo
5,1,0.013405,GrafoMaloNipoHeurEmi
5,2,0.00224,GrafoMaloNipoHeurNipo
5,1,0.013446,GrafoMaloNipoHeurEmi
5,2,0.002214,GrafoMaloNipoHeurNipo
5,1,0.013478,GrafoMaloNipoHeurEmi
5,2,0.002268,GrafoMaloNipoHeurNipo
5,1,0.013409,GrafoMaloNipoHeurEmi
5,2,0.002217,GrafoMaloNipoHeurNipo
5,1,0.01349,GrafoMaloNipoHeurEmi
5,2,0.002192,GrafoMaloNipoHeurNipo
5,1,0.013411,GrafoMaloNipoHeurEmi
5,2,0.002193,GrafoMaloNipoHeurNipo
5,1,0.01343,GrafoMaloNipoHeurEmi
5,2,0.0022,GrafoMaloNipoHeurNipo
5,1,0.013463,GrafoMaloNipoHeurEmi
5,2,0.002201,GrafoMaloNipoHeurNipo
5,1,0.013405,GrafoMaloNipoHeurEmi
5,2,0.002179,GrafoMaloNipoHeurNipo
5,1,0.013474,GrafoMaloNipoHeurEmi
5,2,0.002177,GrafoMaloNipoHeurNipo
5,1,0.013393,GrafoMaloNipoHeurEmi
5,2,0.002198,GrafoMaloNipoHeurNipo
5,1,0.013436,GrafoMaloNipoHeurEmi
5,2,0.002241,GrafoMaloNipoHeurNipo
5,1,0.013445,GrafoMaloNipoHeurEmi
5,2,0.002204,GrafoMaloNipoHeurNipo
5,1,0.013423,GrafoMaloNipoHeurEmi
5,2,0.002249,GrafoMaloNipoHeurNipo
5,1,0.013458,GrafoMaloNipoHeurEmi
5,2,0.002222,GrafoMaloNipoHeurNipo
5,1,0.013525,GrafoMaloNipoHeurEmi
5,2,0.002215,GrafoMaloNipoHeurNipo
5,1,0.013465,GrafoMaloNipoHeurEmi
5,2,0.002196,GrafoMaloNipoHeurNipo
5,1,0.013362,GrafoMaloNipoHeurEmi
5,2,0.002199,GrafoMaloNipoHeurNipo
5,1,0.013382,GrafoMaloNipoHeurEmi
5,2,0.002187,GrafoMaloNipoHeurNipo
5,1,0.013443,GrafoMaloNipoHeurEmi
6,2,0.002862,GrafoMaloNipoHeurNipo
6,1,0.039856,GrafoMaloNipoHeurEmi
6,2,0.002475,GrafoMaloNipoHeurNipo
6,1,0.019482,GrafoMaloNipoHeurEmi
6,2,0.00244,GrafoMaloNipoHeurNipo
6,1,0.019103,GrafoMaloNipoHeurEmi
6,2,0.00239,GrafoMaloNipoHeurNipo
6,1,0.018799,GrafoMaloNipoHeurEmi
6,2,0.002385,GrafoMaloNipoHeurNipo
6,1,0.018901,GrafoMaloNipoHeurEmi
6,2,0.002357,GrafoMaloNipoHeurNipo
6,1,0.018647,GrafoMaloNipoHeurEmi
6,2,0.002355,GrafoMaloNipoHeurNipo
6,1,0.01866,GrafoMaloNipoHeurEmi
6,2,0.002323,GrafoMaloNipoHeurNipo
6,1,0.018726,GrafoMaloNipoHeurEmi
6,2,0.002342,GrafoMaloNipoHeurNipo
6,1,0.018735,GrafoMaloNipoHeurEmi
6,2,0.002348,GrafoMaloNipoHeurNipo
6,1,0.018724,GrafoMaloNipoHeurEmi
6,2,0.002325,GrafoMaloNipoHeurNipo
6,1,0.01862,GrafoMaloNipoHeurEmi
6,2,0.002334,GrafoMaloNipoHeurNipo
6,1,0.018748,GrafoMaloNipoHeurEmi
6,2,0.002326,GrafoMaloNipoHeurNipo
6,1,0.018755,GrafoMaloNipoHeurEmi
6,2,0.002333,GrafoMaloNipoHeurNipo
6,1,0.018717,GrafoMaloNipoHeurEmi
6,2,0.002315,GrafoMaloNipoHeurNipo
6,1,0.018738,GrafoMaloNipoHeurEmi
6,2,0.002355,GrafoMaloNipoHeurNipo
6,1,0.01871,GrafoMaloNipoHeurEmi
6,2,0.002349,GrafoMaloNipoHeurNipo
6,1,0.018713,GrafoMaloNipoHeurEmi
6,2,0.002297,GrafoMaloNipoHeurNipo
6,1,0.01878,GrafoMaloNipoHeurEmi
6,2,0.002363,GrafoMaloNipoHeurNipo
6,1,0.018694,GrafoMaloNipoHeurEmi
6,2,0.002329,GrafoMaloNipoHeurNipo
6,1,0.018725,GrafoMaloNipoHeurEmi
6,2,0.002323,GrafoMaloNipoHeurNipo
6,1,0.018731,GrafoMaloNipoHeurEmi
6,2,0.002347,GrafoMaloNipoHeurNipo
6,1,0.018767,GrafoMaloNipoHeurEmi
6,2,0.002342,GrafoMaloNipoHeurNipo
6,1,0.018678,GrafoMaloNipoHeurEmi
6,2,0.002373,GrafoMaloNipoHeurNipo
6,1,0.018768,GrafoMaloNipoHeurEmi
6,2,0.002326,GrafoMaloNipoHeurNipo
6,1,0.018735,GrafoMaloNipoHeurEmi
6,2,0.00235,GrafoMaloNipoHeurNipo
6,1,0.018687,GrafoMaloNipoHeurEmi
6,2,0.002354,GrafoMaloNipoHeurNipo
6,1,0.018801,GrafoMaloNipoHeurEmi
6,2,0.002369,GrafoMaloNipoHeurNipo
6,1,0.018682,GrafoMaloNipoHeurEmi
6,2,0.002367,GrafoMaloNipoHeurNipo
6,1,0.018717,GrafoMaloNipoHeurEmi
6,2,0.002321,GrafoMaloNipoHeurNipo
6,1,0.01881,GrafoMaloNipoHeurEmi
6,2,0.002312,GrafoMaloNipoHeurNipo
6,1,0.018711,GrafoMaloNipoHeurEmi
6,2,0.002351,GrafoMaloNipoHeurNipo
6,1,0.018763,GrafoMaloNipoHeurEmi
6,2,0.002322,GrafoMaloNipoHeurNipo
6,1,0.018743,GrafoMaloNipoHeurEmi
6,2,0.002321,GrafoMaloNipoHeurNipo
6,1,0.018879,GrafoMaloNipoHeurEmi
6,2,0.002335,GrafoMaloNipoHeurNipo
6,1,0.018726,GrafoMaloNipoHeurEmi
6,2,0.002316,GrafoMaloNipoHeurNipo
6,1,0.018777,GrafoMaloNipoHeurEmi
6,2,0.002321,GrafoMaloNipoHeurNipo
6,1,0.018697,GrafoMaloNipoHeurEmi
6,2,0.002323,GrafoMaloNipoHeurNipo
6,1,0.018678,GrafoMaloNipoHeurEmi
6,2,0.002338,GrafoMaloNipoHeurNipo
6,1,0.018719,GrafoMaloNipoHeurEmi
6,2,0.002366,GrafoMaloNipoHeurNipo
6,1,0.018714,GrafoMaloNipoHeurEmi
7,2,0.003065,GrafoMaloNipoHeurNipo
7,2,0.046793,GrafoMaloNipoHeurEmi
7,2,0.002676,GrafoMaloNipoHeurNipo
7,2,0.025928,GrafoMaloNipoHeurEmi
7,2,0.002608,GrafoMaloNipoHeurNipo
7,2,0.025299,GrafoMaloNipoHeurEmi
7,2,0.002588,GrafoMaloNipoHeurNipo
7,2,0.024984,GrafoMaloNipoHeurEmi
7,2,0.002519,GrafoMaloNipoHeurNipo
7,2,0.024776,GrafoMaloNipoHeurEmi
7,2,0.002554,GrafoMaloNipoHeurNipo
7,2,0.024814,GrafoMaloNipoHeurEmi
7,2,0.002506,GrafoMaloNipoHeurNipo
7,2,0.0247,GrafoMaloNipoHeurEmi
7,2,0.002524,GrafoMaloNipoHeurNipo
7,2,0.024868,GrafoMaloNipoHeurEmi
7,2,0.002486,GrafoMaloNipoHeurNipo
7,2,0.024712,GrafoMaloNipoHeurEmi
7,2,0.002512,GrafoMaloNipoHeurNipo
7,2,0.024722,GrafoMaloNipoHeurEmi
7,2,0.002526,GrafoMaloNipoHeurNipo
7,2,0.024728,GrafoMaloNipoHeurEmi
7,2,0.002472,GrafoMaloNipoHeurNipo
7,2,0.024732,GrafoMaloNipoHeurEmi
7,2,0.00251,GrafoMaloNipoHeurNipo
7,2,0.024787,GrafoMaloNipoHeurEmi
7,2,0.002559,GrafoMaloNipoHeurNipo
7,2,0.024756,GrafoMaloNipoHeurEmi
7,2,0.002474,GrafoMaloNipoHeurNipo
7,2,0.024671,GrafoMaloNipoHeurEmi
7,2,0.002473,GrafoMaloNipoHeurNipo
7,2,0.024755,GrafoMaloNipoHeurEmi
7,2,0.002525,GrafoMaloNipoHeurNipo
7,2,0.024747,GrafoMaloNipoHeurEmi
7,2,0.002513,GrafoMaloNipoHeurNipo
7,2,0.024809,GrafoMaloNipoHeurEmi
7,2,0.00249,GrafoMaloNipoHeurNipo
7,2,0.02478,GrafoMaloNipoHeurEmi
7,2,0.002484,GrafoMaloNipoHeurNipo
7,2,0.024714,GrafoMaloNipoHeurEmi
7,2,0.002504,GrafoMaloNipoHeurNipo
7,2,0.024633,GrafoMaloNipoHeurEmi
7,2,0.002481,GrafoMaloNipoHeurNipo
7,2,0.02476,GrafoMaloNipoHeurEmi
7,2,0.002494,GrafoMaloNipoHeurNipo
7,2,0.024633,GrafoMaloNipoHeurEmi
7,2,0.002535,GrafoMaloNipoHeurNipo
7,2,0.02476,GrafoMaloNipoHeurEmi
7,2,0.002516,GrafoMaloNipoHeurNipo
7,2,0.024761,GrafoMaloNipoHeurEmi
7,2,0.002547,GrafoMaloNipoHeurNipo
7,2,0.024816,GrafoMaloNipoHeurEmi
7,2,0.002564,GrafoMaloNipoHeurNipo
7,2,0.024712,GrafoMaloNipoHeurEmi
7,2,0.002496,GrafoMaloNipoHeurNipo
7,2,0.024786,GrafoMaloNipoHeurEmi
7,2,0.002497,GrafoMaloNipoHeurNipo
7,2,0.024612,GrafoMaloNipoHeurEmi
7,2,0.002504,GrafoMaloNipoHeurNipo
7,2,0.024657,GrafoMaloNipoHeurEmi
7,2,0.002538,GrafoMaloNipoHeurNipo
7,2,0.024764,GrafoMaloNipoHeurEmi
7,2,0.002489,GrafoMaloNipoHeurNipo
7,2,0.024602,GrafoMaloNipoHeurEmi
7,2,0.002519,GrafoMaloNipoHeurNipo
7,2,0.024716,GrafoMaloNipoHeurEmi
7,2,0.002491,GrafoMaloNipoHeurNipo
7,2,0.024785,GrafoMaloNipoHeurEmi
7,2,0.002496,GrafoMaloNipoHeurNipo
7,2,0.02466,GrafoMaloNipoHeurEmi
7,2,0.002479,GrafoMaloNipoHeurNipo
7,2,0.024716,GrafoMaloNipoHeurEmi
7,2,0.002495,GrafoMaloNipoHeurNipo
7,2,0.024685,GrafoMaloNipoHeurEmi
7,2,0.002508,GrafoMaloNipoHeurNipo
7,2,0.024646,GrafoMaloNipoHeurEmi
7,2,0.002469,GrafoMaloNipoHeurNipo
7,2,0.024617,GrafoMaloNipoHeurEmi
7,2,0.002575,GrafoMaloNipoHeurNipo
7,2,0.024927,GrafoMaloNipoHeurEmi
8,3,0.003807,GrafoMaloNipoHeurNipo
8,2,0.054065,GrafoMaloNipoHeurEmi
8,3,0.003356,GrafoMaloNipoHeurNipo
8,2,0.033424,GrafoMaloNipoHeurEmi
8,3,0.003232,GrafoMaloNipoHeurNipo
8,2,0.032755,GrafoMaloNipoHeurEmi
8,3,0.003209,GrafoMaloNipoHeurNipo
8,2,0.032539,GrafoMaloNipoHeurEmi
8,3,0.003082,GrafoMaloNipoHeurNipo
8,2,0.032099,GrafoMaloNipoHeurEmi
8,3,0.003157,GrafoMaloNipoHeurNipo
8,2,0.032055,GrafoMaloNipoHeurEmi
8,3,0.003119,GrafoMaloNipoHeurNipo
8,2,0.032416,GrafoMaloNipoHeurEmi
