cantNod,Res,Tiempo,Tipo
5,4,0.01904,GrafoRandomDMediaHeurNipo
5,4,0.119921,GrafoRandomDMediaHeurGrego
5,2,0.053873,GrafoRandomDMediaHeurEmi
5,4,0.132331,GrafoRandomDMediaHeurGrego
5,5,4,0.016602,GrafoRandomDMediaHeurNipo
5,4,0.07603,GrafoRandomDMediaHeurGrego
5,2,0.044246,GrafoRandomDMediaHeurEmi
5,4,0.120878,GrafoRandomDMediaHeurGrego
5,5,2,0.011866,GrafoRandomDMediaHeurNipo
5,2,0.059357,GrafoRandomDMediaHeurGrego
5,2,0.050126,GrafoRandomDMediaHeurEmi
5,2,0.066226,GrafoRandomDMediaHeurGrego
5,5,4,0.01571,GrafoRandomDMediaHeurNipo
5,4,0.094811,GrafoRandomDMediaHeurGrego
5,2,0.045804,GrafoRandomDMediaHeurEmi
5,4,0.123091,GrafoRandomDMediaHeurGrego
5,5,3,0.015477,GrafoRandomDMediaHeurNipo
5,3,0.072092,GrafoRandomDMediaHeurGrego
5,3,0.050253,GrafoRandomDMediaHeurEmi
5,3,0.064761,GrafoRandomDMediaHeurGrego
5,5,4,0.017807,GrafoRandomDMediaHeurNipo
5,4,0.087538,GrafoRandomDMediaHeurGrego
5,2,0.047242,GrafoRandomDMediaHeurEmi
5,4,0.130254,GrafoRandomDMediaHeurGrego
5,5,3,0.013762,GrafoRandomDMediaHeurNipo
5,3,0.070499,GrafoRandomDMediaHeurGrego
5,3,0.051785,GrafoRandomDMediaHeurEmi
5,3,0.063302,GrafoRandomDMediaHeurGrego
5,5,4,0.004845,GrafoRandomDMediaHeurNipo
5,4,0.024151,GrafoRandomDMediaHeurGrego
5,2,0.012751,GrafoRandomDMediaHeurEmi
5,4,0.035519,GrafoRandomDMediaHeurGrego
5,5,4,0.003754,GrafoRandomDMediaHeurNipo
5,4,0.023291,GrafoRandomDMediaHeurGrego
5,2,0.0111,GrafoRandomDMediaHeurEmi
5,4,0.034789,GrafoRandomDMediaHeurGrego
5,5,4,0.00534,GrafoRandomDMediaHeurNipo
5,4,0.022137,GrafoRandomDMediaHeurGrego
5,2,0.014209,GrafoRandomDMediaHeurEmi
5,4,0.035045,GrafoRandomDMediaHeurGrego
5,5,3,0.004262,GrafoRandomDMediaHeurNipo
5,3,0.0207,GrafoRandomDMediaHeurGrego
5,1,0.012884,GrafoRandomDMediaHeurEmi
5,3,0.033946,GrafoRandomDMediaHeurGrego
5,5,4,0.004598,GrafoRandomDMediaHeurNipo
5,4,0.022066,GrafoRandomDMediaHeurGrego
5,2,0.012985,GrafoRandomDMediaHeurEmi
5,4,0.034706,GrafoRandomDMediaHeurGrego
5,5,3,0.004855,GrafoRandomDMediaHeurNipo
5,3,0.020848,GrafoRandomDMediaHeurGrego
5,1,0.013271,GrafoRandomDMediaHeurEmi
5,3,0.033863,GrafoRandomDMediaHeurGrego
5,5,4,0.004627,GrafoRandomDMediaHeurNipo
5,4,0.025131,GrafoRandomDMediaHeurGrego
5,2,0.013119,GrafoRandomDMediaHeurEmi
5,4,0.037499,GrafoRandomDMediaHeurGrego
5,5,4,0.004184,GrafoRandomDMediaHeurNipo
5,4,0.023348,GrafoRandomDMediaHeurGrego
5,2,0.012834,GrafoRandomDMediaHeurEmi
5,4,0.035379,GrafoRandomDMediaHeurGrego
5,5,3,0.003776,GrafoRandomDMediaHeurNipo
5,3,0.020369,GrafoRandomDMediaHeurGrego
5,3,0.014353,GrafoRandomDMediaHeurEmi
5,3,0.018902,GrafoRandomDMediaHeurGrego
5,5,3,0.004504,GrafoRandomDMediaHeurNipo
5,3,0.020572,GrafoRandomDMediaHeurGrego
5,1,0.013529,GrafoRandomDMediaHeurEmi
5,3,0.034147,GrafoRandomDMediaHeurGrego
5,5,4,0.005075,GrafoRandomDMediaHeurNipo
