cantNod,Res,Tiempo_ms,Tipo
1,0,0.002381,CompletoHeurNipo
1,0,0.015285,CompletoHeurEmi
1,0,0.00011,FuncionEneCubo
1,0,0.00011,FuncionEneCuarta
1,0,0.001435,CompletoHeurNipo
1,0,0.001461,CompletoHeurEmi
1,0,3.3e-05,FuncionEneCubo
1,0,3.2e-05,FuncionEneCuarta
1,0,0.001416,CompletoHeurNipo
1,0,0.001447,CompletoHeurEmi
1,0,5.8e-05,FuncionEneCubo
1,0,3.2e-05,FuncionEneCuarta
1,0,0.00137,CompletoHeurNipo
1,0,0.001435,CompletoHeurEmi
1,0,3.2e-05,FuncionEneCubo
1,0,3.2e-05,FuncionEneCuarta
1,0,0.001382,CompletoHeurNipo
1,0,0.001461,CompletoHeurEmi
1,0,3.2e-05,FuncionEneCubo
1,0,3.2e-05,FuncionEneCuarta
1,0,0.001367,CompletoHeurNipo
1,0,0.001411,CompletoHeurEmi
1,0,3.4e-05,FuncionEneCubo
1,0,3.3e-05,FuncionEneCuarta
1,0,0.001335,CompletoHeurNipo
1,0,0.001461,CompletoHeurEmi
1,0,3.3e-05,FuncionEneCubo
1,0,5.1e-05,FuncionEneCuarta
1,0,0.001366,CompletoHeurNipo
1,0,0.00141,CompletoHeurEmi
1,0,3.2e-05,FuncionEneCubo
1,0,3.3e-05,FuncionEneCuarta
1,0,0.001378,CompletoHeurNipo
1,0,0.001394,CompletoHeurEmi
1,0,3.3e-05,FuncionEneCubo
1,0,3.3e-05,FuncionEneCuarta
1,0,0.001351,CompletoHeurNipo
1,0,0.001538,CompletoHeurEmi
1,0,3.2e-05,FuncionEneCubo
1,0,5.1e-05,FuncionEneCuarta
2,1,0.003069,CompletoHeurNipo
2,0,0.003386,CompletoHeurEmi
2,0,0.000158,FuncionEneCubo
2,0,0.00022,FuncionEneCuarta
2,1,0.002504,CompletoHeurNipo
2,0,0.00299,CompletoHeurEmi
2,0,0.000106,FuncionEneCubo
2,0,0.000112,FuncionEneCuarta
2,1,0.002319,CompletoHeurNipo
2,0,0.002898,CompletoHeurEmi
2,0,5.4e-05,FuncionEneCubo
2,0,9e-05,FuncionEneCuarta
2,1,0.002274,CompletoHeurNipo
2,0,0.002877,CompletoHeurEmi
2,0,7e-05,FuncionEneCubo
2,0,7.6e-05,FuncionEneCuarta
2,1,0.002189,CompletoHeurNipo
2,0,0.002903,CompletoHeurEmi
2,0,5e-05,FuncionEneCubo
2,0,9.4e-05,FuncionEneCuarta
2,1,0.002184,CompletoHeurNipo
2,0,0.002918,CompletoHeurEmi
2,0,4.9e-05,FuncionEneCubo
2,0,7.4e-05,FuncionEneCuarta
2,1,0.00217,CompletoHeurNipo
2,0,0.002856,CompletoHeurEmi
2,0,5.1e-05,FuncionEneCubo
2,0,7.8e-05,FuncionEneCuarta
2,1,0.002252,CompletoHeurNipo
2,0,0.002834,CompletoHeurEmi
2,0,5.1e-05,FuncionEneCubo
2,0,9.3e-05,FuncionEneCuarta
2,1,0.002239,CompletoHeurNipo
2,0,0.002902,CompletoHeurEmi
2,0,5.2e-05,FuncionEneCubo
2,0,7.6e-05,FuncionEneCuarta
2,1,0.002195,CompletoHeurNipo
2,0,0.002949,CompletoHeurEmi
2,0,5.2e-05,FuncionEneCubo
2,0,7.5e-05,FuncionEneCuarta
3,2,0.003452,CompletoHeurNipo
3,0,0.005929,CompletoHeurEmi
3,0,0.000305,FuncionEneCubo
3,0,0.00049,FuncionEneCuarta
3,2,0.002556,CompletoHeurNipo
3,0,0.005027,CompletoHeurEmi
3,0,0.0001,FuncionEneCubo
3,0,0.000287,FuncionEneCuarta
3,2,0.002342,CompletoHeurNipo
3,0,0.00481,CompletoHeurEmi
3,0,0.000101,FuncionEneCubo
3,0,0.00026,FuncionEneCuarta
3,2,0.002277,CompletoHeurNipo
3,0,0.004852,CompletoHeurEmi
3,0,0.000104,FuncionEneCubo
3,0,0.000278,FuncionEneCuarta
3,2,0.002216,CompletoHeurNipo
3,0,0.004776,CompletoHeurEmi
3,0,0.000101,FuncionEneCubo
3,0,0.00026,FuncionEneCuarta
3,2,0.002325,CompletoHeurNipo
3,0,0.004807,CompletoHeurEmi
3,0,0.000101,FuncionEneCubo
3,0,0.000264,FuncionEneCuarta
3,2,0.002224,CompletoHeurNipo
3,0,0.004914,CompletoHeurEmi
3,0,0.000101,FuncionEneCubo
3,0,0.00026,FuncionEneCuarta
3,2,0.002318,CompletoHeurNipo
3,0,0.004829,CompletoHeurEmi
3,0,0.000117,FuncionEneCubo
3,0,0.00026,FuncionEneCuarta
3,2,0.002334,CompletoHeurNipo
3,0,0.004805,CompletoHeurEmi
3,0,9.8e-05,FuncionEneCubo
3,0,0.000257,FuncionEneCuarta
3,2,0.002281,CompletoHeurNipo
3,0,0.004806,CompletoHeurEmi
3,0,0.000102,FuncionEneCubo
3,0,0.000289,FuncionEneCuarta
4,4,0.005081,CompletoHeurNipo
4,0,0.009393,CompletoHeurEmi
4,0,0.000374,FuncionEneCubo
4,0,0.000989,FuncionEneCuarta
4,4,0.004044,CompletoHeurNipo
4,0,0.0079,CompletoHeurEmi
4,0,0.000248,FuncionEneCubo
4,0,0.000693,FuncionEneCuarta
4,4,0.003524,CompletoHeurNipo
4,0,0.007517,CompletoHeurEmi
4,0,0.000208,FuncionEneCubo
4,0,0.000662,FuncionEneCuarta
4,4,0.003554,CompletoHeurNipo
4,0,0.00768,CompletoHeurEmi
4,0,0.000206,FuncionEneCubo
4,0,0.000659,FuncionEneCuarta
4,4,0.003572,CompletoHeurNipo
4,0,0.007407,CompletoHeurEmi
4,0,0.000193,FuncionEneCubo
4,0,0.000689,FuncionEneCuarta
4,4,0.003571,CompletoHeurNipo
4,0,0.00725,CompletoHeurEmi
4,0,0.00019,FuncionEneCubo
4,0,0.000675,FuncionEneCuarta
4,4,0.003611,CompletoHeurNipo
4,0,0.007447,CompletoHeurEmi
4,0,0.00021,FuncionEneCubo
4,0,0.000668,FuncionEneCuarta
4,4,0.003355,CompletoHeurNipo
4,0,0.007295,CompletoHeurEmi
4,0,0.000191,FuncionEneCubo
4,0,0.000683,FuncionEneCuarta
4,4,0.003512,CompletoHeurNipo
4,0,0.007326,CompletoHeurEmi
4,0,0.000209,FuncionEneCubo
4,0,0.000654,FuncionEneCuarta
4,4,0.00382,CompletoHeurNipo
4,0,0.007193,CompletoHeurEmi
4,0,0.000193,FuncionEneCubo
4,0,0.000678,FuncionEneCuarta
5,6,0.006754,CompletoHeurNipo
5,0,0.01303,CompletoHeurEmi
5,0,0.000527,FuncionEneCubo
5,0,0.001792,FuncionEneCuarta
5,6,0.005726,CompletoHeurNipo
5,0,0.01136,CompletoHeurEmi
5,0,0.000389,FuncionEneCubo
5,0,0.001596,FuncionEneCuarta
5,6,0.005807,CompletoHeurNipo
5,0,0.010918,CompletoHeurEmi
5,0,0.000359,FuncionEneCubo
5,0,0.001588,FuncionEneCuarta
5,6,0.005224,CompletoHeurNipo
5,0,0.010447,CompletoHeurEmi
5,0,0.000379,FuncionEneCubo
5,0,0.001557,FuncionEneCuarta
5,6,0.00508,CompletoHeurNipo
5,0,0.010421,CompletoHeurEmi
5,0,0.000363,FuncionEneCubo
5,0,0.001586,FuncionEneCuarta
5,6,0.00509,CompletoHeurNipo
5,0,0.010524,CompletoHeurEmi
5,0,0.000348,FuncionEneCubo
5,0,0.001574,FuncionEneCuarta
5,6,0.00506,CompletoHeurNipo
5,0,0.010504,CompletoHeurEmi
5,0,0.000352,FuncionEneCubo
5,0,0.001594,FuncionEneCuarta
5,6,0.005049,CompletoHeurNipo
5,0,0.010339,CompletoHeurEmi
5,0,0.000351,FuncionEneCubo
5,0,0.001627,FuncionEneCuarta
5,6,0.00506,CompletoHeurNipo
5,0,0.010317,CompletoHeurEmi
5,0,0.000366,FuncionEneCubo
5,0,0.001597,FuncionEneCuarta
5,6,0.005069,CompletoHeurNipo
5,0,0.010376,CompletoHeurEmi
5,0,0.000352,FuncionEneCubo
5,0,0.001591,FuncionEneCuarta
6,9,0.010083,CompletoHeurNipo
6,0,0.017046,CompletoHeurEmi
6,0,0.000709,FuncionEneCubo
6,0,0.003328,FuncionEneCuarta
6,9,0.008619,CompletoHeurNipo
6,0,0.015431,CompletoHeurEmi
6,0,0.000592,FuncionEneCubo
6,0,0.003152,FuncionEneCuarta
6,9,0.008138,CompletoHeurNipo
6,0,0.014957,CompletoHeurEmi
6,0,0.000591,FuncionEneCubo
6,0,0.003117,FuncionEneCuarta
6,9,0.007885,CompletoHeurNipo
6,0,0.014569,CompletoHeurEmi
6,0,0.000572,FuncionEneCubo
6,0,0.003129,FuncionEneCuarta
6,9,0.007575,CompletoHeurNipo
6,0,0.014703,CompletoHeurEmi
6,0,0.000563,FuncionEneCubo
6,0,0.009238,FuncionEneCuarta
6,9,0.007964,CompletoHeurNipo
6,0,0.01461,CompletoHeurEmi
6,0,0.000577,FuncionEneCubo
6,0,0.003114,FuncionEneCuarta
6,9,0.007772,CompletoHeurNipo
6,0,0.014621,CompletoHeurEmi
6,0,0.00058,FuncionEneCubo
6,0,0.003117,FuncionEneCuarta
6,9,0.007626,CompletoHeurNipo
6,0,0.014514,CompletoHeurEmi
6,0,0.000578,FuncionEneCubo
6,0,0.00313,FuncionEneCuarta
6,9,0.007677,CompletoHeurNipo
6,0,0.014574,CompletoHeurEmi
6,0,0.000564,FuncionEneCubo
6,0,0.003111,FuncionEneCuarta
6,9,0.007541,CompletoHeurNipo
6,0,0.014626,CompletoHeurEmi
6,0,0.000565,FuncionEneCubo
6,0,0.0031,FuncionEneCuarta
7,12,0.014552,CompletoHeurNipo
7,0,0.036809,CompletoHeurEmi
7,0,0.000986,FuncionEneCubo
7,0,0.005699,FuncionEneCuarta
7,12,0.012426,CompletoHeurNipo
7,0,0.021009,CompletoHeurEmi
7,0,0.000875,FuncionEneCubo
7,0,0.005489,FuncionEneCuarta
7,12,0.012187,CompletoHeurNipo
7,0,0.020782,CompletoHeurEmi
7,0,0.000884,FuncionEneCubo
7,0,0.005465,FuncionEneCuarta
7,12,0.011702,CompletoHeurNipo
7,0,0.020295,CompletoHeurEmi
7,0,0.000852,FuncionEneCubo
7,0,0.005471,FuncionEneCuarta
7,12,0.011505,CompletoHeurNipo
7,0,0.019979,CompletoHeurEmi
7,0,0.000848,FuncionEneCubo
7,0,0.005521,FuncionEneCuarta
7,12,0.011398,CompletoHeurNipo
7,0,0.020003,CompletoHeurEmi
7,0,0.000875,FuncionEneCubo
7,0,0.005449,FuncionEneCuarta
7,12,0.011395,CompletoHeurNipo
7,0,0.019901,CompletoHeurEmi
7,0,0.000864,FuncionEneCubo
7,0,0.005436,FuncionEneCuarta
7,12,0.011471,CompletoHeurNipo
7,0,0.019805,CompletoHeurEmi
7,0,0.000852,FuncionEneCubo
7,0,0.005501,FuncionEneCuarta
7,12,0.011307,CompletoHeurNipo
7,0,0.019908,CompletoHeurEmi
7,0,0.000869,FuncionEneCubo
7,0,0.005507,FuncionEneCuarta
7,12,0.01116,CompletoHeurNipo
7,0,0.019672,CompletoHeurEmi
7,0,0.00085,FuncionEneCubo
7,0,0.005473,FuncionEneCuarta
8,16,0.038154,CompletoHeurNipo
8,0,0.04458,CompletoHeurEmi
8,0,0.001385,FuncionEneCubo
8,0,0.009752,FuncionEneCuarta
8,16,0.0191,CompletoHeurNipo
8,0,0.041121,CompletoHeurEmi
8,0,0.001278,FuncionEneCubo
8,0,0.009205,FuncionEneCuarta
8,16,0.017669,CompletoHeurNipo
8,0,0.027676,CompletoHeurEmi
8,0,0.001274,FuncionEneCubo
8,0,0.009121,FuncionEneCuarta
8,16,0.017486,CompletoHeurNipo
8,0,0.027381,CompletoHeurEmi
8,0,0.001266,FuncionEneCubo
8,0,0.009189,FuncionEneCuarta
8,16,0.017152,CompletoHeurNipo
8,0,0.027194,CompletoHeurEmi
8,0,0.001275,FuncionEneCubo
8,0,0.009136,FuncionEneCuarta
8,16,0.016852,CompletoHeurNipo
8,0,0.026952,CompletoHeurEmi
8,0,0.001271,FuncionEneCubo
8,0,0.009095,FuncionEneCuarta
8,16,0.016527,CompletoHeurNipo
8,0,0.02692,CompletoHeurEmi
