cantDens,Res,Tiempo,Tipo
0.1,8,1.01794,GrafoRandomDVarHeurEmi
0.1,8,0.346971,GrafoRandomDVarExacto
0.1,6,0.942089,GrafoRandomDVarHeurEmi
0.1,8,0.370439,GrafoRandomDVarExacto
0.1,9,0.939994,GrafoRandomDVarHeurEmi
0.1,11,0.496921,GrafoRandomDVarExacto
0.1,11,0.899835,GrafoRandomDVarHeurEmi
0.1,11,0.455365,GrafoRandomDVarExacto
0.1,9,0.992025,GrafoRandomDVarHeurEmi
0.1,9,0.456273,GrafoRandomDVarExacto
0.1,4,0.501181,GrafoRandomDVarHeurEmi
0.1,7,0.257714,GrafoRandomDVarExacto
0.1,9,0.659931,GrafoRandomDVarHeurEmi
0.1,11,0.263301,GrafoRandomDVarExacto
0.1,9,0.497061,GrafoRandomDVarHeurEmi
0.1,9,0.210152,GrafoRandomDVarExacto
0.1,10,0.493429,GrafoRandomDVarHeurEmi
0.1,11,0.256108,GrafoRandomDVarExacto
0.1,3,0.513892,GrafoRandomDVarHeurEmi
0.1,6,0.196604,GrafoRandomDVarExacto
0.1,7,0.541409,GrafoRandomDVarHeurEmi
0.1,7,0.193181,GrafoRandomDVarExacto
0.1,7,0.509074,GrafoRandomDVarHeurEmi
0.1,7,0.219581,GrafoRandomDVarExacto
0.1,5,0.513333,GrafoRandomDVarHeurEmi
0.1,6,0.198489,GrafoRandomDVarExacto
0.1,7,0.516825,GrafoRandomDVarHeurEmi
0.1,7,0.225448,GrafoRandomDVarExacto
0.1,5,0.498946,GrafoRandomDVarHeurEmi
0.1,9,0.217066,GrafoRandomDVarExacto
0.1,8,0.548394,GrafoRandomDVarHeurEmi
0.1,8,0.229988,GrafoRandomDVarExacto
0.1,9,0.499574,GrafoRandomDVarHeurEmi
0.1,11,0.324203,GrafoRandomDVarExacto
0.1,11,0.513543,GrafoRandomDVarHeurEmi
0.1,11,0.274127,GrafoRandomDVarExacto
0.1,7,0.497759,GrafoRandomDVarHeurEmi
0.1,7,0.272381,GrafoRandomDVarExacto
0.1,10,0.542039,GrafoRandomDVarHeurEmi
0.1,10,0.278807,GrafoRandomDVarExacto
0.1,8,0.511796,GrafoRandomDVarHeurEmi
0.1,8,0.305207,GrafoRandomDVarExacto
0.1,12,0.50607,GrafoRandomDVarHeurEmi
0.1,12,0.258762,GrafoRandomDVarExacto
0.1,9,0.524299,GrafoRandomDVarHeurEmi
0.1,10,0.264768,GrafoRandomDVarExacto
0.1,4,0.495454,GrafoRandomDVarHeurEmi
0.1,9,0.193111,GrafoRandomDVarExacto
0.1,7,0.519899,GrafoRandomDVarHeurEmi
0.1,7,0.185778,GrafoRandomDVarExacto
0.2,16,0.57661,GrafoRandomDVarHeurEmi
0.2,16,2.57191,GrafoRandomDVarExacto
0.2,10,0.577727,GrafoRandomDVarHeurEmi
0.2,14,1.3362,GrafoRandomDVarExacto
0.2,21,0.561663,GrafoRandomDVarHeurEmi
0.2,24,2.42754,GrafoRandomDVarExacto
0.2,15,0.605385,GrafoRandomDVarHeurEmi
0.2,15,0.949282,GrafoRandomDVarExacto
0.2,18,0.5544,GrafoRandomDVarHeurEmi
0.2,19,1.36121,GrafoRandomDVarExacto
0.2,22,0.55887,GrafoRandomDVarHeurEmi
0.2,25,2.17625,GrafoRandomDVarExacto
0.2,20,0.573676,GrafoRandomDVarHeurEmi
0.2,24,2.36385,GrafoRandomDVarExacto
0.2,14,0.557124,GrafoRandomDVarHeurEmi
0.2,19,2.66724,GrafoRandomDVarExacto
0.2,20,0.559289,GrafoRandomDVarHeurEmi
0.2,22,2.88067,GrafoRandomDVarExacto
0.2,21,0.548045,GrafoRandomDVarHeurEmi
0.2,21,1.5312,GrafoRandomDVarExacto
0.2,16,0.560686,GrafoRandomDVarHeurEmi
0.2,19,1.983,GrafoRandomDVarExacto
0.2,20,0.560476,GrafoRandomDVarHeurEmi
0.2,22,2.3306,GrafoRandomDVarExacto
0.2,14,0.697644,GrafoRandomDVarHeurEmi
0.2,16,1.31281,GrafoRandomDVarExacto
0.2,14,0.58122,GrafoRandomDVarHeurEmi
0.2,17,5.34754,GrafoRandomDVarExacto
0.2,19,0.544762,GrafoRandomDVarHeurEmi
0.2,21,3.30685,GrafoRandomDVarExacto
0.2,19,0.558451,GrafoRandomDVarHeurEmi
0.2,21,1.82551,GrafoRandomDVarExacto
0.2,18,0.556425,GrafoRandomDVarHeurEmi
0.2,19,1.19079,GrafoRandomDVarExacto
0.2,19,0.555867,GrafoRandomDVarHeurEmi
0.2,23,1.97239,GrafoRandomDVarExacto
0.2,22,0.558661,GrafoRandomDVarHeurEmi
0.2,22,1.68178,GrafoRandomDVarExacto
0.2,19,0.556076,GrafoRandomDVarHeurEmi
0.2,21,1.20225,GrafoRandomDVarExacto
0.2,17,0.573467,GrafoRandomDVarHeurEmi
0.2,18,1.50312,GrafoRandomDVarExacto
0.2,19,0.559428,GrafoRandomDVarHeurEmi
0.2,21,1.27879,GrafoRandomDVarExacto
0.2,17,0.54986,GrafoRandomDVarHeurEmi
0.2,19,4.61595,GrafoRandomDVarExacto
0.2,14,0.558032,GrafoRandomDVarHeurEmi
0.2,18,3.04389,GrafoRandomDVarExacto
0.2,14,0.553143,GrafoRandomDVarHeurEmi
0.2,18,3.78016,GrafoRandomDVarExacto
0.3,31,0.606571,GrafoRandomDVarHeurEmi
0.3,35,8.59055,GrafoRandomDVarExacto
0.3,33,0.628641,GrafoRandomDVarHeurEmi
0.3,33,5.17035,GrafoRandomDVarExacto
0.3,30,0.605104,GrafoRandomDVarHeurEmi
0.3,32,9.58655,GrafoRandomDVarExacto
0.3,34,0.638559,GrafoRandomDVarHeurEmi
0.3,36,11.7171,GrafoRandomDVarExacto
0.3,34,0.620121,GrafoRandomDVarHeurEmi
0.3,37,14.2657,GrafoRandomDVarExacto
0.3,37,0.601124,GrafoRandomDVarHeurEmi
0.3,42,6.48141,GrafoRandomDVarExacto
0.3,33,0.59435,GrafoRandomDVarHeurEmi
0.3,34,16.1406,GrafoRandomDVarExacto
0.3,37,0.62061,GrafoRandomDVarHeurEmi
0.3,40,15.5599,GrafoRandomDVarExacto
0.3,34,0.652178,GrafoRandomDVarHeurEmi
0.3,40,52.8502,GrafoRandomDVarExacto
0.3,29,0.612996,GrafoRandomDVarHeurEmi
0.3,29,10.0894,GrafoRandomDVarExacto
0.3,30,0.614533,GrafoRandomDVarHeurEmi
0.3,31,12.1562,GrafoRandomDVarExacto
0.3,29,0.608736,GrafoRandomDVarHeurEmi
0.3,30,27.3636,GrafoRandomDVarExacto
0.3,40,0.62494,GrafoRandomDVarHeurEmi
0.3,40,9.18713,GrafoRandomDVarExacto
