cantNod,Res,Tiempo,Tipo
14,5,0.006473,GrafoMaloNipoHeurNipo
14,6,0.085711,GrafoMaloNipoHeurEmi
14,5,0.005875,GrafoMaloNipoHeurNipo
14,6,0.072081,GrafoMaloNipoHeurEmi
14,5,0.005646,GrafoMaloNipoHeurNipo
14,6,0.072036,GrafoMaloNipoHeurEmi
14,5,0.005568,GrafoMaloNipoHeurNipo
14,6,0.07006,GrafoMaloNipoHeurEmi
14,5,0.005433,GrafoMaloNipoHeurNipo
14,6,0.06957,GrafoMaloNipoHeurEmi
14,5,0.00533,GrafoMaloNipoHeurNipo
14,6,0.070193,GrafoMaloNipoHeurEmi
14,5,0.005281,GrafoMaloNipoHeurNipo
14,6,0.069703,GrafoMaloNipoHeurEmi
14,5,0.005367,GrafoMaloNipoHeurNipo
14,6,0.069371,GrafoMaloNipoHeurEmi
14,5,0.005445,GrafoMaloNipoHeurNipo
14,6,0.070059,GrafoMaloNipoHeurEmi
14,5,0.005381,GrafoMaloNipoHeurNipo
14,6,0.069506,GrafoMaloNipoHeurEmi
14,5,0.00535,GrafoMaloNipoHeurNipo
14,6,0.069676,GrafoMaloNipoHeurEmi
14,5,0.005354,GrafoMaloNipoHeurNipo
14,6,0.070354,GrafoMaloNipoHeurEmi
14,5,0.005382,GrafoMaloNipoHeurNipo
14,6,0.069803,GrafoMaloNipoHeurEmi
14,5,0.005489,GrafoMaloNipoHeurNipo
14,6,0.069339,GrafoMaloNipoHeurEmi
14,5,0.005359,GrafoMaloNipoHeurNipo
14,6,0.069764,GrafoMaloNipoHeurEmi
14,5,0.005331,GrafoMaloNipoHeurNipo
14,6,0.069305,GrafoMaloNipoHeurEmi
14,5,0.00539,GrafoMaloNipoHeurNipo
14,6,0.069578,GrafoMaloNipoHeurEmi
14,5,0.005318,GrafoMaloNipoHeurNipo
14,6,0.070207,GrafoMaloNipoHeurEmi
14,5,0.00535,GrafoMaloNipoHeurNipo
14,6,0.069363,GrafoMaloNipoHeurEmi
14,5,0.005354,GrafoMaloNipoHeurNipo
14,6,0.069375,GrafoMaloNipoHeurEmi
14,5,0.005311,GrafoMaloNipoHeurNipo
14,6,0.06985,GrafoMaloNipoHeurEmi
14,5,0.005358,GrafoMaloNipoHeurNipo
14,6,0.069171,GrafoMaloNipoHeurEmi
14,5,0.005348,GrafoMaloNipoHeurNipo
14,6,0.069872,GrafoMaloNipoHeurEmi
14,5,0.005389,GrafoMaloNipoHeurNipo
14,6,0.069879,GrafoMaloNipoHeurEmi
14,5,0.00539,GrafoMaloNipoHeurNipo
14,6,0.069296,GrafoMaloNipoHeurEmi
15,5,0.006642,GrafoMaloNipoHeurNipo
15,6,0.097703,GrafoMaloNipoHeurEmi
15,5,0.006195,GrafoMaloNipoHeurNipo
15,6,0.086183,GrafoMaloNipoHeurEmi
15,5,0.005844,GrafoMaloNipoHeurNipo
15,6,0.084352,GrafoMaloNipoHeurEmi
15,5,0.005699,GrafoMaloNipoHeurNipo
15,6,0.083977,GrafoMaloNipoHeurEmi
15,5,0.005765,GrafoMaloNipoHeurNipo
15,6,0.083554,GrafoMaloNipoHeurEmi
15,5,0.005733,GrafoMaloNipoHeurNipo
15,6,0.083393,GrafoMaloNipoHeurEmi
15,5,0.005648,GrafoMaloNipoHeurNipo
15,6,0.083341,GrafoMaloNipoHeurEmi
15,5,0.005697,GrafoMaloNipoHeurNipo
15,6,0.08302,GrafoMaloNipoHeurEmi
15,5,0.005685,GrafoMaloNipoHeurNipo
15,6,0.083284,GrafoMaloNipoHeurEmi
15,5,0.005733,GrafoMaloNipoHeurNipo
15,6,0.083157,GrafoMaloNipoHeurEmi
15,5,0.005706,GrafoMaloNipoHeurNipo
15,6,0.083123,GrafoMaloNipoHeurEmi
15,5,0.005732,GrafoMaloNipoHeurNipo
15,6,0.083112,GrafoMaloNipoHeurEmi
15,5,0.005664,GrafoMaloNipoHeurNipo
15,6,0.083627,GrafoMaloNipoHeurEmi
15,5,0.005694,GrafoMaloNipoHeurNipo
15,6,0.087384,GrafoMaloNipoHeurEmi
