cantNod,Res,Tiempo_ms,Tipo
251,6820,541.336,GrafoRandomDMediaHeurNipo
251,6023,332.611,GrafoRandomDMediaHeurEmi
251,6808,527.673,GrafoRandomDMediaHeurNipo
251,6058,333.87,GrafoRandomDMediaHeurEmi
251,6764,513.676,GrafoRandomDMediaHeurNipo
251,6075,341.162,GrafoRandomDMediaHeurEmi
251,6866,539.117,GrafoRandomDMediaHeurNipo
251,6071,333.56,GrafoRandomDMediaHeurEmi
251,6855,532.569,GrafoRandomDMediaHeurNipo
251,6040,334.484,GrafoRandomDMediaHeurEmi
251,6817,523.255,GrafoRandomDMediaHeurNipo
251,6130,333.396,GrafoRandomDMediaHeurEmi
251,6801,515.605,GrafoRandomDMediaHeurNipo
251,6106,333.876,GrafoRandomDMediaHeurEmi
251,6844,540.002,GrafoRandomDMediaHeurNipo
251,6061,333.916,GrafoRandomDMediaHeurEmi
251,6795,538.128,GrafoRandomDMediaHeurNipo
251,5999,333.312,GrafoRandomDMediaHeurEmi
251,6778,524.149,GrafoRandomDMediaHeurNipo
251,6033,332.406,GrafoRandomDMediaHeurEmi
251,6827,538.141,GrafoRandomDMediaHeurNipo
251,6007,332.131,GrafoRandomDMediaHeurEmi
251,6851,539.593,GrafoRandomDMediaHeurNipo
251,6059,333.904,GrafoRandomDMediaHeurEmi
251,6853,537.628,GrafoRandomDMediaHeurNipo
251,6050,333.981,GrafoRandomDMediaHeurEmi
251,6817,528.349,GrafoRandomDMediaHeurNipo
251,6041,332.734,GrafoRandomDMediaHeurEmi
251,6813,538.22,GrafoRandomDMediaHeurNipo
251,6029,332.47,GrafoRandomDMediaHeurEmi
251,6770,524.733,GrafoRandomDMediaHeurNipo
251,6031,332.815,GrafoRandomDMediaHeurEmi
251,6809,534.984,GrafoRandomDMediaHeurNipo
251,6014,333.293,GrafoRandomDMediaHeurEmi
251,6842,552.25,GrafoRandomDMediaHeurNipo
251,5991,333.712,GrafoRandomDMediaHeurEmi
251,6837,544.803,GrafoRandomDMediaHeurNipo
251,6038,333.196,GrafoRandomDMediaHeurEmi
251,6835,524.582,GrafoRandomDMediaHeurNipo
251,6067,332.322,GrafoRandomDMediaHeurEmi
251,6827,536.938,GrafoRandomDMediaHeurNipo
251,6034,334.259,GrafoRandomDMediaHeurEmi
251,6850,529.591,GrafoRandomDMediaHeurNipo
251,6120,333.214,GrafoRandomDMediaHeurEmi
251,6815,544.37,GrafoRandomDMediaHeurNipo
251,6005,332.8,GrafoRandomDMediaHeurEmi
251,6803,528.508,GrafoRandomDMediaHeurNipo
251,6037,331.491,GrafoRandomDMediaHeurEmi
251,6805,540.68,GrafoRandomDMediaHeurNipo
251,5974,332.55,GrafoRandomDMediaHeurEmi
251,6816,528.041,GrafoRandomDMediaHeurNipo
251,6067,332.152,GrafoRandomDMediaHeurEmi
251,6796,523.173,GrafoRandomDMediaHeurNipo
251,6070,332.254,GrafoRandomDMediaHeurEmi
251,6830,523.345,GrafoRandomDMediaHeurNipo
251,6073,332.659,GrafoRandomDMediaHeurEmi
251,6688,523.425,GrafoRandomDMediaHeurNipo
251,5885,331.077,GrafoRandomDMediaHeurEmi
251,6745,527.832,GrafoRandomDMediaHeurNipo
251,5989,332.842,GrafoRandomDMediaHeurEmi
251,6880,541.716,GrafoRandomDMediaHeurNipo
251,6097,335.437,GrafoRandomDMediaHeurEmi
251,6809,550.319,GrafoRandomDMediaHeurNipo
