cantNod,Res,Tiempo,Tipo
1,0,0.012468,GrafoRandomDMediaHeurNipo
1,0,0.007921,Exacto
1,0,0.011476,GrafoRandomDMediaHeurEmi
1,0,0.008266,GrafoRandomDMediaHeurNipo
1,0,0.003774,Exacto
1,0,0.006679,GrafoRandomDMediaHeurEmi
1,0,0.006121,GrafoRandomDMediaHeurNipo
1,0,0.003146,Exacto
1,0,0.006372,GrafoRandomDMediaHeurEmi
1,0,0.005801,GrafoRandomDMediaHeurNipo
1,0,0.002948,Exacto
1,0,0.006541,GrafoRandomDMediaHeurEmi
1,0,0.005934,GrafoRandomDMediaHeurNipo
1,0,0.003038,Exacto
1,0,0.006215,GrafoRandomDMediaHeurEmi
1,0,0.021924,GrafoRandomDMediaHeurNipo
1,0,0.002614,Exacto
1,0,0.005405,GrafoRandomDMediaHeurEmi
1,0,0.005078,GrafoRandomDMediaHeurNipo
1,0,0.002657,Exacto
1,0,0.005468,GrafoRandomDMediaHeurEmi
1,0,0.004887,GrafoRandomDMediaHeurNipo
1,0,0.002597,Exacto
1,0,0.005431,GrafoRandomDMediaHeurEmi
1,0,0.005041,GrafoRandomDMediaHeurNipo
1,0,0.002681,Exacto
1,0,0.005348,GrafoRandomDMediaHeurEmi
1,0,0.0053,GrafoRandomDMediaHeurNipo
1,0,0.002716,Exacto
1,0,0.005358,GrafoRandomDMediaHeurEmi
1,0,0.004845,GrafoRandomDMediaHeurNipo
1,0,0.002683,Exacto
1,0,0.005321,GrafoRandomDMediaHeurEmi
1,0,0.005213,GrafoRandomDMediaHeurNipo
1,0,0.00249,Exacto
1,0,0.005369,GrafoRandomDMediaHeurEmi
1,0,0.00493,GrafoRandomDMediaHeurNipo
1,0,0.002621,Exacto
1,0,0.005296,GrafoRandomDMediaHeurEmi
1,0,0.005008,GrafoRandomDMediaHeurNipo
1,0,0.002658,Exacto
1,0,0.005256,GrafoRandomDMediaHeurEmi
1,0,0.004943,GrafoRandomDMediaHeurNipo
1,0,0.00259,Exacto
1,0,0.005557,GrafoRandomDMediaHeurEmi
1,0,0.004886,GrafoRandomDMediaHeurNipo
1,0,0.002709,Exacto
1,0,0.005572,GrafoRandomDMediaHeurEmi
1,0,0.005178,GrafoRandomDMediaHeurNipo
1,0,0.0026,Exacto
1,0,0.005434,GrafoRandomDMediaHeurEmi
1,0,0.005033,GrafoRandomDMediaHeurNipo
1,0,0.002641,Exacto
1,0,0.005499,GrafoRandomDMediaHeurEmi
1,0,0.004907,GrafoRandomDMediaHeurNipo
1,0,0.002605,Exacto
1,0,0.005396,GrafoRandomDMediaHeurEmi
1,0,0.005177,GrafoRandomDMediaHeurNipo
1,0,0.002746,Exacto
1,0,0.005553,GrafoRandomDMediaHeurEmi
1,0,0.004973,GrafoRandomDMediaHeurNipo
1,0,0.002575,Exacto
1,0,0.005247,GrafoRandomDMediaHeurEmi
1,0,0.004972,GrafoRandomDMediaHeurNipo
1,0,0.002619,Exacto
1,0,0.005395,GrafoRandomDMediaHeurEmi
1,0,0.005193,GrafoRandomDMediaHeurNipo
1,0,0.00259,Exacto
1,0,0.005426,GrafoRandomDMediaHeurEmi
1,0,0.004867,GrafoRandomDMediaHeurNipo
1,0,0.002714,Exacto
1,0,0.005417,GrafoRandomDMediaHeurEmi
1,0,0.005076,GrafoRandomDMediaHeurNipo
1,0,0.002685,Exacto
1,0,0.00537,GrafoRandomDMediaHeurEmi
1,0,0.005093,GrafoRandomDMediaHeurNipo
1,0,0.002637,Exacto
1,0,0.005485,GrafoRandomDMediaHeurEmi
1,0,0.005015,GrafoRandomDMediaHeurNipo
1,0,0.002623,Exacto
1,0,0.005319,GrafoRandomDMediaHeurEmi
1,0,0.005098,GrafoRandomDMediaHeurNipo
1,0,0.002668,Exacto
1,0,0.005466,GrafoRandomDMediaHeurEmi
1,0,0.004959,GrafoRandomDMediaHeurNipo
1,0,0.002523,Exacto
1,0,0.005221,GrafoRandomDMediaHeurEmi
1,0,0.005044,GrafoRandomDMediaHeurNipo
1,0,0.016571,Exacto
1,0,0.00161,GrafoRandomDMediaHeurEmi
1,0,0.001455,GrafoRandomDMediaHeurNipo
1,0,0.00077,Exacto
1,0,0.001587,GrafoRandomDMediaHeurEmi
1,0,0.001439,GrafoRandomDMediaHeurNipo
1,0,0.000769,Exacto
1,0,0.001624,GrafoRandomDMediaHeurEmi
1,0,0.001406,GrafoRandomDMediaHeurNipo
1,0,0.000775,Exacto
1,0,0.001602,GrafoRandomDMediaHeurEmi
1,0,0.001471,GrafoRandomDMediaHeurNipo
1,0,0.000768,Exacto
1,0,0.001583,GrafoRandomDMediaHeurEmi
1,0,0.001459,GrafoRandomDMediaHeurNipo
1,0,0.000747,Exacto
1,0,0.001603,GrafoRandomDMediaHeurEmi
1,0,0.001525,GrafoRandomDMediaHeurNipo
1,0,0.000774,Exacto
1,0,0.0016,GrafoRandomDMediaHeurEmi
1,0,0.001439,GrafoRandomDMediaHeurNipo
1,0,0.000776,Exacto
1,0,0.001524,GrafoRandomDMediaHeurEmi
1,0,0.001479,GrafoRandomDMediaHeurNipo
1,0,0.000775,Exacto
1,0,0.001576,GrafoRandomDMediaHeurEmi
1,0,0.001395,GrafoRandomDMediaHeurNipo
1,0,0.000752,Exacto
1,0,0.001579,GrafoRandomDMediaHeurEmi
1,0,0.001468,GrafoRandomDMediaHeurNipo
