cantNod,Res,Tipo
14,6,Resultado
15,6,Resultado
16,6,Resultado
17,8,Resultado
18,8,Resultado
19,8,Resultado
20,10,Resultado
21,10,Resultado
22,10,Resultado
23,12,Resultado
24,12,Resultado
25,12,Resultado
26,14,Resultado
27,14,Resultado
28,14,Resultado
29,16,Resultado
30,16,Resultado
31,16,Resultado
32,18,Resultado
33,18,Resultado
34,18,Resultado
35,20,Resultado
36,20,Resultado
37,20,Resultado
38,22,Resultado
39,22,Resultado
40,22,Resultado
41,24,Resultado
42,24,Resultado
43,24,Resultado
44,26,Resultado
45,26,Resultado
46,26,Resultado
47,28,Resultado
48,28,Resultado
49,28,Resultado
50,30,Resultado
51,30,Resultado
52,30,Resultado
53,32,Resultado
54,32,Resultado
55,32,Resultado
56,34,Resultado
57,34,Resultado
58,34,Resultado
59,36,Resultado
60,36,Resultado
61,36,Resultado
62,38,Resultado
63,38,Resultado
64,38,Resultado
65,40,Resultado
66,40,Resultado
67,40,Resultado
68,42,Resultado
69,42,Resultado
70,42,Resultado
71,44,Resultado
72,44,Resultado
73,44,Resultado
74,46,Resultado
75,46,Resultado
76,46,Resultado
77,48,Resultado
78,48,Resultado
79,48,Resultado
80,50,Resultado
81,50,Resultado
82,50,Resultado
83,52,Resultado
84,52,Resultado
85,52,Resultado
86,54,Resultado
87,54,Resultado
88,54,Resultado
89,56,Resultado
90,56,Resultado
91,56,Resultado
92,58,Resultado
93,58,Resultado
94,58,Resultado
95,60,Resultado
96,60,Resultado
97,60,Resultado
98,62,Resultado
99,62,Resultado
100,62,Resultado
101,64,Resultado
102,64,Resultado
103,64,Resultado
104,66,Resultado
105,66,Resultado
106,66,Resultado
107,68,Resultado
108,68,Resultado
109,68,Resultado
110,70,Resultado
111,70,Resultado
112,70,Resultado
113,72,Resultado
114,72,Resultado
115,72,Resultado
116,74,Resultado
117,74,Resultado
118,74,Resultado
119,76,Resultado
120,76,Resultado
121,76,Resultado
122,78,Resultado
123,78,Resultado
124,78,Resultado
125,80,Resultado
126,80,Resultado
127,80,Resultado
128,82,Resultado
129,82,Resultado
130,82,Resultado
131,84,Resultado
132,84,Resultado
133,84,Resultado
134,86,Resultado
135,86,Resultado
136,86,Resultado
137,88,Resultado
138,88,Resultado
139,88,Resultado
140,90,Resultado
141,90,Resultado
142,90,Resultado
143,92,Resultado
144,92,Resultado
145,92,Resultado
146,94,Resultado
147,94,Resultado
148,94,Resultado
149,96,Resultado
150,96,Resultado
151,96,Resultado
152,98,Resultado
153,98,Resultado
154,98,Resultado
155,100,Resultado
156,100,Resultado
157,100,Resultado
158,102,Resultado
159,102,Resultado
160,102,Resultado
161,104,Resultado
162,104,Resultado
163,104,Resultado
164,106,Resultado
165,106,Resultado
166,106,Resultado
167,108,Resultado
168,108,Resultado
169,108,Resultado
170,110,Resultado
171,110,Resultado
172,110,Resultado
173,112,Resultado
174,112,Resultado
175,112,Resultado
176,114,Resultado
177,114,Resultado
178,114,Resultado
179,116,Resultado
180,116,Resultado
181,116,Resultado
182,118,Resultado
183,118,Resultado
184,118,Resultado
185,120,Resultado
186,120,Resultado
187,120,Resultado
188,122,Resultado
189,122,Resultado
190,122,Resultado
191,124,Resultado
192,124,Resultado
193,124,Resultado
194,126,Resultado
195,126,Resultado
196,126,Resultado
197,128,Resultado
198,128,Resultado
199,128,Resultado
200,130,Resultado
201,130,Resultado
202,130,Resultado
203,132,Resultado
204,132,Resultado
205,132,Resultado
206,134,Resultado
207,134,Resultado
208,134,Resultado
209,136,Resultado
210,136,Resultado
211,136,Resultado
