cantNod,Res,Tipo
1,0,peorCasoEmi
2,0,peorCasoEmi
3,0,peorCasoEmi
4,0,peorCasoEmi
5,0,peorCasoEmi
6,0,peorCasoEmi
7,0,peorCasoEmi
8,0,peorCasoEmi
9,0,peorCasoEmi
10,0,peorCasoEmi
11,0,peorCasoEmi
12,0,peorCasoEmi
13,0,peorCasoEmi
14,0,peorCasoEmi
15,0,peorCasoEmi
16,0,peorCasoEmi
17,0,peorCasoEmi
18,0,peorCasoEmi
19,0,peorCasoEmi
20,0,peorCasoEmi
21,0,peorCasoEmi
22,0,peorCasoEmi
23,0,peorCasoEmi
24,0,peorCasoEmi
25,0,peorCasoEmi
26,0,peorCasoEmi
27,0,peorCasoEmi
28,0,peorCasoEmi
29,0,peorCasoEmi
30,0,peorCasoEmi
31,0,peorCasoEmi
32,0,peorCasoEmi
33,0,peorCasoEmi
34,0,peorCasoEmi
35,0,peorCasoEmi
36,0,peorCasoEmi
37,0,peorCasoEmi
38,0,peorCasoEmi
39,0,peorCasoEmi
40,0,peorCasoEmi
41,0,peorCasoEmi
42,0,peorCasoEmi
43,0,peorCasoEmi
44,0,peorCasoEmi
45,0,peorCasoEmi
46,0,peorCasoEmi
47,0,peorCasoEmi
48,0,peorCasoEmi
49,0,peorCasoEmi
50,0,peorCasoEmi
51,0,peorCasoEmi
52,0,peorCasoEmi
53,0,peorCasoEmi
54,0,peorCasoEmi
55,0,peorCasoEmi
56,0,peorCasoEmi
57,0,peorCasoEmi
58,0,peorCasoEmi
59,0,peorCasoEmi
60,0,peorCasoEmi
61,0,peorCasoEmi
62,0,peorCasoEmi
63,0,peorCasoEmi
64,0,peorCasoEmi
65,0,peorCasoEmi
66,0,peorCasoEmi
67,0,peorCasoEmi
68,0,peorCasoEmi
69,0,peorCasoEmi
70,0,peorCasoEmi
71,0,peorCasoEmi
72,0,peorCasoEmi
73,0,peorCasoEmi
74,0,peorCasoEmi
75,0,peorCasoEmi
76,0,peorCasoEmi
77,0,peorCasoEmi
78,0,peorCasoEmi
79,0,peorCasoEmi
80,0,peorCasoEmi
81,0,peorCasoEmi
82,0,peorCasoEmi
83,0,peorCasoEmi
84,0,peorCasoEmi
85,0,peorCasoEmi
86,0,peorCasoEmi
87,0,peorCasoEmi
88,0,peorCasoEmi
89,0,peorCasoEmi
90,0,peorCasoEmi
91,0,peorCasoEmi
92,0,peorCasoEmi
93,0,peorCasoEmi
94,0,peorCasoEmi
95,0,peorCasoEmi
96,0,peorCasoEmi
97,0,peorCasoEmi
98,0,peorCasoEmi
99,0,peorCasoEmi
100,0,peorCasoEmi
101,0,peorCasoEmi
102,0,peorCasoEmi
103,0,peorCasoEmi
104,0,peorCasoEmi
105,0,peorCasoEmi
106,0,peorCasoEmi
107,0,peorCasoEmi
108,0,peorCasoEmi
109,0,peorCasoEmi
110,0,peorCasoEmi
111,0,peorCasoEmi
112,0,peorCasoEmi
113,0,peorCasoEmi
114,0,peorCasoEmi
115,0,peorCasoEmi
116,0,peorCasoEmi
117,0,peorCasoEmi
118,0,peorCasoEmi
119,0,peorCasoEmi
120,0,peorCasoEmi
121,0,peorCasoEmi
122,0,peorCasoEmi
123,0,peorCasoEmi
124,0,peorCasoEmi
125,0,peorCasoEmi
126,0,peorCasoEmi
127,0,peorCasoEmi
128,0,peorCasoEmi
129,0,peorCasoEmi
130,0,peorCasoEmi
131,0,peorCasoEmi
132,0,peorCasoEmi
133,0,peorCasoEmi
134,0,peorCasoEmi
135,0,peorCasoEmi
136,0,peorCasoEmi
137,0,peorCasoEmi
138,0,peorCasoEmi
139,0,peorCasoEmi
140,0,peorCasoEmi
141,0,peorCasoEmi
142,0,peorCasoEmi
143,0,peorCasoEmi
144,0,peorCasoEmi
145,0,peorCasoEmi
146,0,peorCasoEmi
147,0,peorCasoEmi
148,0,peorCasoEmi
149,0,peorCasoEmi
150,0,peorCasoEmi
151,0,peorCasoEmi
152,0,peorCasoEmi
153,0,peorCasoEmi
154,0,peorCasoEmi
155,0,peorCasoEmi
156,0,peorCasoEmi
157,0,peorCasoEmi
158,0,peorCasoEmi
159,0,peorCasoEmi
160,0,peorCasoEmi
161,0,peorCasoEmi
162,0,peorCasoEmi
163,0,peorCasoEmi
164,0,peorCasoEmi
165,0,peorCasoEmi
166,0,peorCasoEmi
167,0,peorCasoEmi
168,0,peorCasoEmi
169,0,peorCasoEmi
170,0,peorCasoEmi
171,0,peorCasoEmi
172,0,peorCasoEmi
173,0,peorCasoEmi
174,0,peorCasoEmi
175,0,peorCasoEmi
176,0,peorCasoEmi
177,0,peorCasoEmi
178,0,peorCasoEmi
179,0,peorCasoEmi
180,0,peorCasoEmi
181,0,peorCasoEmi
182,0,peorCasoEmi
183,0,peorCasoEmi
184,0,peorCasoEmi
185,0,peorCasoEmi
186,0,peorCasoEmi
187,0,peorCasoEmi
188,0,peorCasoEmi
189,0,peorCasoEmi
190,0,peorCasoEmi
191,0,peorCasoEmi
192,0,peorCasoEmi
193,0,peorCasoEmi
194,0,peorCasoEmi
195,0,peorCasoEmi
196,0,peorCasoEmi
197,0,peorCasoEmi
198,0,peorCasoEmi
199,0,peorCasoEmi
200,0,peorCasoEmi
201,0,peorCasoEmi
202,0,peorCasoEmi
203,0,peorCasoEmi
204,0,peorCasoEmi
205,0,peorCasoEmi
206,0,peorCasoEmi
207,0,peorCasoEmi
208,0,peorCasoEmi
209,0,peorCasoEmi
210,0,peorCasoEmi
211,0,peorCasoEmi
212,0,peorCasoEmi
213,0,peorCasoEmi
214,0,peorCasoEmi
215,0,peorCasoEmi
216,0,peorCasoEmi
217,0,peorCasoEmi
218,0,peorCasoEmi
219,0,peorCasoEmi
220,0,peorCasoEmi
221,0,peorCasoEmi
222,0,peorCasoEmi
223,0,peorCasoEmi
224,0,peorCasoEmi
225,0,peorCasoEmi
226,0,peorCasoEmi
227,0,peorCasoEmi
228,0,peorCasoEmi
229,0,peorCasoEmi
230,0,peorCasoEmi
231,0,peorCasoEmi
232,0,peorCasoEmi
233,0,peorCasoEmi
234,0,peorCasoEmi
235,0,peorCasoEmi
236,0,peorCasoEmi
237,0,peorCasoEmi
238,0,peorCasoEmi
239,0,peorCasoEmi
240,0,peorCasoEmi
241,0,peorCasoEmi
242,0,peorCasoEmi
243,0,peorCasoEmi
244,0,peorCasoEmi
245,0,peorCasoEmi
246,0,peorCasoEmi
247,0,peorCasoEmi
248,0,peorCasoEmi
249,0,peorCasoEmi
250,0,peorCasoEmi
251,0,peorCasoEmi
252,0,peorCasoEmi
253,0,peorCasoEmi
254,0,peorCasoEmi
255,0,peorCasoEmi
256,0,peorCasoEmi
257,0,peorCasoEmi
258,0,peorCasoEmi
259,0,peorCasoEmi
260,0,peorCasoEmi
261,0,peorCasoEmi
262,0,peorCasoEmi
263,0,peorCasoEmi
264,0,peorCasoEmi
265,0,peorCasoEmi
266,0,peorCasoEmi
267,0,peorCasoEmi
268,0,peorCasoEmi
269,0,peorCasoEmi
270,0,peorCasoEmi
271,0,peorCasoEmi
272,0,peorCasoEmi
273,0,peorCasoEmi
274,0,peorCasoEmi
275,0,peorCasoEmi
276,0,peorCasoEmi
277,0,peorCasoEmi
278,0,peorCasoEmi
279,0,peorCasoEmi
280,0,peorCasoEmi
281,0,peorCasoEmi
282,0,peorCasoEmi
283,0,peorCasoEmi
284,0,peorCasoEmi
285,0,peorCasoEmi
286,0,peorCasoEmi
287,0,peorCasoEmi
288,0,peorCasoEmi
289,0,peorCasoEmi
290,0,peorCasoEmi
291,0,peorCasoEmi
292,0,peorCasoEmi
293,0,peorCasoEmi
294,0,peorCasoEmi
295,0,peorCasoEmi
296,0,peorCasoEmi
297,0,peorCasoEmi
298,0,peorCasoEmi
299,0,peorCasoEmi
300,0,peorCasoEmi
301,0,peorCasoEmi
302,0,peorCasoEmi
303,0,peorCasoEmi
304,0,peorCasoEmi
305,0,peorCasoEmi
306,0,peorCasoEmi
307,0,peorCasoEmi
308,0,peorCasoEmi
309,0,peorCasoEmi
310,0,peorCasoEmi
311,0,peorCasoEmi
312,0,peorCasoEmi
313,0,peorCasoEmi
314,0,peorCasoEmi
315,0,peorCasoEmi
316,0,peorCasoEmi
317,0,peorCasoEmi
318,0,peorCasoEmi
319,0,peorCasoEmi
320,0,peorCasoEmi
321,0,peorCasoEmi
322,0,peorCasoEmi
323,0,peorCasoEmi
324,0,peorCasoEmi
325,0,peorCasoEmi
326,0,peorCasoEmi
327,0,peorCasoEmi
328,0,peorCasoEmi
329,0,peorCasoEmi
330,0,peorCasoEmi
331,0,peorCasoEmi
332,0,peorCasoEmi
333,0,peorCasoEmi
334,0,peorCasoEmi
335,0,peorCasoEmi
336,0,peorCasoEmi
337,0,peorCasoEmi
338,0,peorCasoEmi
339,0,peorCasoEmi
340,0,peorCasoEmi
341,0,peorCasoEmi
342,0,peorCasoEmi
343,0,peorCasoEmi
344,0,peorCasoEmi
345,0,peorCasoEmi
346,0,peorCasoEmi
347,0,peorCasoEmi
348,0,peorCasoEmi
349,0,peorCasoEmi
350,0,peorCasoEmi
351,0,peorCasoEmi
352,0,peorCasoEmi
353,0,peorCasoEmi
354,0,peorCasoEmi
355,0,peorCasoEmi
356,0,peorCasoEmi
357,0,peorCasoEmi
358,0,peorCasoEmi
359,0,peorCasoEmi
360,0,peorCasoEmi
361,0,peorCasoEmi
362,0,peorCasoEmi
363,0,peorCasoEmi
364,0,peorCasoEmi
365,0,peorCasoEmi
366,0,peorCasoEmi
367,0,peorCasoEmi
368,0,peorCasoEmi
369,0,peorCasoEmi
370,0,peorCasoEmi
371,0,peorCasoEmi
372,0,peorCasoEmi
373,0,peorCasoEmi
374,0,peorCasoEmi
375,0,peorCasoEmi
376,0,peorCasoEmi
377,0,peorCasoEmi
378,0,peorCasoEmi
379,0,peorCasoEmi
380,0,peorCasoEmi
381,0,peorCasoEmi
382,0,peorCasoEmi
383,0,peorCasoEmi
384,0,peorCasoEmi
385,0,peorCasoEmi
386,0,peorCasoEmi
387,0,peorCasoEmi
388,0,peorCasoEmi
389,0,peorCasoEmi
390,0,peorCasoEmi
391,0,peorCasoEmi
392,0,peorCasoEmi
393,0,peorCasoEmi
394,0,peorCasoEmi
395,0,peorCasoEmi
396,0,peorCasoEmi
397,0,peorCasoEmi
398,0,peorCasoEmi
399,0,peorCasoEmi
400,0,peorCasoEmi
401,0,peorCasoEmi
402,0,peorCasoEmi
403,0,peorCasoEmi
404,0,peorCasoEmi
405,0,peorCasoEmi
406,0,peorCasoEmi
407,0,peorCasoEmi
408,0,peorCasoEmi
409,0,peorCasoEmi
410,0,peorCasoEmi
411,0,peorCasoEmi
412,0,peorCasoEmi
413,0,peorCasoEmi
414,0,peorCasoEmi
415,0,peorCasoEmi
416,0,peorCasoEmi
417,0,peorCasoEmi
418,0,peorCasoEmi
419,0,peorCasoEmi
420,0,peorCasoEmi
421,0,peorCasoEmi
422,0,peorCasoEmi
423,0,peorCasoEmi
424,0,peorCasoEmi
425,0,peorCasoEmi
426,0,peorCasoEmi
427,0,peorCasoEmi
428,0,peorCasoEmi
429,0,peorCasoEmi
430,0,peorCasoEmi
431,0,peorCasoEmi
432,0,peorCasoEmi
433,0,peorCasoEmi
434,0,peorCasoEmi
435,0,peorCasoEmi
436,0,peorCasoEmi
437,0,peorCasoEmi
438,0,peorCasoEmi
439,0,peorCasoEmi
440,0,peorCasoEmi
441,0,peorCasoEmi
442,0,peorCasoEmi
443,0,peorCasoEmi
444,0,peorCasoEmi
445,0,peorCasoEmi
