cantNod,Res,Tipo
1,0,resCompleto
2,1,resCompleto
3,2,resCompleto
4,4,resCompleto
5,6,resCompleto
6,9,resCompleto
7,12,resCompleto
8,16,resCompleto
9,20,resCompleto
10,25,resCompleto
11,30,resCompleto
12,36,resCompleto
13,42,resCompleto
14,49,resCompleto
15,56,resCompleto
16,64,resCompleto
17,72,resCompleto
18,81,resCompleto
19,90,resCompleto
20,100,resCompleto
21,110,resCompleto
22,121,resCompleto
23,132,resCompleto
24,144,resCompleto
25,156,resCompleto
26,169,resCompleto
27,182,resCompleto
28,196,resCompleto
29,210,resCompleto
30,225,resCompleto
31,240,resCompleto
32,256,resCompleto
33,272,resCompleto
34,289,resCompleto
35,306,resCompleto
36,324,resCompleto
37,342,resCompleto
38,361,resCompleto
39,380,resCompleto
40,400,resCompleto
41,420,resCompleto
42,441,resCompleto
43,462,resCompleto
44,484,resCompleto
45,506,resCompleto
46,529,resCompleto
47,552,resCompleto
48,576,resCompleto
49,600,resCompleto
50,625,resCompleto
51,650,resCompleto
52,676,resCompleto
53,702,resCompleto
54,729,resCompleto
55,756,resCompleto
56,784,resCompleto
57,812,resCompleto
58,841,resCompleto
59,870,resCompleto
60,900,resCompleto
61,930,resCompleto
62,961,resCompleto
63,992,resCompleto
64,1024,resCompleto
65,1056,resCompleto
66,1089,resCompleto
67,1122,resCompleto
68,1156,resCompleto
69,1190,resCompleto
70,1225,resCompleto
71,1260,resCompleto
72,1296,resCompleto
73,1332,resCompleto
74,1369,resCompleto
75,1406,resCompleto
76,1444,resCompleto
77,1482,resCompleto
78,1521,resCompleto
79,1560,resCompleto
80,1600,resCompleto
81,1640,resCompleto
82,1681,resCompleto
83,1722,resCompleto
84,1764,resCompleto
85,1806,resCompleto
86,1849,resCompleto
87,1892,resCompleto
88,1936,resCompleto
89,1980,resCompleto
90,2025,resCompleto
91,2070,resCompleto
92,2116,resCompleto
93,2162,resCompleto
94,2209,resCompleto
95,2256,resCompleto
96,2304,resCompleto
97,2352,resCompleto
98,2401,resCompleto
99,2450,resCompleto
100,2500,resCompleto
101,2550,resCompleto
102,2601,resCompleto
103,2652,resCompleto
104,2704,resCompleto
105,2756,resCompleto
106,2809,resCompleto
107,2862,resCompleto
108,2916,resCompleto
109,2970,resCompleto
110,3025,resCompleto
111,3080,resCompleto
112,3136,resCompleto
113,3192,resCompleto
114,3249,resCompleto
115,3306,resCompleto
116,3364,resCompleto
117,3422,resCompleto
118,3481,resCompleto
119,3540,resCompleto
120,3600,resCompleto
121,3660,resCompleto
122,3721,resCompleto
123,3782,resCompleto
124,3844,resCompleto
125,3906,resCompleto
126,3969,resCompleto
127,4032,resCompleto
128,4096,resCompleto
129,4160,resCompleto
130,4225,resCompleto
131,4290,resCompleto
132,4356,resCompleto
133,4422,resCompleto
134,4489,resCompleto
135,4556,resCompleto
136,4624,resCompleto
137,4692,resCompleto
138,4761,resCompleto
139,4830,resCompleto
140,4900,resCompleto
141,4970,resCompleto
142,5041,resCompleto
143,5112,resCompleto
144,5184,resCompleto
145,5256,resCompleto
146,5329,resCompleto
147,5402,resCompleto
148,5476,resCompleto
149,5550,resCompleto
150,5625,resCompleto
151,5700,resCompleto
152,5776,resCompleto
153,5852,resCompleto
154,5929,resCompleto
155,6006,resCompleto
156,6084,resCompleto
157,6162,resCompleto
158,6241,resCompleto
159,6320,resCompleto
160,6400,resCompleto
161,6480,resCompleto
162,6561,resCompleto
163,6642,resCompleto
164,6724,resCompleto
165,6806,resCompleto
166,6889,resCompleto
167,6972,resCompleto
168,7056,resCompleto
169,7140,resCompleto
170,7225,resCompleto
171,7310,resCompleto
172,7396,resCompleto
173,7482,resCompleto
174,7569,resCompleto
175,7656,resCompleto
176,7744,resCompleto
177,7832,resCompleto
178,7921,resCompleto
179,8010,resCompleto
180,8100,resCompleto
181,8190,resCompleto
182,8281,resCompleto
183,8372,resCompleto
184,8464,resCompleto
185,8556,resCompleto
186,8649,resCompleto
