cantNod,Res,Tiempo,Tipo
1,0,0.014994,Grafo_Completo_Heur_Nipo
1,0,0.014674,Grafo_Completo_Heur_Emi
1,0,0.005299,Grafo_Completo_Exacto
1,0,0.007618,Grafo_Completo_Heur_Nipo
1,0,0.008083,Grafo_Completo_Heur_Emi
1,0,0.003615,Grafo_Completo_Exacto
1,0,0.00699,Grafo_Completo_Heur_Nipo
1,0,0.007625,Grafo_Completo_Heur_Emi
1,0,0.003644,Grafo_Completo_Exacto
1,0,0.007048,Grafo_Completo_Heur_Nipo
1,0,0.007226,Grafo_Completo_Heur_Emi
1,0,0.003358,Grafo_Completo_Exacto
1,0,0.033455,Grafo_Completo_Heur_Nipo
1,0,0.00774,Grafo_Completo_Heur_Emi
1,0,0.001121,Grafo_Completo_Exacto
1,0,0.001659,Grafo_Completo_Heur_Nipo
1,0,0.001758,Grafo_Completo_Heur_Emi
1,0,0.000801,Grafo_Completo_Exacto
1,0,0.001683,Grafo_Completo_Heur_Nipo
1,0,0.00182,Grafo_Completo_Heur_Emi
1,0,0.000822,Grafo_Completo_Exacto
1,0,0.001664,Grafo_Completo_Heur_Nipo
1,0,0.00175,Grafo_Completo_Heur_Emi
1,0,0.00083,Grafo_Completo_Exacto
1,0,0.001688,Grafo_Completo_Heur_Nipo
1,0,0.00179,Grafo_Completo_Heur_Emi
1,0,0.000823,Grafo_Completo_Exacto
1,0,0.001745,Grafo_Completo_Heur_Nipo
1,0,0.001834,Grafo_Completo_Heur_Emi
1,0,0.000826,Grafo_Completo_Exacto
1,0,0.001659,Grafo_Completo_Heur_Nipo
1,0,0.001742,Grafo_Completo_Heur_Emi
1,0,0.000799,Grafo_Completo_Exacto
1,0,0.001658,Grafo_Completo_Heur_Nipo
1,0,0.001769,Grafo_Completo_Heur_Emi
1,0,0.00083,Grafo_Completo_Exacto
1,0,0.001679,Grafo_Completo_Heur_Nipo
1,0,0.001794,Grafo_Completo_Heur_Emi
1,0,0.000789,Grafo_Completo_Exacto
1,0,0.001632,Grafo_Completo_Heur_Nipo
1,0,0.001809,Grafo_Completo_Heur_Emi
1,0,0.000828,Grafo_Completo_Exacto
1,0,0.001686,Grafo_Completo_Heur_Nipo
1,0,0.001783,Grafo_Completo_Heur_Emi
1,0,0.000843,Grafo_Completo_Exacto
1,0,0.001676,Grafo_Completo_Heur_Nipo
1,0,0.00176,Grafo_Completo_Heur_Emi
1,0,0.000831,Grafo_Completo_Exacto
1,0,0.001666,Grafo_Completo_Heur_Nipo
1,0,0.001806,Grafo_Completo_Heur_Emi
1,0,0.000827,Grafo_Completo_Exacto
1,0,0.001675,Grafo_Completo_Heur_Nipo
1,0,0.001788,Grafo_Completo_Heur_Emi
1,0,0.000838,Grafo_Completo_Exacto
1,0,0.001654,Grafo_Completo_Heur_Nipo
1,0,0.001798,Grafo_Completo_Heur_Emi
1,0,0.000824,Grafo_Completo_Exacto
1,0,0.001655,Grafo_Completo_Heur_Nipo
1,0,0.00175,Grafo_Completo_Heur_Emi
1,0,0.000838,Grafo_Completo_Exacto
