cantNod,Res,Tiempo,Tipo
1,0,0.704773,GrafoRandomDAltaGRASP
1,0,0.688501,GrafoRandomDAltaGRASP
1,0,0.691304,GrafoRandomDAltaGRASP
1,0,0.68115,GrafoRandomDAltaGRASP
1,0,0.708145,GrafoRandomDAltaGRASP
1,0,0.680684,GrafoRandomDAltaGRASP
1,0,0.679164,GrafoRandomDAltaGRASP
1,0,0.680081,GrafoRandomDAltaGRASP
1,0,0.679919,GrafoRandomDAltaGRASP
1,0,0.68161,GrafoRandomDAltaGRASP
1,0,0.704225,GrafoRandomDAltaGRASP
1,0,0.68004,GrafoRandomDAltaGRASP
1,0,0.692695,GrafoRandomDAltaGRASP
1,0,0.862714,GrafoRandomDAltaGRASP
1,0,0.681145,GrafoRandomDAltaGRASP
1,0,0.683006,GrafoRandomDAltaGRASP
1,0,0.67991,GrafoRandomDAltaGRASP
1,0,0.681076,GrafoRandomDAltaGRASP
1,0,0.679797,GrafoRandomDAltaGRASP
1,0,0.680961,GrafoRandomDAltaGRASP
1,0,0.680156,GrafoRandomDAltaGRASP
1,0,0.684198,GrafoRandomDAltaGRASP
1,0,0.680259,GrafoRandomDAltaGRASP
1,0,0.679982,GrafoRandomDAltaGRASP
1,0,0.679269,GrafoRandomDAltaGRASP
1,0,0.679494,GrafoRandomDAltaGRASP
1,0,0.679848,GrafoRandomDAltaGRASP
1,0,0.685307,GrafoRandomDAltaGRASP
1,0,0.681044,GrafoRandomDAltaGRASP
1,0,0.680365,GrafoRandomDAltaGRASP
2,0,0.95186,GrafoRandomDAltaGRASP
2,0,0.934639,GrafoRandomDAltaGRASP
2,0,0.935902,GrafoRandomDAltaGRASP
2,0,0.934143,GrafoRandomDAltaGRASP
2,0,1.06499,GrafoRandomDAltaGRASP
2,0,1.00092,GrafoRandomDAltaGRASP
2,0,1.0239,GrafoRandomDAltaGRASP
2,0,1.03429,GrafoRandomDAltaGRASP
2,0,0.935107,GrafoRandomDAltaGRASP
2,0,0.933473,GrafoRandomDAltaGRASP
2,0,0.96477,GrafoRandomDAltaGRASP
2,0,0.93586,GrafoRandomDAltaGRASP
2,0,0.937867,GrafoRandomDAltaGRASP
2,0,0.933658,GrafoRandomDAltaGRASP
2,0,0.966405,GrafoRandomDAltaGRASP
2,0,0.937568,GrafoRandomDAltaGRASP
2,0,0.935265,GrafoRandomDAltaGRASP
2,0,0.934878,GrafoRandomDAltaGRASP
2,0,0.966765,GrafoRandomDAltaGRASP
2,0,0.933782,GrafoRandomDAltaGRASP
2,0,0.935958,GrafoRandomDAltaGRASP
2,0,0.936542,GrafoRandomDAltaGRASP
2,0,0.967578,GrafoRandomDAltaGRASP
2,0,0.933806,GrafoRandomDAltaGRASP
2,0,0.935277,GrafoRandomDAltaGRASP
2,0,0.93491,GrafoRandomDAltaGRASP
2,0,0.932924,GrafoRandomDAltaGRASP
2,0,0.973943,GrafoRandomDAltaGRASP
2,0,0.932705,GrafoRandomDAltaGRASP
2,0,0.932413,GrafoRandomDAltaGRASP
3,0,1.92491,GrafoRandomDAltaGRASP
3,0,2.15967,GrafoRandomDAltaGRASP
3,0,2.07786,GrafoRandomDAltaGRASP
3,0,2.11223,GrafoRandomDAltaGRASP
3,0,2.10597,GrafoRandomDAltaGRASP
3,0,1.95792,GrafoRandomDAltaGRASP
3,0,1.98796,GrafoRandomDAltaGRASP
3,0,1.95598,GrafoRandomDAltaGRASP
3,0,1.97758,GrafoRandomDAltaGRASP
3,0,1.95218,GrafoRandomDAltaGRASP
3,0,1.9879,GrafoRandomDAltaGRASP
3,0,1.95855,GrafoRandomDAltaGRASP
3,0,1.98899,GrafoRandomDAltaGRASP
3,0,1.95692,GrafoRandomDAltaGRASP
3,0,2.0127,GrafoRandomDAltaGRASP
3,0,1.99372,GrafoRandomDAltaGRASP
3,0,1.95551,GrafoRandomDAltaGRASP
3,0,2.09974,GrafoRandomDAltaGRASP
3,0,2.06722,GrafoRandomDAltaGRASP
3,0,1.95783,GrafoRandomDAltaGRASP
3,0,1.98428,GrafoRandomDAltaGRASP
3,0,1.95558,GrafoRandomDAltaGRASP
3,0,1.98101,GrafoRandomDAltaGRASP
3,0,1.95411,GrafoRandomDAltaGRASP
3,0,1.95913,GrafoRandomDAltaGRASP
3,0,1.95586,GrafoRandomDAltaGRASP
3,0,1.96267,GrafoRandomDAltaGRASP
3,0,1.95869,GrafoRandomDAltaGRASP
3,0,1.96473,GrafoRandomDAltaGRASP
3,0,1.9578,GrafoRandomDAltaGRASP
4,0,2.50992,GrafoRandomDAltaGRASP
4,0,2.50048,GrafoRandomDAltaGRASP
4,0,2.50075,GrafoRandomDAltaGRASP
4,0,2.50126,GrafoRandomDAltaGRASP
4,0,2.7723,GrafoRandomDAltaGRASP
4,0,2.49827,GrafoRandomDAltaGRASP
4,0,2.50527,GrafoRandomDAltaGRASP
4,0,2.4963,GrafoRandomDAltaGRASP
4,0,2.4999,GrafoRandomDAltaGRASP
4,0,2.54349,GrafoRandomDAltaGRASP
4,0,2.68413,GrafoRandomDAltaGRASP
4,0,2.56148,GrafoRandomDAltaGRASP
4,0,2.51931,GrafoRandomDAltaGRASP
4,0,2.49698,GrafoRandomDAltaGRASP
