cantNod,Res,Tiempo,Tipo
1,0,0.92137,GrafoRandomDBajaGRASP
1,0,0.682186,GrafoRandomDBajaGRASP
1,0,0.681677,GrafoRandomDBajaGRASP
1,0,0.678635,GrafoRandomDBajaGRASP
1,0,0.680806,GrafoRandomDBajaGRASP
1,0,0.679849,GrafoRandomDBajaGRASP
1,0,0.822979,GrafoRandomDBajaGRASP
1,0,0.681072,GrafoRandomDBajaGRASP
1,0,0.680767,GrafoRandomDBajaGRASP
1,0,0.68024,GrafoRandomDBajaGRASP
1,0,0.679397,GrafoRandomDBajaGRASP
1,0,0.679935,GrafoRandomDBajaGRASP
1,0,0.70366,GrafoRandomDBajaGRASP
1,0,0.68186,GrafoRandomDBajaGRASP
1,0,0.839882,GrafoRandomDBajaGRASP
1,0,0.69186,GrafoRandomDBajaGRASP
1,0,0.726562,GrafoRandomDBajaGRASP
1,0,0.867699,GrafoRandomDBajaGRASP
1,0,0.679324,GrafoRandomDBajaGRASP
1,0,0.67848,GrafoRandomDBajaGRASP
1,0,0.67904,GrafoRandomDBajaGRASP
1,0,0.678402,GrafoRandomDBajaGRASP
1,0,0.679321,GrafoRandomDBajaGRASP
1,0,0.711797,GrafoRandomDBajaGRASP
1,0,0.678503,GrafoRandomDBajaGRASP
1,0,0.789492,GrafoRandomDBajaGRASP
1,0,0.740682,GrafoRandomDBajaGRASP
1,0,0.677807,GrafoRandomDBajaGRASP
1,0,0.715483,GrafoRandomDBajaGRASP
1,0,0.678861,GrafoRandomDBajaGRASP
2,0,0.94859,GrafoRandomDBajaGRASP
2,0,0.930057,GrafoRandomDBajaGRASP
2,0,0.931966,GrafoRandomDBajaGRASP
2,0,0.966127,GrafoRandomDBajaGRASP
2,0,1.05567,GrafoRandomDBajaGRASP
2,0,0.976648,GrafoRandomDBajaGRASP
2,0,0.951933,GrafoRandomDBajaGRASP
2,0,1.03161,GrafoRandomDBajaGRASP
2,0,0.952373,GrafoRandomDBajaGRASP
2,0,0.943542,GrafoRandomDBajaGRASP
2,0,0.974105,GrafoRandomDBajaGRASP
2,0,0.955741,GrafoRandomDBajaGRASP
2,0,0.929407,GrafoRandomDBajaGRASP
2,0,0.932476,GrafoRandomDBajaGRASP
2,0,0.933564,GrafoRandomDBajaGRASP
2,0,0.957343,GrafoRandomDBajaGRASP
2,0,0.930552,GrafoRandomDBajaGRASP
2,0,0.931291,GrafoRandomDBajaGRASP
2,0,0.930156,GrafoRandomDBajaGRASP
2,0,0.964127,GrafoRandomDBajaGRASP
2,0,0.932631,GrafoRandomDBajaGRASP
2,0,0.931519,GrafoRandomDBajaGRASP
2,0,0.930415,GrafoRandomDBajaGRASP
2,0,0.964056,GrafoRandomDBajaGRASP
2,0,0.931765,GrafoRandomDBajaGRASP
2,0,1.04404,GrafoRandomDBajaGRASP
2,0,1.01257,GrafoRandomDBajaGRASP
2,0,0.985049,GrafoRandomDBajaGRASP
2,0,0.928986,GrafoRandomDBajaGRASP
2,0,0.930323,GrafoRandomDBajaGRASP
3,0,1.21231,GrafoRandomDBajaGRASP
3,0,1.21373,GrafoRandomDBajaGRASP
3,0,1.18974,GrafoRandomDBajaGRASP
3,0,1.19087,GrafoRandomDBajaGRASP
3,0,1.22382,GrafoRandomDBajaGRASP
3,0,1.25503,GrafoRandomDBajaGRASP
3,0,1.31185,GrafoRandomDBajaGRASP
3,0,1.30225,GrafoRandomDBajaGRASP
3,0,1.19223,GrafoRandomDBajaGRASP
3,0,1.18906,GrafoRandomDBajaGRASP
3,0,1.18878,GrafoRandomDBajaGRASP
3,0,1.21903,GrafoRandomDBajaGRASP
3,0,1.19154,GrafoRandomDBajaGRASP
3,0,1.18796,GrafoRandomDBajaGRASP
3,0,1.21922,GrafoRandomDBajaGRASP
3,0,1.18944,GrafoRandomDBajaGRASP
3,0,1.3866,GrafoRandomDBajaGRASP
3,0,1.22168,GrafoRandomDBajaGRASP
3,0,1.19083,GrafoRandomDBajaGRASP
3,0,1.19408,GrafoRandomDBajaGRASP
3,0,1.20565,GrafoRandomDBajaGRASP
3,0,1.19976,GrafoRandomDBajaGRASP
3,0,1.19009,GrafoRandomDBajaGRASP
3,0,1.18957,GrafoRandomDBajaGRASP
3,0,1.23411,GrafoRandomDBajaGRASP
3,0,1.19274,GrafoRandomDBajaGRASP
3,0,1.1938,GrafoRandomDBajaGRASP
3,0,1.2162,GrafoRandomDBajaGRASP
3,0,1.19041,GrafoRandomDBajaGRASP
3,0,1.1901,GrafoRandomDBajaGRASP
4,0,1.51656,GrafoRandomDBajaGRASP
4,0,1.59958,GrafoRandomDBajaGRASP
4,0,1.41051,GrafoRandomDBajaGRASP
4,0,1.43326,GrafoRandomDBajaGRASP
4,0,1.40975,GrafoRandomDBajaGRASP
4,0,1.40671,GrafoRandomDBajaGRASP
4,0,1.43268,GrafoRandomDBajaGRASP
4,0,1.58088,GrafoRandomDBajaGRASP
4,0,1.43072,GrafoRandomDBajaGRASP
4,0,1.42721,GrafoRandomDBajaGRASP
4,0,1.40915,GrafoRandomDBajaGRASP
4,0,1.43199,GrafoRandomDBajaGRASP
4,0,1.41042,GrafoRandomDBajaGRASP
4,0,1.40834,GrafoRandomDBajaGRASP
4,0,1.43127,GrafoRandomDBajaGRASP
4,0,1.41077,GrafoRandomDBajaGRASP
4,0,1.40806,GrafoRandomDBajaGRASP
4,0,1.43383,GrafoRandomDBajaGRASP
4,0,1.43141,GrafoRandomDBajaGRASP
4,0,1.433,GrafoRandomDBajaGRASP
4,0,1.41587,GrafoRandomDBajaGRASP
4,0,1.4096,GrafoRandomDBajaGRASP
4,0,1.41186,GrafoRandomDBajaGRASP
4,0,1.40791,GrafoRandomDBajaGRASP
4,0,1.40684,GrafoRandomDBajaGRASP
4,0,1.41048,GrafoRandomDBajaGRASP
4,0,1.4086,GrafoRandomDBajaGRASP
4,0,1.40583,GrafoRandomDBajaGRASP
4,0,1.41105,GrafoRandomDBajaGRASP
4,0,1.40723,GrafoRandomDBajaGRASP
5,0,1.9234,GrafoRandomDBajaGRASP
5,0,1.90715,GrafoRandomDBajaGRASP
5,0,1.90778,GrafoRandomDBajaGRASP
5,0,1.90645,GrafoRandomDBajaGRASP
5,0,1.90897,GrafoRandomDBajaGRASP
5,0,1.95367,GrafoRandomDBajaGRASP
5,0,2.05955,GrafoRandomDBajaGRASP
5,0,1.91592,GrafoRandomDBajaGRASP
5,0,1.93538,GrafoRandomDBajaGRASP
5,0,1.91859,GrafoRandomDBajaGRASP
5,0,1.91841,GrafoRandomDBajaGRASP
5,0,1.94141,GrafoRandomDBajaGRASP
5,0,1.91736,GrafoRandomDBajaGRASP
5,0,2.01826,GrafoRandomDBajaGRASP
5,0,1.97911,GrafoRandomDBajaGRASP
5,0,1.93615,GrafoRandomDBajaGRASP
5,0,1.91551,GrafoRandomDBajaGRASP
5,0,2.00555,GrafoRandomDBajaGRASP
5,0,1.91478,GrafoRandomDBajaGRASP
5,0,1.93879,GrafoRandomDBajaGRASP
5,0,1.91316,GrafoRandomDBajaGRASP
5,0,2.07633,GrafoRandomDBajaGRASP
5,0,1.91582,GrafoRandomDBajaGRASP
5,0,1.94031,GrafoRandomDBajaGRASP
5,0,1.91636,GrafoRandomDBajaGRASP
5,0,1.97193,GrafoRandomDBajaGRASP
5,0,1.92042,GrafoRandomDBajaGRASP
5,0,1.94275,GrafoRandomDBajaGRASP
5,0,1.91828,GrafoRandomDBajaGRASP
5,0,2.09642,GrafoRandomDBajaGRASP
6,0,2.03237,GrafoRandomDBajaGRASP
6,0,2.05711,GrafoRandomDBajaGRASP
6,0,2.03664,GrafoRandomDBajaGRASP
6,0,2.08371,GrafoRandomDBajaGRASP
6,0,2.23911,GrafoRandomDBajaGRASP
6,0,2.15214,GrafoRandomDBajaGRASP
6,0,2.06928,GrafoRandomDBajaGRASP
6,0,2.03511,GrafoRandomDBajaGRASP
6,0,2.06713,GrafoRandomDBajaGRASP
6,0,2.18381,GrafoRandomDBajaGRASP
6,0,2.05523,GrafoRandomDBajaGRASP
6,0,2.05204,GrafoRandomDBajaGRASP
6,0,2.13525,GrafoRandomDBajaGRASP
6,0,2.15965,GrafoRandomDBajaGRASP
6,0,2.06741,GrafoRandomDBajaGRASP
6,0,2.03286,GrafoRandomDBajaGRASP
6,0,2.05822,GrafoRandomDBajaGRASP
6,0,2.03155,GrafoRandomDBajaGRASP
6,0,2.49999,GrafoRandomDBajaGRASP
6,0,2.18687,GrafoRandomDBajaGRASP
6,0,2.0434,GrafoRandomDBajaGRASP
6,0,2.07946,GrafoRandomDBajaGRASP
6,0,2.03163,GrafoRandomDBajaGRASP
6,0,2.0548,GrafoRandomDBajaGRASP
6,0,2.03317,GrafoRandomDBajaGRASP
6,0,2.05786,GrafoRandomDBajaGRASP
6,0,2.03615,GrafoRandomDBajaGRASP
6,0,2.05952,GrafoRandomDBajaGRASP
6,0,2.0352,GrafoRandomDBajaGRASP
6,0,2.0665,GrafoRandomDBajaGRASP
7,0,2.44765,GrafoRandomDBajaGRASP
7,0,2.45127,GrafoRandomDBajaGRASP
7,0,2.45041,GrafoRandomDBajaGRASP
7,0,2.44807,GrafoRandomDBajaGRASP
7,0,2.70824,GrafoRandomDBajaGRASP
7,0,2.64879,GrafoRandomDBajaGRASP
7,0,2.44362,GrafoRandomDBajaGRASP
7,0,2.46757,GrafoRandomDBajaGRASP
7,0,2.47709,GrafoRandomDBajaGRASP
7,0,2.44381,GrafoRandomDBajaGRASP
7,0,2.63647,GrafoRandomDBajaGRASP
7,0,2.66328,GrafoRandomDBajaGRASP
7,0,2.50103,GrafoRandomDBajaGRASP
7,0,2.48141,GrafoRandomDBajaGRASP
7,0,2.4383,GrafoRandomDBajaGRASP
7,0,2.48138,GrafoRandomDBajaGRASP
7,0,2.48033,GrafoRandomDBajaGRASP
7,0,2.46615,GrafoRandomDBajaGRASP
7,0,2.61082,GrafoRandomDBajaGRASP
7,0,2.44299,GrafoRandomDBajaGRASP
7,0,2.4358,GrafoRandomDBajaGRASP
7,0,2.44249,GrafoRandomDBajaGRASP
7,0,2.4421,GrafoRandomDBajaGRASP
7,0,2.44307,GrafoRandomDBajaGRASP
7,0,2.44384,GrafoRandomDBajaGRASP
7,0,2.6366,GrafoRandomDBajaGRASP
7,0,2.4454,GrafoRandomDBajaGRASP
7,0,2.85176,GrafoRandomDBajaGRASP
7,0,2.80454,GrafoRandomDBajaGRASP
7,0,2.62675,GrafoRandomDBajaGRASP
