cantNod,Res,Tiempo,Tipo
1,0,0.718491,GrafoRandomDBajaGRASP
1,0,0.686346,GrafoRandomDBajaGRASP
1,0,0.686799,GrafoRandomDBajaGRASP
1,0,0.685951,GrafoRandomDBajaGRASP
1,0,0.716595,GrafoRandomDBajaGRASP
1,0,0.706404,GrafoRandomDBajaGRASP
1,0,0.686851,GrafoRandomDBajaGRASP
1,0,0.775479,GrafoRandomDBajaGRASP
1,0,0.805916,GrafoRandomDBajaGRASP
1,0,0.814744,GrafoRandomDBajaGRASP
1,0,0.931909,GrafoRandomDBajaGRASP
1,0,0.707411,GrafoRandomDBajaGRASP
1,0,0.747388,GrafoRandomDBajaGRASP
1,0,0.783679,GrafoRandomDBajaGRASP
1,0,0.738167,GrafoRandomDBajaGRASP
2,0,0.966767,GrafoRandomDBajaGRASP
2,0,0.940402,GrafoRandomDBajaGRASP
2,0,0.943783,GrafoRandomDBajaGRASP
2,0,0.962263,GrafoRandomDBajaGRASP
2,0,0.941324,GrafoRandomDBajaGRASP
2,0,1.00853,GrafoRandomDBajaGRASP
2,0,1.08515,GrafoRandomDBajaGRASP
2,0,1.09666,GrafoRandomDBajaGRASP
2,0,1.03048,GrafoRandomDBajaGRASP
2,0,1.01556,GrafoRandomDBajaGRASP
2,0,1.04167,GrafoRandomDBajaGRASP
2,0,1.02666,GrafoRandomDBajaGRASP
2,0,1.0287,GrafoRandomDBajaGRASP
2,0,1.03204,GrafoRandomDBajaGRASP
2,0,1.14169,GrafoRandomDBajaGRASP
3,0,1.30166,GrafoRandomDBajaGRASP
3,0,1.45943,GrafoRandomDBajaGRASP
3,0,1.3364,GrafoRandomDBajaGRASP
3,0,1.44158,GrafoRandomDBajaGRASP
3,0,1.42906,GrafoRandomDBajaGRASP
3,0,1.36045,GrafoRandomDBajaGRASP
3,0,1.40093,GrafoRandomDBajaGRASP
3,0,1.42133,GrafoRandomDBajaGRASP
3,0,1.31262,GrafoRandomDBajaGRASP
3,0,1.40317,GrafoRandomDBajaGRASP
3,0,1.34858,GrafoRandomDBajaGRASP
3,0,1.3473,GrafoRandomDBajaGRASP
3,0,1.31122,GrafoRandomDBajaGRASP
3,0,1.57462,GrafoRandomDBajaGRASP
3,0,1.27664,GrafoRandomDBajaGRASP
4,0,1.54869,GrafoRandomDBajaGRASP
4,0,1.67536,GrafoRandomDBajaGRASP
4,0,1.60202,GrafoRandomDBajaGRASP
4,0,1.462,GrafoRandomDBajaGRASP
4,0,1.66506,GrafoRandomDBajaGRASP
4,0,1.74244,GrafoRandomDBajaGRASP
4,0,1.59024,GrafoRandomDBajaGRASP
4,0,1.59696,GrafoRandomDBajaGRASP
4,0,1.66657,GrafoRandomDBajaGRASP
4,0,1.50453,GrafoRandomDBajaGRASP
4,0,1.56514,GrafoRandomDBajaGRASP
4,0,1.70016,GrafoRandomDBajaGRASP
4,0,1.50237,GrafoRandomDBajaGRASP
4,0,1.47412,GrafoRandomDBajaGRASP
4,0,1.46255,GrafoRandomDBajaGRASP
5,0,2.45047,GrafoRandomDBajaGRASP
5,0,2.16327,GrafoRandomDBajaGRASP
5,0,2.11457,GrafoRandomDBajaGRASP
5,0,2.03661,GrafoRandomDBajaGRASP
5,0,2.01892,GrafoRandomDBajaGRASP
5,0,2.33319,GrafoRandomDBajaGRASP
5,0,1.99118,GrafoRandomDBajaGRASP
5,0,2.03946,GrafoRandomDBajaGRASP
5,0,2.25344,GrafoRandomDBajaGRASP
5,0,2.15375,GrafoRandomDBajaGRASP
5,0,2.10467,GrafoRandomDBajaGRASP
5,0,2.21328,GrafoRandomDBajaGRASP
5,0,1.96879,GrafoRandomDBajaGRASP
5,0,2.2673,GrafoRandomDBajaGRASP
5,0,2.06148,GrafoRandomDBajaGRASP
6,0,2.40043,GrafoRandomDBajaGRASP
6,0,2.50229,GrafoRandomDBajaGRASP
6,0,2.25414,GrafoRandomDBajaGRASP
6,0,2.37069,GrafoRandomDBajaGRASP
6,0,2.09262,GrafoRandomDBajaGRASP
6,0,2.11001,GrafoRandomDBajaGRASP
6,0,2.05159,GrafoRandomDBajaGRASP
6,0,2.25854,GrafoRandomDBajaGRASP
6,0,2.17604,GrafoRandomDBajaGRASP
6,0,2.06837,GrafoRandomDBajaGRASP
6,0,2.02492,GrafoRandomDBajaGRASP
6,0,2.09747,GrafoRandomDBajaGRASP
6,0,2.27635,GrafoRandomDBajaGRASP
6,0,2.40886,GrafoRandomDBajaGRASP
6,0,2.14578,GrafoRandomDBajaGRASP
7,0,2.25835,GrafoRandomDBajaGRASP
7,0,2.37817,GrafoRandomDBajaGRASP
7,0,2.24116,GrafoRandomDBajaGRASP
7,0,2.28011,GrafoRandomDBajaGRASP
7,0,2.28349,GrafoRandomDBajaGRASP
7,0,2.37434,GrafoRandomDBajaGRASP
