cantNod,Res,Tiempo,Tipo
1,0,0.745269,GrafoRandomDMediaGRASP
1,0,0.687238,GrafoRandomDMediaGRASP
1,0,0.707128,GrafoRandomDMediaGRASP
1,0,0.686216,GrafoRandomDMediaGRASP
1,0,0.72953,GrafoRandomDMediaGRASP
1,0,0.718487,GrafoRandomDMediaGRASP
1,0,0.685741,GrafoRandomDMediaGRASP
1,0,0.741989,GrafoRandomDMediaGRASP
1,0,0.75835,GrafoRandomDMediaGRASP
1,0,0.685834,GrafoRandomDMediaGRASP
1,0,0.749493,GrafoRandomDMediaGRASP
1,0,0.706878,GrafoRandomDMediaGRASP
1,0,0.686568,GrafoRandomDMediaGRASP
1,0,0.763674,GrafoRandomDMediaGRASP
1,0,0.855391,GrafoRandomDMediaGRASP
2,0,1.13755,GrafoRandomDMediaGRASP
2,0,0.979291,GrafoRandomDMediaGRASP
2,0,0.966565,GrafoRandomDMediaGRASP
2,0,0.941021,GrafoRandomDMediaGRASP
2,0,0.965361,GrafoRandomDMediaGRASP
2,0,0.962735,GrafoRandomDMediaGRASP
2,0,0.965757,GrafoRandomDMediaGRASP
2,0,0.941418,GrafoRandomDMediaGRASP
2,0,0.964084,GrafoRandomDMediaGRASP
2,0,0.963884,GrafoRandomDMediaGRASP
2,0,1.01635,GrafoRandomDMediaGRASP
2,0,1.01745,GrafoRandomDMediaGRASP
2,0,0.966849,GrafoRandomDMediaGRASP
2,0,0.964672,GrafoRandomDMediaGRASP
2,0,0.965362,GrafoRandomDMediaGRASP
3,0,1.81225,GrafoRandomDMediaGRASP
3,0,1.66296,GrafoRandomDMediaGRASP
3,0,1.71788,GrafoRandomDMediaGRASP
3,0,1.68675,GrafoRandomDMediaGRASP
3,0,1.6595,GrafoRandomDMediaGRASP
3,0,1.664,GrafoRandomDMediaGRASP
3,0,1.6878,GrafoRandomDMediaGRASP
3,0,1.72324,GrafoRandomDMediaGRASP
3,0,1.66218,GrafoRandomDMediaGRASP
3,0,1.66348,GrafoRandomDMediaGRASP
3,0,1.77203,GrafoRandomDMediaGRASP
3,0,1.66405,GrafoRandomDMediaGRASP
3,0,1.66284,GrafoRandomDMediaGRASP
3,0,1.68288,GrafoRandomDMediaGRASP
3,0,1.66282,GrafoRandomDMediaGRASP
4,0,2.23222,GrafoRandomDMediaGRASP
4,0,2.21479,GrafoRandomDMediaGRASP
4,0,2.31744,GrafoRandomDMediaGRASP
4,0,2.22918,GrafoRandomDMediaGRASP
4,0,2.22172,GrafoRandomDMediaGRASP
4,0,2.19126,GrafoRandomDMediaGRASP
4,0,2.15949,GrafoRandomDMediaGRASP
4,0,2.21472,GrafoRandomDMediaGRASP
4,0,2.18697,GrafoRandomDMediaGRASP
4,0,2.26106,GrafoRandomDMediaGRASP
4,0,2.153,GrafoRandomDMediaGRASP
4,0,2.18833,GrafoRandomDMediaGRASP
4,0,2.18952,GrafoRandomDMediaGRASP
4,0,2.15694,GrafoRandomDMediaGRASP
4,0,2.18852,GrafoRandomDMediaGRASP
5,0,3.23365,GrafoRandomDMediaGRASP
5,0,3.70131,GrafoRandomDMediaGRASP
5,0,3.57998,GrafoRandomDMediaGRASP
5,0,3.31317,GrafoRandomDMediaGRASP
5,0,3.25308,GrafoRandomDMediaGRASP
5,0,3.35053,GrafoRandomDMediaGRASP
5,0,3.37518,GrafoRandomDMediaGRASP
5,0,3.2444,GrafoRandomDMediaGRASP
5,0,3.22105,GrafoRandomDMediaGRASP
5,0,3.24062,GrafoRandomDMediaGRASP
5,0,3.36316,GrafoRandomDMediaGRASP
5,0,3.29668,GrafoRandomDMediaGRASP
5,0,3.23631,GrafoRandomDMediaGRASP
5,0,3.18559,GrafoRandomDMediaGRASP
5,0,3.23989,GrafoRandomDMediaGRASP
6,0,3.37752,GrafoRandomDMediaGRASP
6,0,3.63732,GrafoRandomDMediaGRASP
6,0,3.40165,GrafoRandomDMediaGRASP
6,0,3.73727,GrafoRandomDMediaGRASP
6,0,3.38014,GrafoRandomDMediaGRASP
6,0,3.57009,GrafoRandomDMediaGRASP
6,0,3.36204,GrafoRandomDMediaGRASP
6,0,3.68322,GrafoRandomDMediaGRASP
6,0,3.36447,GrafoRandomDMediaGRASP
6,0,3.55131,GrafoRandomDMediaGRASP
6,0,3.40918,GrafoRandomDMediaGRASP
6,0,3.64249,GrafoRandomDMediaGRASP
6,0,3.36204,GrafoRandomDMediaGRASP
6,0,3.59677,GrafoRandomDMediaGRASP
6,0,3.37955,GrafoRandomDMediaGRASP
7,0,5.96391,GrafoRandomDMediaGRASP
7,0,4.79331,GrafoRandomDMediaGRASP
7,0,4.63714,GrafoRandomDMediaGRASP
7,0,4.7323,GrafoRandomDMediaGRASP
7,0,4.67946,GrafoRandomDMediaGRASP
7,0,4.61802,GrafoRandomDMediaGRASP
7,0,4.8209,GrafoRandomDMediaGRASP
7,0,4.63656,GrafoRandomDMediaGRASP
7,0,4.70276,GrafoRandomDMediaGRASP
7,0,4.64415,GrafoRandomDMediaGRASP
7,0,4.70355,GrafoRandomDMediaGRASP
7,0,4.79275,GrafoRandomDMediaGRASP
7,0,4.64726,GrafoRandomDMediaGRASP
7,0,4.66097,GrafoRandomDMediaGRASP
7,0,4.6166,GrafoRandomDMediaGRASP
8,0,5.90031,GrafoRandomDMediaGRASP
8,0,5.36476,GrafoRandomDMediaGRASP
8,0,5.9531,GrafoRandomDMediaGRASP
8,0,5.30033,GrafoRandomDMediaGRASP
8,0,6.18452,GrafoRandomDMediaGRASP
8,0,5.97847,GrafoRandomDMediaGRASP
8,0,5.87313,GrafoRandomDMediaGRASP
8,0,5.57002,GrafoRandomDMediaGRASP
8,0,5.90805,GrafoRandomDMediaGRASP
8,0,5.3419,GrafoRandomDMediaGRASP
8,0,6.10553,GrafoRandomDMediaGRASP
8,0,5.36041,GrafoRandomDMediaGRASP
8,0,5.87431,GrafoRandomDMediaGRASP
8,0,5.35154,GrafoRandomDMediaGRASP
8,0,5.86521,GrafoRandomDMediaGRASP
9,0,5.33137,GrafoRandomDMediaGRASP
9,0,7.16183,GrafoRandomDMediaGRASP
9,0,7.30806,GrafoRandomDMediaGRASP
9,0,6.69935,GrafoRandomDMediaGRASP
9,0,7.15732,GrafoRandomDMediaGRASP
9,0,7.09758,GrafoRandomDMediaGRASP
9,0,7.51242,GrafoRandomDMediaGRASP
9,0,7.15843,GrafoRandomDMediaGRASP
9,0,6.92433,GrafoRandomDMediaGRASP
9,0,6.97261,GrafoRandomDMediaGRASP
9,0,7.06517,GrafoRandomDMediaGRASP
9,0,6.89319,GrafoRandomDMediaGRASP
9,0,6.92674,GrafoRandomDMediaGRASP
9,0,6.94925,GrafoRandomDMediaGRASP
9,0,6.9595,GrafoRandomDMediaGRASP
10,0,8.26663,GrafoRandomDMediaGRASP
10,0,8.55069,GrafoRandomDMediaGRASP
10,0,8.32058,GrafoRandomDMediaGRASP
10,0,8.56651,GrafoRandomDMediaGRASP
10,0,9.184,GrafoRandomDMediaGRASP
10,0,8.48434,GrafoRandomDMediaGRASP
10,0,8.42578,GrafoRandomDMediaGRASP
10,0,8.41074,GrafoRandomDMediaGRASP
10,0,8.29387,GrafoRandomDMediaGRASP
10,0,8.31383,GrafoRandomDMediaGRASP
10,0,8.46114,GrafoRandomDMediaGRASP
10,0,9.22987,GrafoRandomDMediaGRASP
10,0,8.31753,GrafoRandomDMediaGRASP
10,0,8.36892,GrafoRandomDMediaGRASP
10,0,8.2394,GrafoRandomDMediaGRASP
11,0,9.09414,GrafoRandomDMediaGRASP
11,0,8.36649,GrafoRandomDMediaGRASP
11,0,8.4015,GrafoRandomDMediaGRASP
11,0,8.43243,GrafoRandomDMediaGRASP
11,0,8.4241,GrafoRandomDMediaGRASP
11,0,8.36787,GrafoRandomDMediaGRASP
11,0,8.30426,GrafoRandomDMediaGRASP
11,0,8.32545,GrafoRandomDMediaGRASP
11,0,8.25682,GrafoRandomDMediaGRASP
11,0,8.27549,GrafoRandomDMediaGRASP
11,0,8.32962,GrafoRandomDMediaGRASP
11,0,8.92765,GrafoRandomDMediaGRASP
11,0,8.49664,GrafoRandomDMediaGRASP
11,0,8.38308,GrafoRandomDMediaGRASP
11,0,8.39906,GrafoRandomDMediaGRASP
12,0,15.942,GrafoRandomDMediaGRASP
12,0,15.2391,GrafoRandomDMediaGRASP
12,0,15.2301,GrafoRandomDMediaGRASP
12,0,15.1289,GrafoRandomDMediaGRASP
12,0,15.9961,GrafoRandomDMediaGRASP
12,0,15.4044,GrafoRandomDMediaGRASP
12,0,15.2276,GrafoRandomDMediaGRASP
12,0,15.0465,GrafoRandomDMediaGRASP
12,0,14.9746,GrafoRandomDMediaGRASP
12,0,15.0244,GrafoRandomDMediaGRASP
12,0,15.9714,GrafoRandomDMediaGRASP
12,0,15.3391,GrafoRandomDMediaGRASP
12,0,15.3331,GrafoRandomDMediaGRASP
12,0,15.1579,GrafoRandomDMediaGRASP
12,0,15.1925,GrafoRandomDMediaGRASP
13,0,18.8898,GrafoRandomDMediaGRASP
13,0,20.0418,GrafoRandomDMediaGRASP
13,0,19.2099,GrafoRandomDMediaGRASP
13,0,18.9136,GrafoRandomDMediaGRASP
13,0,18.8519,GrafoRandomDMediaGRASP
13,0,19.1365,GrafoRandomDMediaGRASP
13,0,19.3908,GrafoRandomDMediaGRASP
13,0,15.0804,GrafoRandomDMediaGRASP
13,0,16.3504,GrafoRandomDMediaGRASP
13,0,15.8715,GrafoRandomDMediaGRASP
13,0,17.3306,GrafoRandomDMediaGRASP
13,0,16.1217,GrafoRandomDMediaGRASP
13,0,17.013,GrafoRandomDMediaGRASP
13,0,16.0174,GrafoRandomDMediaGRASP
13,0,16.2649,GrafoRandomDMediaGRASP
14,0,20.2949,GrafoRandomDMediaGRASP
14,0,16.0386,GrafoRandomDMediaGRASP
14,0,20.597,GrafoRandomDMediaGRASP
14,0,15.3951,GrafoRandomDMediaGRASP
14,0,19.8341,GrafoRandomDMediaGRASP
14,0,15.3125,GrafoRandomDMediaGRASP
14,0,20.7861,GrafoRandomDMediaGRASP
14,0,15.493,GrafoRandomDMediaGRASP
14,0,19.8358,GrafoRandomDMediaGRASP
14,0,15.3825,GrafoRandomDMediaGRASP
14,0,19.896,GrafoRandomDMediaGRASP
14,0,15.9643,GrafoRandomDMediaGRASP
14,0,20.5596,GrafoRandomDMediaGRASP
14,0,15.717,GrafoRandomDMediaGRASP
14,0,20.1751,GrafoRandomDMediaGRASP
15,0,20.1951,GrafoRandomDMediaGRASP
15,0,17.3021,GrafoRandomDMediaGRASP
15,0,16.338,GrafoRandomDMediaGRASP
15,0,16.2412,GrafoRandomDMediaGRASP
15,0,16.2046,GrafoRandomDMediaGRASP
15,0,15.955,GrafoRandomDMediaGRASP
15,0,16.5771,GrafoRandomDMediaGRASP
15,0,16.1724,GrafoRandomDMediaGRASP
15,0,16.0596,GrafoRandomDMediaGRASP
15,0,16.1482,GrafoRandomDMediaGRASP
15,0,17.053,GrafoRandomDMediaGRASP
15,0,16.1798,GrafoRandomDMediaGRASP
15,0,16.711,GrafoRandomDMediaGRASP
15,0,16.2637,GrafoRandomDMediaGRASP
15,0,16.1634,GrafoRandomDMediaGRASP
16,0,23.7649,GrafoRandomDMediaGRASP
16,0,16.7084,GrafoRandomDMediaGRASP
16,0,23.4704,GrafoRandomDMediaGRASP
16,0,16.0002,GrafoRandomDMediaGRASP
16,0,23.9928,GrafoRandomDMediaGRASP
16,0,16.5504,GrafoRandomDMediaGRASP
16,0,23.8372,GrafoRandomDMediaGRASP
16,0,15.9789,GrafoRandomDMediaGRASP
16,0,23.8114,GrafoRandomDMediaGRASP
16,0,16.6319,GrafoRandomDMediaGRASP
16,0,34.7085,GrafoRandomDMediaGRASP
16,0,26.8109,GrafoRandomDMediaGRASP
16,0,28.576,GrafoRandomDMediaGRASP
16,0,27.9154,GrafoRandomDMediaGRASP
16,0,27.8242,GrafoRandomDMediaGRASP
17,0,29.1364,GrafoRandomDMediaGRASP
17,0,23.7624,GrafoRandomDMediaGRASP
17,0,31.1509,GrafoRandomDMediaGRASP
17,0,28.8956,GrafoRandomDMediaGRASP
17,0,23.818,GrafoRandomDMediaGRASP
17,0,31.591,GrafoRandomDMediaGRASP
17,0,28.3666,GrafoRandomDMediaGRASP
17,0,23.5193,GrafoRandomDMediaGRASP
17,0,30.3387,GrafoRandomDMediaGRASP
17,0,28.8866,GrafoRandomDMediaGRASP
17,0,24.2597,GrafoRandomDMediaGRASP
17,0,30.5603,GrafoRandomDMediaGRASP
17,0,29.5244,GrafoRandomDMediaGRASP
17,0,24.0956,GrafoRandomDMediaGRASP
17,0,30.4369,GrafoRandomDMediaGRASP
18,0,47.5958,GrafoRandomDMediaGRASP
18,0,42.8888,GrafoRandomDMediaGRASP
18,0,34.101,GrafoRandomDMediaGRASP
18,0,34.0674,GrafoRandomDMediaGRASP
