cantNod,Res,Tiempo,Tipo
1,0,0.00684,HeurNipo
1,0,0.003366,HeurEmi
1,0,0.011714,BusquedaLocalLinealEmi
1,0,0.004947,BusquedaLocalCuadraticaEmi
1,0,0.004043,HeurNipo
1,0,0.001932,HeurEmi
1,0,0.005341,BusquedaLocalLinealEmi
1,0,0.00414,BusquedaLocalCuadraticaEmi
1,0,0.002677,HeurNipo
1,0,0.001294,HeurEmi
1,0,0.00342,BusquedaLocalLinealEmi
1,0,0.003286,BusquedaLocalCuadraticaEmi
1,0,0.002372,HeurNipo
1,0,0.001153,HeurEmi
1,0,0.003283,BusquedaLocalLinealEmi
1,0,0.003275,BusquedaLocalCuadraticaEmi
1,0,0.002418,HeurNipo
1,0,0.001133,HeurEmi
1,0,0.003311,BusquedaLocalLinealEmi
1,0,0.003606,BusquedaLocalCuadraticaEmi
1,0,0.002785,HeurNipo
1,0,0.00159,HeurEmi
1,0,0.004728,BusquedaLocalLinealEmi
1,0,0.004352,BusquedaLocalCuadraticaEmi
1,0,0.003145,HeurNipo
1,0,0.00154,HeurEmi
1,0,0.004584,BusquedaLocalLinealEmi
1,0,0.004005,BusquedaLocalCuadraticaEmi
1,0,0.002964,HeurNipo
1,0,0.001607,HeurEmi
1,0,0.004358,BusquedaLocalLinealEmi
1,0,0.004061,BusquedaLocalCuadraticaEmi
1,0,0.003197,HeurNipo
1,0,0.001538,HeurEmi
1,0,0.004356,BusquedaLocalLinealEmi
1,0,0.004303,BusquedaLocalCuadraticaEmi
1,0,0.003066,HeurNipo
1,0,0.001724,HeurEmi
1,0,0.00479,BusquedaLocalLinealEmi
1,0,0.004274,BusquedaLocalCuadraticaEmi
1,0,0.003211,HeurNipo
1,0,0.001617,HeurEmi
1,0,0.004658,BusquedaLocalLinealEmi
1,0,0.004341,BusquedaLocalCuadraticaEmi
1,0,0.003188,HeurNipo
1,0,0.001503,HeurEmi
1,0,0.00497,BusquedaLocalLinealEmi
1,0,0.004285,BusquedaLocalCuadraticaEmi
1,0,0.003085,HeurNipo
1,0,0.001696,HeurEmi
1,0,0.00486,BusquedaLocalLinealEmi
1,0,0.003486,BusquedaLocalCuadraticaEmi
1,0,0.002508,HeurNipo
1,0,0.001167,HeurEmi
1,0,0.003326,BusquedaLocalLinealEmi
1,0,0.00329,BusquedaLocalCuadraticaEmi
1,0,0.002426,HeurNipo
1,0,0.001203,HeurEmi
1,0,0.00335,BusquedaLocalLinealEmi
1,0,0.003304,BusquedaLocalCuadraticaEmi
1,0,0.002365,HeurNipo
1,0,0.001165,HeurEmi
1,0,0.003335,BusquedaLocalLinealEmi
1,0,0.003266,BusquedaLocalCuadraticaEmi
1,0,0.002395,HeurNipo
1,0,0.001168,HeurEmi
1,0,0.003342,BusquedaLocalLinealEmi
1,0,0.003301,BusquedaLocalCuadraticaEmi
1,0,0.002368,HeurNipo
1,0,0.001127,HeurEmi
1,0,0.003335,BusquedaLocalLinealEmi
1,0,0.003305,BusquedaLocalCuadraticaEmi
1,0,0.002379,HeurNipo
1,0,0.001161,HeurEmi
1,0,0.00331,BusquedaLocalLinealEmi
1,0,0.003325,BusquedaLocalCuadraticaEmi
1,0,0.002438,HeurNipo
1,0,0.001137,HeurEmi
1,0,0.00331,BusquedaLocalLinealEmi
1,0,0.003233,BusquedaLocalCuadraticaEmi
1,0,0.002416,HeurNipo
1,0,0.001168,HeurEmi
1,0,0.003375,BusquedaLocalLinealEmi
1,0,0.003264,BusquedaLocalCuadraticaEmi
1,0,0.002371,HeurNipo
1,0,0.001132,HeurEmi
1,0,0.003342,BusquedaLocalLinealEmi
1,0,0.003293,BusquedaLocalCuadraticaEmi
1,0,0.002402,HeurNipo
1,0,0.001156,HeurEmi
1,0,0.003331,BusquedaLocalLinealEmi
1,0,0.003318,BusquedaLocalCuadraticaEmi
1,0,0.002411,HeurNipo
1,0,0.001143,HeurEmi
1,0,0.003314,BusquedaLocalLinealEmi
1,0,0.003244,BusquedaLocalCuadraticaEmi
1,0,0.002388,HeurNipo
1,0,0.00117,HeurEmi
1,0,0.003222,BusquedaLocalLinealEmi
1,0,0.003277,BusquedaLocalCuadraticaEmi
1,0,0.00241,HeurNipo
1,0,0.001143,HeurEmi
1,0,0.003333,BusquedaLocalLinealEmi
1,0,0.003315,BusquedaLocalCuadraticaEmi
1,0,0.002359,HeurNipo
1,0,0.00115,HeurEmi
1,0,0.003354,BusquedaLocalLinealEmi
1,0,0.003258,BusquedaLocalCuadraticaEmi
1,0,0.002528,HeurNipo
1,0,0.001317,HeurEmi
1,0,0.0048,BusquedaLocalLinealEmi
1,0,0.004614,BusquedaLocalCuadraticaEmi
1,0,0.003279,HeurNipo
1,0,0.001302,HeurEmi
1,0,0.003636,BusquedaLocalLinealEmi
1,0,0.003318,BusquedaLocalCuadraticaEmi
1,0,0.002383,HeurNipo
1,0,0.001139,HeurEmi
1,0,0.003276,BusquedaLocalLinealEmi
1,0,0.0033,BusquedaLocalCuadraticaEmi
6,1,0.005425,HeurNipo
6,0,0.015535,HeurEmi
6,1,0.038507,BusquedaLocalLinealEmi
6,1,0.03258,BusquedaLocalCuadraticaEmi
6,1,0.004658,HeurNipo
6,0,0.01454,HeurEmi
6,1,0.032111,BusquedaLocalLinealEmi
6,1,0.031535,BusquedaLocalCuadraticaEmi
6,1,0.005116,HeurNipo
6,0,0.013975,HeurEmi
6,1,0.032323,BusquedaLocalLinealEmi
6,1,0.031304,BusquedaLocalCuadraticaEmi
6,1,0.004633,HeurNipo
6,0,0.014155,HeurEmi
