cantNod,Res,Tiempo,Tipo
1,0,0.824058,GrafoRandomDAltaGRASP
1,0,0.822756,GrafoRandomDAltaGRASP
1,0,0.823889,GrafoRandomDAltaGRASP
1,0,0.82335,GrafoRandomDAltaGRASP
1,0,0.913197,GrafoRandomDAltaGRASP
1,0,1.02513,GrafoRandomDAltaGRASP
1,0,0.824835,GrafoRandomDAltaGRASP
1,0,0.823097,GrafoRandomDAltaGRASP
1,0,0.823495,GrafoRandomDAltaGRASP
1,0,0.879951,GrafoRandomDAltaGRASP
1,0,0.913795,GrafoRandomDAltaGRASP
1,0,1.06287,GrafoRandomDAltaGRASP
1,0,0.824972,GrafoRandomDAltaGRASP
1,0,0.824086,GrafoRandomDAltaGRASP
1,0,0.823207,GrafoRandomDAltaGRASP
1,0,0.823523,GrafoRandomDAltaGRASP
1,0,0.823732,GrafoRandomDAltaGRASP
1,0,0.823865,GrafoRandomDAltaGRASP
1,0,0.825004,GrafoRandomDAltaGRASP
1,0,0.823884,GrafoRandomDAltaGRASP
1,0,0.823063,GrafoRandomDAltaGRASP
1,0,0.823214,GrafoRandomDAltaGRASP
1,0,0.823645,GrafoRandomDAltaGRASP
1,0,0.82375,GrafoRandomDAltaGRASP
1,0,0.823611,GrafoRandomDAltaGRASP
1,0,0.824274,GrafoRandomDAltaGRASP
1,0,0.82544,GrafoRandomDAltaGRASP
1,0,0.823437,GrafoRandomDAltaGRASP
1,0,0.823886,GrafoRandomDAltaGRASP
1,0,0.823377,GrafoRandomDAltaGRASP
6,9,9.34025,GrafoRandomDAltaGRASP
6,9,9.44284,GrafoRandomDAltaGRASP
6,9,8.70152,GrafoRandomDAltaGRASP
6,9,8.63773,GrafoRandomDAltaGRASP
6,9,8.63055,GrafoRandomDAltaGRASP
6,9,8.59893,GrafoRandomDAltaGRASP
6,9,8.6026,GrafoRandomDAltaGRASP
6,9,8.59669,GrafoRandomDAltaGRASP
6,9,8.6112,GrafoRandomDAltaGRASP
6,9,8.6131,GrafoRandomDAltaGRASP
6,9,8.58314,GrafoRandomDAltaGRASP
6,9,8.60717,GrafoRandomDAltaGRASP
6,9,8.60292,GrafoRandomDAltaGRASP
6,9,8.52037,GrafoRandomDAltaGRASP
6,9,8.5139,GrafoRandomDAltaGRASP
6,9,8.63619,GrafoRandomDAltaGRASP
6,9,8.60267,GrafoRandomDAltaGRASP
6,9,8.70269,GrafoRandomDAltaGRASP
6,9,8.59533,GrafoRandomDAltaGRASP
6,9,8.59963,GrafoRandomDAltaGRASP
