cantNod,Res,Tiempo,Tipo
1,0,0.830218,GrafoRandomDMediaGRASP
1,0,0.823621,GrafoRandomDMediaGRASP
1,0,0.823354,GrafoRandomDMediaGRASP
1,0,0.828857,GrafoRandomDMediaGRASP
1,0,0.823966,GrafoRandomDMediaGRASP
1,0,0.984326,GrafoRandomDMediaGRASP
1,0,0.837071,GrafoRandomDMediaGRASP
1,0,0.823494,GrafoRandomDMediaGRASP
1,0,0.823451,GrafoRandomDMediaGRASP
1,0,0.825596,GrafoRandomDMediaGRASP
1,0,0.837736,GrafoRandomDMediaGRASP
1,0,0.911094,GrafoRandomDMediaGRASP
1,0,0.828708,GrafoRandomDMediaGRASP
1,0,0.823758,GrafoRandomDMediaGRASP
1,0,0.823648,GrafoRandomDMediaGRASP
1,0,0.824793,GrafoRandomDMediaGRASP
1,0,0.823159,GrafoRandomDMediaGRASP
1,0,0.823485,GrafoRandomDMediaGRASP
1,0,0.823159,GrafoRandomDMediaGRASP
1,0,0.823367,GrafoRandomDMediaGRASP
1,0,0.826306,GrafoRandomDMediaGRASP
1,0,0.823524,GrafoRandomDMediaGRASP
1,0,0.823885,GrafoRandomDMediaGRASP
1,0,0.825907,GrafoRandomDMediaGRASP
1,0,0.823439,GrafoRandomDMediaGRASP
1,0,0.823199,GrafoRandomDMediaGRASP
1,0,0.823393,GrafoRandomDMediaGRASP
1,0,0.823522,GrafoRandomDMediaGRASP
1,0,0.825523,GrafoRandomDMediaGRASP
1,0,0.823372,GrafoRandomDMediaGRASP
6,4,3.79266,GrafoRandomDMediaGRASP
6,4,3.87153,GrafoRandomDMediaGRASP
6,4,3.81827,GrafoRandomDMediaGRASP
6,4,3.76011,GrafoRandomDMediaGRASP
6,4,3.77947,GrafoRandomDMediaGRASP
6,4,3.73096,GrafoRandomDMediaGRASP
6,4,3.72976,GrafoRandomDMediaGRASP
6,4,3.7257,GrafoRandomDMediaGRASP
6,4,3.74305,GrafoRandomDMediaGRASP
6,4,3.7294,GrafoRandomDMediaGRASP
6,4,3.72379,GrafoRandomDMediaGRASP
6,4,3.77489,GrafoRandomDMediaGRASP
6,4,3.72646,GrafoRandomDMediaGRASP
6,4,3.73807,GrafoRandomDMediaGRASP
6,4,3.72807,GrafoRandomDMediaGRASP
6,4,3.7947,GrafoRandomDMediaGRASP
6,4,3.73511,GrafoRandomDMediaGRASP
6,4,4.52301,GrafoRandomDMediaGRASP
6,4,3.72496,GrafoRandomDMediaGRASP
6,4,3.73022,GrafoRandomDMediaGRASP
