cantNod,Res,Tiempo,Tipo
1,0,0.003238,BusquedaLocalLinealEmi
1,0,0.001786,BusquedaLocalLinealEmi
1,0,0.001695,BusquedaLocalLinealEmi
1,0,0.001668,BusquedaLocalLinealEmi
1,0,0.001633,BusquedaLocalLinealEmi
1,0,0.001623,BusquedaLocalLinealEmi
1,0,0.001675,BusquedaLocalLinealEmi
1,0,0.001684,BusquedaLocalLinealEmi
1,0,0.001599,BusquedaLocalLinealEmi
1,0,0.001644,BusquedaLocalLinealEmi
1,0,0.001634,BusquedaLocalLinealEmi
1,0,0.001655,BusquedaLocalLinealEmi
1,0,0.002242,BusquedaLocalLinealEmi
1,0,0.001689,BusquedaLocalLinealEmi
1,0,0.00163,BusquedaLocalLinealEmi
1,0,0.001688,BusquedaLocalLinealEmi
1,0,0.001678,BusquedaLocalLinealEmi
1,0,0.001624,BusquedaLocalLinealEmi
1,0,0.001623,BusquedaLocalLinealEmi
1,0,0.001626,BusquedaLocalLinealEmi
1,0,0.001665,BusquedaLocalLinealEmi
1,0,0.001648,BusquedaLocalLinealEmi
1,0,0.001634,BusquedaLocalLinealEmi
1,0,0.001618,BusquedaLocalLinealEmi
1,0,0.001602,BusquedaLocalLinealEmi
1,0,0.001674,BusquedaLocalLinealEmi
1,0,0.001662,BusquedaLocalLinealEmi
1,0,0.001643,BusquedaLocalLinealEmi
1,0,0.001622,BusquedaLocalLinealEmi
1,0,0.001645,BusquedaLocalLinealEmi
6,8,0.030401,BusquedaLocalLinealEmi
6,8,0.02329,BusquedaLocalLinealEmi
6,8,0.023621,BusquedaLocalLinealEmi
6,9,0.02753,BusquedaLocalLinealEmi
6,8,0.02296,BusquedaLocalLinealEmi
6,8,0.023503,BusquedaLocalLinealEmi
6,8,0.02659,BusquedaLocalLinealEmi
6,8,0.027748,BusquedaLocalLinealEmi
6,8,0.023403,BusquedaLocalLinealEmi
6,8,0.023847,BusquedaLocalLinealEmi
6,8,0.03886,BusquedaLocalLinealEmi
6,8,0.023891,BusquedaLocalLinealEmi
6,8,0.02263,BusquedaLocalLinealEmi
6,7,0.022561,BusquedaLocalLinealEmi
6,8,0.022573,BusquedaLocalLinealEmi
6,8,0.02184,BusquedaLocalLinealEmi
6,8,0.022886,BusquedaLocalLinealEmi
6,8,0.021908,BusquedaLocalLinealEmi
6,8,0.02769,BusquedaLocalLinealEmi
6,8,0.025582,BusquedaLocalLinealEmi
6,7,0.022769,BusquedaLocalLinealEmi
6,8,0.025988,BusquedaLocalLinealEmi
6,8,0.021734,BusquedaLocalLinealEmi
6,7,0.021788,BusquedaLocalLinealEmi
6,8,0.021642,BusquedaLocalLinealEmi
6,8,0.022128,BusquedaLocalLinealEmi
6,8,0.023366,BusquedaLocalLinealEmi
6,8,0.023,BusquedaLocalLinealEmi
6,8,0.022748,BusquedaLocalLinealEmi
6,8,0.026095,BusquedaLocalLinealEmi
11,27,0.075475,BusquedaLocalLinealEmi
11,25,0.139826,BusquedaLocalLinealEmi
11,26,0.072419,BusquedaLocalLinealEmi
11,25,0.097618,BusquedaLocalLinealEmi
11,26,0.07341,BusquedaLocalLinealEmi
11,25,0.0869,BusquedaLocalLinealEmi
11,27,0.088451,BusquedaLocalLinealEmi
11,26,0.072958,BusquedaLocalLinealEmi
11,27,0.07225,BusquedaLocalLinealEmi
11,27,0.099051,BusquedaLocalLinealEmi
11,26,0.096668,BusquedaLocalLinealEmi
11,25,1.36271,BusquedaLocalLinealEmi
11,26,0.073419,BusquedaLocalLinealEmi
11,26,0.10206,BusquedaLocalLinealEmi
11,28,0.090036,BusquedaLocalLinealEmi
11,26,0.071583,BusquedaLocalLinealEmi
11,27,0.087747,BusquedaLocalLinealEmi
11,26,0.070451,BusquedaLocalLinealEmi
11,24,0.074427,BusquedaLocalLinealEmi
11,26,0.087917,BusquedaLocalLinealEmi
11,27,0.072082,BusquedaLocalLinealEmi
11,25,0.071518,BusquedaLocalLinealEmi
11,26,0.089258,BusquedaLocalLinealEmi
11,26,0.108126,BusquedaLocalLinealEmi
11,25,0.075798,BusquedaLocalLinealEmi
