cantNod,Res,Tiempo,Tipo
1,0,0.005824,BusquedaLocalLinealEmi
1,0,0.001868,BusquedaLocalLinealEmi
1,0,0.001705,BusquedaLocalLinealEmi
1,0,0.002195,BusquedaLocalLinealEmi
1,0,0.001697,BusquedaLocalLinealEmi
1,0,0.001728,BusquedaLocalLinealEmi
1,0,0.001735,BusquedaLocalLinealEmi
1,0,0.001723,BusquedaLocalLinealEmi
1,0,0.00167,BusquedaLocalLinealEmi
1,0,0.001773,BusquedaLocalLinealEmi
1,0,0.001779,BusquedaLocalLinealEmi
1,0,0.001717,BusquedaLocalLinealEmi
1,0,0.001674,BusquedaLocalLinealEmi
1,0,0.001734,BusquedaLocalLinealEmi
1,0,0.001706,BusquedaLocalLinealEmi
1,0,0.001722,BusquedaLocalLinealEmi
1,0,0.001712,BusquedaLocalLinealEmi
1,0,0.001728,BusquedaLocalLinealEmi
1,0,0.00168,BusquedaLocalLinealEmi
1,0,0.001707,BusquedaLocalLinealEmi
1,0,0.001773,BusquedaLocalLinealEmi
1,0,0.001683,BusquedaLocalLinealEmi
1,0,0.001672,BusquedaLocalLinealEmi
1,0,0.001718,BusquedaLocalLinealEmi
1,0,0.001674,BusquedaLocalLinealEmi
1,0,0.001655,BusquedaLocalLinealEmi
1,0,0.001661,BusquedaLocalLinealEmi
1,0,0.001684,BusquedaLocalLinealEmi
1,0,0.001648,BusquedaLocalLinealEmi
1,0,0.001635,BusquedaLocalLinealEmi
6,1,0.013499,BusquedaLocalLinealEmi
6,1,0.010021,BusquedaLocalLinealEmi
6,1,0.009751,BusquedaLocalLinealEmi
6,1,0.009668,BusquedaLocalLinealEmi
6,1,0.020634,BusquedaLocalLinealEmi
6,1,0.009642,BusquedaLocalLinealEmi
6,1,0.009809,BusquedaLocalLinealEmi
6,1,0.009586,BusquedaLocalLinealEmi
6,1,0.009702,BusquedaLocalLinealEmi
6,1,0.009623,BusquedaLocalLinealEmi
6,1,0.009627,BusquedaLocalLinealEmi
6,1,0.009483,BusquedaLocalLinealEmi
6,1,0.009567,BusquedaLocalLinealEmi
6,1,0.00939,BusquedaLocalLinealEmi
6,1,0.009792,BusquedaLocalLinealEmi
6,1,0.009619,BusquedaLocalLinealEmi
6,1,0.009686,BusquedaLocalLinealEmi
6,1,0.009628,BusquedaLocalLinealEmi
6,1,0.009625,BusquedaLocalLinealEmi
6,1,0.009512,BusquedaLocalLinealEmi
6,1,0.01116,BusquedaLocalLinealEmi
6,1,0.010024,BusquedaLocalLinealEmi
6,1,0.009959,BusquedaLocalLinealEmi
6,1,0.009769,BusquedaLocalLinealEmi
6,1,0.009811,BusquedaLocalLinealEmi
6,1,0.009445,BusquedaLocalLinealEmi
6,1,0.009875,BusquedaLocalLinealEmi
6,1,0.009609,BusquedaLocalLinealEmi
6,1,0.009888,BusquedaLocalLinealEmi
6,1,0.009539,BusquedaLocalLinealEmi
11,2,0.011961,BusquedaLocalLinealEmi
11,2,0.010163,BusquedaLocalLinealEmi
11,3,0.010733,BusquedaLocalLinealEmi
11,2,0.014905,BusquedaLocalLinealEmi
11,2,0.009879,BusquedaLocalLinealEmi
11,3,0.015723,BusquedaLocalLinealEmi
11,2,0.009711,BusquedaLocalLinealEmi
11,2,0.014741,BusquedaLocalLinealEmi
11,4,0.010004,BusquedaLocalLinealEmi
11,2,0.009704,BusquedaLocalLinealEmi
11,2,0.009798,BusquedaLocalLinealEmi
11,3,0.015498,BusquedaLocalLinealEmi
11,2,0.015275,BusquedaLocalLinealEmi
11,3,0.009988,BusquedaLocalLinealEmi
11,3,0.009896,BusquedaLocalLinealEmi
11,3,0.016535,BusquedaLocalLinealEmi
11,2,0.014809,BusquedaLocalLinealEmi
11,2,0.010175,BusquedaLocalLinealEmi
11,4,0.010047,BusquedaLocalLinealEmi
11,3,0.009799,BusquedaLocalLinealEmi
11,3,0.009918,BusquedaLocalLinealEmi
11,2,0.014464,BusquedaLocalLinealEmi
11,3,0.009834,BusquedaLocalLinealEmi
11,3,0.015666,BusquedaLocalLinealEmi
11,2,0.00996,BusquedaLocalLinealEmi
11,3,0.009649,BusquedaLocalLinealEmi
11,2,0.04633,BusquedaLocalLinealEmi
11,3,0.016795,BusquedaLocalLinealEmi
11,2,0.009934,BusquedaLocalLinealEmi
11,2,0.014495,BusquedaLocalLinealEmi
16,4,0.016314,BusquedaLocalLinealEmi
16,6,0.015445,BusquedaLocalLinealEmi
16,4,0.016543,BusquedaLocalLinealEmi
16,3,0.015824,BusquedaLocalLinealEmi
16,3,0.015092,BusquedaLocalLinealEmi
16,3,0.014784,BusquedaLocalLinealEmi
16,5,0.015263,BusquedaLocalLinealEmi
16,5,0.015231,BusquedaLocalLinealEmi
16,5,0.015461,BusquedaLocalLinealEmi
16,7,0.027782,BusquedaLocalLinealEmi
16,7,0.016124,BusquedaLocalLinealEmi
16,3,0.016261,BusquedaLocalLinealEmi
16,6,0.027354,BusquedaLocalLinealEmi
16,5,0.018271,BusquedaLocalLinealEmi
16,6,0.016311,BusquedaLocalLinealEmi
16,4,0.016756,BusquedaLocalLinealEmi
16,5,0.016294,BusquedaLocalLinealEmi
16,5,0.015927,BusquedaLocalLinealEmi
16,6,0.015807,BusquedaLocalLinealEmi
16,7,0.028164,BusquedaLocalLinealEmi
16,6,0.022404,BusquedaLocalLinealEmi
16,5,0.017087,BusquedaLocalLinealEmi
16,5,0.015866,BusquedaLocalLinealEmi
16,5,0.016329,BusquedaLocalLinealEmi
16,8,0.027185,BusquedaLocalLinealEmi
16,4,0.016777,BusquedaLocalLinealEmi
16,4,0.015353,BusquedaLocalLinealEmi
16,5,0.01493,BusquedaLocalLinealEmi
16,5,0.015873,BusquedaLocalLinealEmi
16,3,0.016963,BusquedaLocalLinealEmi
21,7,0.054894,BusquedaLocalLinealEmi
21,6,0.023233,BusquedaLocalLinealEmi
21,5,0.021881,BusquedaLocalLinealEmi
21,6,0.023895,BusquedaLocalLinealEmi
21,6,0.022451,BusquedaLocalLinealEmi
21,6,0.022551,BusquedaLocalLinealEmi
21,5,0.023751,BusquedaLocalLinealEmi
21,5,0.021648,BusquedaLocalLinealEmi
21,7,0.027813,BusquedaLocalLinealEmi
21,7,0.035969,BusquedaLocalLinealEmi
21,9,0.026563,BusquedaLocalLinealEmi
21,6,0.024519,BusquedaLocalLinealEmi
21,8,0.022977,BusquedaLocalLinealEmi
21,7,0.024012,BusquedaLocalLinealEmi
21,8,0.03807,BusquedaLocalLinealEmi
21,6,0.02371,BusquedaLocalLinealEmi
21,7,0.028598,BusquedaLocalLinealEmi
21,8,0.027556,BusquedaLocalLinealEmi
21,6,0.023171,BusquedaLocalLinealEmi
21,6,0.036705,BusquedaLocalLinealEmi
21,7,0.02249,BusquedaLocalLinealEmi
21,11,0.039768,BusquedaLocalLinealEmi
21,7,0.038448,BusquedaLocalLinealEmi
21,6,0.022164,BusquedaLocalLinealEmi
21,6,0.022412,BusquedaLocalLinealEmi
21,7,0.036909,BusquedaLocalLinealEmi
21,5,0.022375,BusquedaLocalLinealEmi
21,5,0.022083,BusquedaLocalLinealEmi
21,6,0.022024,BusquedaLocalLinealEmi
21,8,0.037693,BusquedaLocalLinealEmi
26,8,0.037018,BusquedaLocalLinealEmi
26,10,0.037473,BusquedaLocalLinealEmi
26,10,0.047686,BusquedaLocalLinealEmi
26,6,0.030465,BusquedaLocalLinealEmi
26,8,0.049015,BusquedaLocalLinealEmi
26,10,0.035852,BusquedaLocalLinealEmi
26,7,0.03617,BusquedaLocalLinealEmi
26,8,0.030775,BusquedaLocalLinealEmi
26,12,0.035202,BusquedaLocalLinealEmi
26,7,0.031666,BusquedaLocalLinealEmi
26,8,0.030545,BusquedaLocalLinealEmi
26,10,0.036041,BusquedaLocalLinealEmi
26,7,0.068603,BusquedaLocalLinealEmi
26,7,0.030692,BusquedaLocalLinealEmi
26,9,0.031826,BusquedaLocalLinealEmi
26,9,0.031985,BusquedaLocalLinealEmi
26,10,0.030429,BusquedaLocalLinealEmi
26,8,0.029802,BusquedaLocalLinealEmi
