cantNod,Res,Tiempo,Tipo
1,0,0.003261,BusquedaLocalLinealEmi
1,0,0.001806,BusquedaLocalLinealEmi
1,0,0.001683,BusquedaLocalLinealEmi
1,0,0.00174,BusquedaLocalLinealEmi
1,0,0.001664,BusquedaLocalLinealEmi
1,0,0.00164,BusquedaLocalLinealEmi
1,0,0.011095,BusquedaLocalLinealEmi
1,0,0.001793,BusquedaLocalLinealEmi
1,0,0.001706,BusquedaLocalLinealEmi
1,0,0.001672,BusquedaLocalLinealEmi
1,0,0.001721,BusquedaLocalLinealEmi
1,0,0.001685,BusquedaLocalLinealEmi
1,0,0.00169,BusquedaLocalLinealEmi
1,0,0.00168,BusquedaLocalLinealEmi
1,0,0.001702,BusquedaLocalLinealEmi
1,0,0.001663,BusquedaLocalLinealEmi
1,0,0.001697,BusquedaLocalLinealEmi
1,0,0.001698,BusquedaLocalLinealEmi
1,0,0.00171,BusquedaLocalLinealEmi
1,0,0.001679,BusquedaLocalLinealEmi
1,0,0.001693,BusquedaLocalLinealEmi
1,0,0.001688,BusquedaLocalLinealEmi
1,0,0.001678,BusquedaLocalLinealEmi
1,0,0.001688,BusquedaLocalLinealEmi
1,0,0.001666,BusquedaLocalLinealEmi
1,0,0.001702,BusquedaLocalLinealEmi
1,0,0.001642,BusquedaLocalLinealEmi
1,0,0.001681,BusquedaLocalLinealEmi
1,0,0.002111,BusquedaLocalLinealEmi
1,0,0.001714,BusquedaLocalLinealEmi
6,4,0.020681,BusquedaLocalLinealEmi
6,4,0.009824,BusquedaLocalLinealEmi
6,6,0.018146,BusquedaLocalLinealEmi
6,5,0.017736,BusquedaLocalLinealEmi
6,4,0.010258,BusquedaLocalLinealEmi
6,4,0.009452,BusquedaLocalLinealEmi
6,4,0.017056,BusquedaLocalLinealEmi
6,4,0.016378,BusquedaLocalLinealEmi
6,4,0.009682,BusquedaLocalLinealEmi
6,6,0.01836,BusquedaLocalLinealEmi
6,5,0.016739,BusquedaLocalLinealEmi
6,4,0.009336,BusquedaLocalLinealEmi
6,5,0.016563,BusquedaLocalLinealEmi
6,6,0.017075,BusquedaLocalLinealEmi
6,5,0.021311,BusquedaLocalLinealEmi
6,4,0.016646,BusquedaLocalLinealEmi
6,5,0.017464,BusquedaLocalLinealEmi
6,5,0.016496,BusquedaLocalLinealEmi
6,5,0.021109,BusquedaLocalLinealEmi
6,4,0.009775,BusquedaLocalLinealEmi
6,5,0.016855,BusquedaLocalLinealEmi
6,4,0.009429,BusquedaLocalLinealEmi
6,5,0.01744,BusquedaLocalLinealEmi
6,5,0.015818,BusquedaLocalLinealEmi
6,5,0.021292,BusquedaLocalLinealEmi
6,4,0.009322,BusquedaLocalLinealEmi
6,5,0.016988,BusquedaLocalLinealEmi
6,4,0.017521,BusquedaLocalLinealEmi
6,4,0.037817,BusquedaLocalLinealEmi
6,5,0.016832,BusquedaLocalLinealEmi
11,14,0.032968,BusquedaLocalLinealEmi
11,14,0.060152,BusquedaLocalLinealEmi
11,14,0.042285,BusquedaLocalLinealEmi
11,14,0.042114,BusquedaLocalLinealEmi
11,14,0.043462,BusquedaLocalLinealEmi
11,16,0.049354,BusquedaLocalLinealEmi
11,15,0.042163,BusquedaLocalLinealEmi
11,14,0.051401,BusquedaLocalLinealEmi
11,16,0.060424,BusquedaLocalLinealEmi
11,16,0.05934,BusquedaLocalLinealEmi
11,12,0.031398,BusquedaLocalLinealEmi
11,14,0.030543,BusquedaLocalLinealEmi
11,14,0.027437,BusquedaLocalLinealEmi
11,13,0.02755,BusquedaLocalLinealEmi
11,13,0.037181,BusquedaLocalLinealEmi
11,13,0.031766,BusquedaLocalLinealEmi
11,16,0.047176,BusquedaLocalLinealEmi
11,15,0.060002,BusquedaLocalLinealEmi
11,13,0.027688,BusquedaLocalLinealEmi
11,14,0.092967,BusquedaLocalLinealEmi
11,13,0.04241,BusquedaLocalLinealEmi
11,13,0.05953,BusquedaLocalLinealEmi
11,18,0.050675,BusquedaLocalLinealEmi
11,17,0.053341,BusquedaLocalLinealEmi
11,16,0.060254,BusquedaLocalLinealEmi
11,14,0.03093,BusquedaLocalLinealEmi
11,16,0.048804,BusquedaLocalLinealEmi
11,14,0.02863,BusquedaLocalLinealEmi
11,13,0.030153,BusquedaLocalLinealEmi
11,17,0.045662,BusquedaLocalLinealEmi
16,35,0.146921,BusquedaLocalLinealEmi
16,27,0.058074,BusquedaLocalLinealEmi
16,27,0.058899,BusquedaLocalLinealEmi
16,34,0.090226,BusquedaLocalLinealEmi
16,31,0.066657,BusquedaLocalLinealEmi
16,31,0.11137,BusquedaLocalLinealEmi
16,29,0.092389,BusquedaLocalLinealEmi
16,28,0.0923,BusquedaLocalLinealEmi
16,28,0.061154,BusquedaLocalLinealEmi
16,33,0.107416,BusquedaLocalLinealEmi
16,28,0.091119,BusquedaLocalLinealEmi
16,32,0.091435,BusquedaLocalLinealEmi
16,32,0.09538,BusquedaLocalLinealEmi
16,31,0.085152,BusquedaLocalLinealEmi
16,31,0.111809,BusquedaLocalLinealEmi
16,31,0.094013,BusquedaLocalLinealEmi
16,33,0.171165,BusquedaLocalLinealEmi
16,27,0.064711,BusquedaLocalLinealEmi
16,33,0.121538,BusquedaLocalLinealEmi
16,29,0.102145,BusquedaLocalLinealEmi
16,32,0.064427,BusquedaLocalLinealEmi
16,28,0.082847,BusquedaLocalLinealEmi
16,34,0.128118,BusquedaLocalLinealEmi
16,29,0.062292,BusquedaLocalLinealEmi
16,26,0.091121,BusquedaLocalLinealEmi
16,27,0.058004,BusquedaLocalLinealEmi
16,31,0.108844,BusquedaLocalLinealEmi
16,29,0.065515,BusquedaLocalLinealEmi
16,30,0.134597,BusquedaLocalLinealEmi
16,34,0.062247,BusquedaLocalLinealEmi
21,46,0.154908,BusquedaLocalLinealEmi
21,54,0.222264,BusquedaLocalLinealEmi
21,50,0.106401,BusquedaLocalLinealEmi
21,53,0.145991,BusquedaLocalLinealEmi
21,55,0.199417,BusquedaLocalLinealEmi
21,49,0.113363,BusquedaLocalLinealEmi
21,54,0.171256,BusquedaLocalLinealEmi
21,56,0.197841,BusquedaLocalLinealEmi
21,53,0.155357,BusquedaLocalLinealEmi
21,52,0.144997,BusquedaLocalLinealEmi
