cantNod,Res,Tiempo,Tipo
1,0,0.003751,GrafoRandomDAltaHeurNipo
1,0,0.002056,GrafoRandomDAltaHeurEmi
1,0,0.00719,BusquedaLocalLinealEmi
1,0,0.004047,BusquedaLocalCuadraticaEmi
1,0,0.002139,GrafoRandomDAltaHeurNipo
1,0,0.001072,GrafoRandomDAltaHeurEmi
1,0,0.002326,BusquedaLocalLinealEmi
1,0,0.002706,BusquedaLocalCuadraticaEmi
1,0,0.001897,GrafoRandomDAltaHeurNipo
1,0,0.000921,GrafoRandomDAltaHeurEmi
1,0,0.002094,BusquedaLocalLinealEmi
1,0,0.002493,BusquedaLocalCuadraticaEmi
1,0,0.001882,GrafoRandomDAltaHeurNipo
1,0,0.000899,GrafoRandomDAltaHeurEmi
1,0,0.002043,BusquedaLocalLinealEmi
1,0,0.002526,BusquedaLocalCuadraticaEmi
1,0,0.001839,GrafoRandomDAltaHeurNipo
1,0,0.000909,GrafoRandomDAltaHeurEmi
1,0,0.002054,BusquedaLocalLinealEmi
1,0,0.002452,BusquedaLocalCuadraticaEmi
1,0,0.001821,GrafoRandomDAltaHeurNipo
1,0,0.00089,GrafoRandomDAltaHeurEmi
1,0,0.002047,BusquedaLocalLinealEmi
1,0,0.002517,BusquedaLocalCuadraticaEmi
1,0,0.001878,GrafoRandomDAltaHeurNipo
1,0,0.000904,GrafoRandomDAltaHeurEmi
1,0,0.002079,BusquedaLocalLinealEmi
1,0,0.002461,BusquedaLocalCuadraticaEmi
1,0,0.001823,GrafoRandomDAltaHeurNipo
1,0,0.000925,GrafoRandomDAltaHeurEmi
1,0,0.00206,BusquedaLocalLinealEmi
1,0,0.002469,BusquedaLocalCuadraticaEmi
1,0,0.001869,GrafoRandomDAltaHeurNipo
1,0,0.000893,GrafoRandomDAltaHeurEmi
1,0,0.002085,BusquedaLocalLinealEmi
1,0,0.002476,BusquedaLocalCuadraticaEmi
1,0,0.001828,GrafoRandomDAltaHeurNipo
1,0,0.000897,GrafoRandomDAltaHeurEmi
1,0,0.002055,BusquedaLocalLinealEmi
1,0,0.002469,BusquedaLocalCuadraticaEmi
1,0,0.001817,GrafoRandomDAltaHeurNipo
1,0,0.000908,GrafoRandomDAltaHeurEmi
1,0,0.002008,BusquedaLocalLinealEmi
1,0,0.002493,BusquedaLocalCuadraticaEmi
1,0,0.001863,GrafoRandomDAltaHeurNipo
1,0,0.000896,GrafoRandomDAltaHeurEmi
1,0,0.002026,BusquedaLocalLinealEmi
1,0,0.002518,BusquedaLocalCuadraticaEmi
1,0,0.001915,GrafoRandomDAltaHeurNipo
1,0,0.00089,GrafoRandomDAltaHeurEmi
1,0,0.002004,BusquedaLocalLinealEmi
1,0,0.002512,BusquedaLocalCuadraticaEmi
1,0,0.001839,GrafoRandomDAltaHeurNipo
1,0,0.000906,GrafoRandomDAltaHeurEmi
1,0,0.002042,BusquedaLocalLinealEmi
1,0,0.002498,BusquedaLocalCuadraticaEmi
1,0,0.001834,GrafoRandomDAltaHeurNipo
1,0,0.000921,GrafoRandomDAltaHeurEmi
1,0,0.002067,BusquedaLocalLinealEmi
1,0,0.00247,BusquedaLocalCuadraticaEmi
1,0,0.001824,GrafoRandomDAltaHeurNipo
1,0,0.000887,GrafoRandomDAltaHeurEmi
1,0,0.002084,BusquedaLocalLinealEmi
1,0,0.002462,BusquedaLocalCuadraticaEmi
1,0,0.001856,GrafoRandomDAltaHeurNipo
1,0,0.000905,GrafoRandomDAltaHeurEmi
1,0,0.002026,BusquedaLocalLinealEmi
1,0,0.002536,BusquedaLocalCuadraticaEmi
1,0,0.001887,GrafoRandomDAltaHeurNipo
1,0,0.000926,GrafoRandomDAltaHeurEmi
1,0,0.002109,BusquedaLocalLinealEmi
1,0,0.002586,BusquedaLocalCuadraticaEmi
1,0,0.001891,GrafoRandomDAltaHeurNipo
1,0,0.000931,GrafoRandomDAltaHeurEmi
1,0,0.002058,BusquedaLocalLinealEmi
1,0,0.002542,BusquedaLocalCuadraticaEmi
1,0,0.001828,GrafoRandomDAltaHeurNipo
1,0,0.000902,GrafoRandomDAltaHeurEmi
1,0,0.00205,BusquedaLocalLinealEmi
1,0,0.002522,BusquedaLocalCuadraticaEmi
1,0,0.001859,GrafoRandomDAltaHeurNipo
1,0,0.000895,GrafoRandomDAltaHeurEmi
1,0,0.002088,BusquedaLocalLinealEmi
1,0,0.002555,BusquedaLocalCuadraticaEmi
1,0,0.001856,GrafoRandomDAltaHeurNipo
