cantNod,Res,Tiempo,Tipo
1,0,0.003033,GrafoRandomDAltaHeurNipo
1,0,0.001514,GrafoRandomDAltaHeurEmi
1,0,0.005861,BusquedaLocalLinealEmi
1,0,0.012048,BusquedaLocalCuadraticaEmi
1,0,0.001698,GrafoRandomDAltaHeurNipo
1,0,0.000735,GrafoRandomDAltaHeurEmi
1,0,0.00182,BusquedaLocalLinealEmi
1,0,0.002088,BusquedaLocalCuadraticaEmi
1,0,0.001524,GrafoRandomDAltaHeurNipo
1,0,0.000713,GrafoRandomDAltaHeurEmi
1,0,0.001702,BusquedaLocalLinealEmi
1,0,0.002051,BusquedaLocalCuadraticaEmi
1,0,0.001541,GrafoRandomDAltaHeurNipo
1,0,0.000739,GrafoRandomDAltaHeurEmi
1,0,0.00167,BusquedaLocalLinealEmi
1,0,0.002122,BusquedaLocalCuadraticaEmi
1,0,0.001492,GrafoRandomDAltaHeurNipo
1,0,0.000745,GrafoRandomDAltaHeurEmi
1,0,0.001624,BusquedaLocalLinealEmi
1,0,0.002,BusquedaLocalCuadraticaEmi
1,0,0.001472,GrafoRandomDAltaHeurNipo
1,0,0.000715,GrafoRandomDAltaHeurEmi
1,0,0.001627,BusquedaLocalLinealEmi
1,0,0.00202,BusquedaLocalCuadraticaEmi
1,0,0.001462,GrafoRandomDAltaHeurNipo
1,0,0.000704,GrafoRandomDAltaHeurEmi
1,0,0.001651,BusquedaLocalLinealEmi
1,0,0.001971,BusquedaLocalCuadraticaEmi
1,0,0.001445,GrafoRandomDAltaHeurNipo
1,0,0.000746,GrafoRandomDAltaHeurEmi
1,0,0.001617,BusquedaLocalLinealEmi
1,0,0.002026,BusquedaLocalCuadraticaEmi
1,0,0.001492,GrafoRandomDAltaHeurNipo
1,0,0.000741,GrafoRandomDAltaHeurEmi
1,0,0.001675,BusquedaLocalLinealEmi
1,0,0.002018,BusquedaLocalCuadraticaEmi
1,0,0.001506,GrafoRandomDAltaHeurNipo
1,0,0.00071,GrafoRandomDAltaHeurEmi
1,0,0.00166,BusquedaLocalLinealEmi
1,0,0.002083,BusquedaLocalCuadraticaEmi
1,0,0.00151,GrafoRandomDAltaHeurNipo
1,0,0.000731,GrafoRandomDAltaHeurEmi
1,0,0.001681,BusquedaLocalLinealEmi
1,0,0.00205,BusquedaLocalCuadraticaEmi
1,0,0.001481,GrafoRandomDAltaHeurNipo
1,0,0.000741,GrafoRandomDAltaHeurEmi
1,0,0.001663,BusquedaLocalLinealEmi
1,0,0.002046,BusquedaLocalCuadraticaEmi
1,0,0.00151,GrafoRandomDAltaHeurNipo
1,0,0.000714,GrafoRandomDAltaHeurEmi
1,0,0.001641,BusquedaLocalLinealEmi
1,0,0.002093,BusquedaLocalCuadraticaEmi
1,0,0.001514,GrafoRandomDAltaHeurNipo
1,0,0.000707,GrafoRandomDAltaHeurEmi
1,0,0.001692,BusquedaLocalLinealEmi
1,0,0.002082,BusquedaLocalCuadraticaEmi
1,0,0.001596,GrafoRandomDAltaHeurNipo
1,0,0.000794,GrafoRandomDAltaHeurEmi
1,0,0.001942,BusquedaLocalLinealEmi
1,0,0.002255,BusquedaLocalCuadraticaEmi
2,0,0.001845,GrafoRandomDAltaHeurNipo
2,0,0.001793,GrafoRandomDAltaHeurEmi
2,0,0.003072,BusquedaLocalLinealEmi
2,0,0.003596,BusquedaLocalCuadraticaEmi
2,0,0.010356,GrafoRandomDAltaHeurNipo
2,0,0.001362,GrafoRandomDAltaHeurEmi
2,0,0.002605,BusquedaLocalLinealEmi
2,0,0.003219,BusquedaLocalCuadraticaEmi
2,0,0.001697,GrafoRandomDAltaHeurNipo
2,0,0.001362,GrafoRandomDAltaHeurEmi
2,0,0.002664,BusquedaLocalLinealEmi
2,0,0.003342,BusquedaLocalCuadraticaEmi
2,0,0.001667,GrafoRandomDAltaHeurNipo
2,0,0.001331,GrafoRandomDAltaHeurEmi
2,0,0.002454,BusquedaLocalLinealEmi
2,0,0.00317,BusquedaLocalCuadraticaEmi
2,0,0.001641,GrafoRandomDAltaHeurNipo
2,0,0.001308,GrafoRandomDAltaHeurEmi
2,0,0.002633,BusquedaLocalLinealEmi
2,0,0.003257,BusquedaLocalCuadraticaEmi
2,0,0.001681,GrafoRandomDAltaHeurNipo
2,0,0.001311,GrafoRandomDAltaHeurEmi
2,0,0.002482,BusquedaLocalLinealEmi
2,0,0.003134,BusquedaLocalCuadraticaEmi
2,0,0.001647,GrafoRandomDAltaHeurNipo
2,0,0.001308,GrafoRandomDAltaHeurEmi
2,0,0.002462,BusquedaLocalLinealEmi
2,0,0.003102,BusquedaLocalCuadraticaEmi
2,0,0.001623,GrafoRandomDAltaHeurNipo
2,0,0.001361,GrafoRandomDAltaHeurEmi
2,0,0.002479,BusquedaLocalLinealEmi
2,0,0.003103,BusquedaLocalCuadraticaEmi
2,0,0.001671,GrafoRandomDAltaHeurNipo
2,0,0.001305,GrafoRandomDAltaHeurEmi
2,0,0.002499,BusquedaLocalLinealEmi
2,0,0.003159,BusquedaLocalCuadraticaEmi
2,0,0.001751,GrafoRandomDAltaHeurNipo
2,0,0.001335,GrafoRandomDAltaHeurEmi
2,0,0.002549,BusquedaLocalLinealEmi
2,0,0.012014,BusquedaLocalCuadraticaEmi
2,0,0.001684,GrafoRandomDAltaHeurNipo
2,0,0.001352,GrafoRandomDAltaHeurEmi
2,0,0.002481,BusquedaLocalLinealEmi
2,0,0.003092,BusquedaLocalCuadraticaEmi
2,0,0.001681,GrafoRandomDAltaHeurNipo
2,0,0.001299,GrafoRandomDAltaHeurEmi
2,0,0.002489,BusquedaLocalLinealEmi
2,0,0.003082,BusquedaLocalCuadraticaEmi
2,0,0.001711,GrafoRandomDAltaHeurNipo
2,0,0.001381,GrafoRandomDAltaHeurEmi
2,0,0.002671,BusquedaLocalLinealEmi
2,0,0.013374,BusquedaLocalCuadraticaEmi
2,0,0.001754,GrafoRandomDAltaHeurNipo
2,0,0.001373,GrafoRandomDAltaHeurEmi
2,0,0.002557,BusquedaLocalLinealEmi
2,0,0.003161,BusquedaLocalCuadraticaEmi
2,0,0.00168,GrafoRandomDAltaHeurNipo
2,0,0.001303,GrafoRandomDAltaHeurEmi
2,0,0.002436,BusquedaLocalLinealEmi
2,0,0.003031,BusquedaLocalCuadraticaEmi
3,0,0.00249,GrafoRandomDAltaHeurNipo
3,1,0.013728,GrafoRandomDAltaHeurEmi
3,0,0.020383,BusquedaLocalLinealEmi
3,0,0.022518,BusquedaLocalCuadraticaEmi
3,0,0.002327,GrafoRandomDAltaHeurNipo
3,1,0.003303,GrafoRandomDAltaHeurEmi
3,0,0.008965,BusquedaLocalLinealEmi
3,0,0.019705,BusquedaLocalCuadraticaEmi
3,0,0.002229,GrafoRandomDAltaHeurNipo
3,1,0.003213,GrafoRandomDAltaHeurEmi
3,0,0.008734,BusquedaLocalLinealEmi
3,0,0.018648,BusquedaLocalCuadraticaEmi
3,0,0.002238,GrafoRandomDAltaHeurNipo
3,1,0.003205,GrafoRandomDAltaHeurEmi
3,0,0.008595,BusquedaLocalLinealEmi
3,0,0.019132,BusquedaLocalCuadraticaEmi
3,0,0.002266,GrafoRandomDAltaHeurNipo
3,1,0.003019,GrafoRandomDAltaHeurEmi
3,0,0.008497,BusquedaLocalLinealEmi
3,0,0.018826,BusquedaLocalCuadraticaEmi
3,0,0.002214,GrafoRandomDAltaHeurNipo
3,1,0.003127,GrafoRandomDAltaHeurEmi
3,0,0.008578,BusquedaLocalLinealEmi
3,0,0.018216,BusquedaLocalCuadraticaEmi
3,0,0.002184,GrafoRandomDAltaHeurNipo
3,1,0.00305,GrafoRandomDAltaHeurEmi
3,0,0.008214,BusquedaLocalLinealEmi
3,0,0.01836,BusquedaLocalCuadraticaEmi
3,0,0.002182,GrafoRandomDAltaHeurNipo
3,1,0.003013,GrafoRandomDAltaHeurEmi
3,0,0.008158,BusquedaLocalLinealEmi
3,0,0.018198,BusquedaLocalCuadraticaEmi
3,0,0.00219,GrafoRandomDAltaHeurNipo
3,1,0.003047,GrafoRandomDAltaHeurEmi
3,0,0.008419,BusquedaLocalLinealEmi
3,0,0.018416,BusquedaLocalCuadraticaEmi
3,0,0.002182,GrafoRandomDAltaHeurNipo
3,1,0.003012,GrafoRandomDAltaHeurEmi
3,0,0.008308,BusquedaLocalLinealEmi
3,0,0.018026,BusquedaLocalCuadraticaEmi
3,0,0.002206,GrafoRandomDAltaHeurNipo
3,1,0.003078,GrafoRandomDAltaHeurEmi
3,0,0.008507,BusquedaLocalLinealEmi
3,0,0.018509,BusquedaLocalCuadraticaEmi
3,0,0.002193,GrafoRandomDAltaHeurNipo
3,1,0.003084,GrafoRandomDAltaHeurEmi
3,0,0.008317,BusquedaLocalLinealEmi
3,0,0.018654,BusquedaLocalCuadraticaEmi
3,0,0.002238,GrafoRandomDAltaHeurNipo
3,1,0.003054,GrafoRandomDAltaHeurEmi
3,0,0.008512,BusquedaLocalLinealEmi
3,0,0.018651,BusquedaLocalCuadraticaEmi
3,0,0.002175,GrafoRandomDAltaHeurNipo
3,1,0.003097,GrafoRandomDAltaHeurEmi
3,0,0.008577,BusquedaLocalLinealEmi
3,0,0.018873,BusquedaLocalCuadraticaEmi
3,0,0.002182,GrafoRandomDAltaHeurNipo
3,1,0.003084,GrafoRandomDAltaHeurEmi
3,0,0.008387,BusquedaLocalLinealEmi
3,0,0.018304,BusquedaLocalCuadraticaEmi
4,0,0.01973,GrafoRandomDAltaHeurNipo
4,1,0.014651,GrafoRandomDAltaHeurEmi
4,0,0.011624,BusquedaLocalLinealEmi
4,0,0.030519,BusquedaLocalCuadraticaEmi
4,0,0.003643,GrafoRandomDAltaHeurNipo
4,1,0.005476,GrafoRandomDAltaHeurEmi
4,0,0.011375,BusquedaLocalLinealEmi
4,0,0.029165,BusquedaLocalCuadraticaEmi
4,0,0.003717,GrafoRandomDAltaHeurNipo
4,1,0.00549,GrafoRandomDAltaHeurEmi
4,0,0.011327,BusquedaLocalLinealEmi
4,0,0.029263,BusquedaLocalCuadraticaEmi
4,0,0.003674,GrafoRandomDAltaHeurNipo
4,1,0.00539,GrafoRandomDAltaHeurEmi
4,0,0.01125,BusquedaLocalLinealEmi
4,0,0.028891,BusquedaLocalCuadraticaEmi
4,0,0.003721,GrafoRandomDAltaHeurNipo
4,1,0.005336,GrafoRandomDAltaHeurEmi
4,0,0.011426,BusquedaLocalLinealEmi
4,0,0.029834,BusquedaLocalCuadraticaEmi
4,0,0.003648,GrafoRandomDAltaHeurNipo
4,1,0.005288,GrafoRandomDAltaHeurEmi
4,0,0.011307,BusquedaLocalLinealEmi
4,0,0.02882,BusquedaLocalCuadraticaEmi
4,0,0.003617,GrafoRandomDAltaHeurNipo
4,1,0.005126,GrafoRandomDAltaHeurEmi
4,0,0.011378,BusquedaLocalLinealEmi
4,0,0.029322,BusquedaLocalCuadraticaEmi
4,0,0.003567,GrafoRandomDAltaHeurNipo
4,1,0.00531,GrafoRandomDAltaHeurEmi
4,0,0.011045,BusquedaLocalLinealEmi
4,0,0.028273,BusquedaLocalCuadraticaEmi
4,0,0.003613,GrafoRandomDAltaHeurNipo
4,1,0.005206,GrafoRandomDAltaHeurEmi
4,0,0.010806,BusquedaLocalLinealEmi
4,0,0.027985,BusquedaLocalCuadraticaEmi
4,0,0.003606,GrafoRandomDAltaHeurNipo
4,1,0.005295,GrafoRandomDAltaHeurEmi
4,0,0.010996,BusquedaLocalLinealEmi
