cantNod,Res,Tiempo,Tipo
1,0,0.019146,GrafoRandomDBajaHeurNipo
1,0,0.001101,GrafoRandomDBajaHeurEmi
1,0,0.011769,BusquedaLocalLinealEmi
1,0,0.002787,BusquedaLocalCuadraticaEmi
1,0,0.001642,GrafoRandomDBajaHeurNipo
1,0,0.009604,GrafoRandomDBajaHeurEmi
1,0,0.001795,BusquedaLocalLinealEmi
1,0,0.002139,BusquedaLocalCuadraticaEmi
1,0,0.001468,GrafoRandomDBajaHeurNipo
1,0,0.000708,GrafoRandomDBajaHeurEmi
1,0,0.001669,BusquedaLocalLinealEmi
1,0,0.002001,BusquedaLocalCuadraticaEmi
1,0,0.001541,GrafoRandomDBajaHeurNipo
1,0,0.000726,GrafoRandomDBajaHeurEmi
1,0,0.001638,BusquedaLocalLinealEmi
1,0,0.002054,BusquedaLocalCuadraticaEmi
1,0,0.00153,GrafoRandomDBajaHeurNipo
1,0,0.000737,GrafoRandomDBajaHeurEmi
1,0,0.001648,BusquedaLocalLinealEmi
1,0,0.00204,BusquedaLocalCuadraticaEmi
1,0,0.001531,GrafoRandomDBajaHeurNipo
1,0,0.000722,GrafoRandomDBajaHeurEmi
1,0,0.001627,BusquedaLocalLinealEmi
1,0,0.002004,BusquedaLocalCuadraticaEmi
1,0,0.001487,GrafoRandomDBajaHeurNipo
1,0,0.000706,GrafoRandomDBajaHeurEmi
1,0,0.001643,BusquedaLocalLinealEmi
1,0,0.002031,BusquedaLocalCuadraticaEmi
1,0,0.00145,GrafoRandomDBajaHeurNipo
1,0,0.000721,GrafoRandomDBajaHeurEmi
1,0,0.001664,BusquedaLocalLinealEmi
1,0,0.001961,BusquedaLocalCuadraticaEmi
1,0,0.001458,GrafoRandomDBajaHeurNipo
1,0,0.000714,GrafoRandomDBajaHeurEmi
1,0,0.001639,BusquedaLocalLinealEmi
1,0,0.002051,BusquedaLocalCuadraticaEmi
1,0,0.001474,GrafoRandomDBajaHeurNipo
1,0,0.000711,GrafoRandomDBajaHeurEmi
1,0,0.001725,BusquedaLocalLinealEmi
1,0,0.002001,BusquedaLocalCuadraticaEmi
1,0,0.001486,GrafoRandomDBajaHeurNipo
1,0,0.000727,GrafoRandomDBajaHeurEmi
1,0,0.001668,BusquedaLocalLinealEmi
1,0,0.001979,BusquedaLocalCuadraticaEmi
1,0,0.001478,GrafoRandomDBajaHeurNipo
1,0,0.000727,GrafoRandomDBajaHeurEmi
1,0,0.001643,BusquedaLocalLinealEmi
1,0,0.002027,BusquedaLocalCuadraticaEmi
1,0,0.001497,GrafoRandomDBajaHeurNipo
1,0,0.000711,GrafoRandomDBajaHeurEmi
1,0,0.00165,BusquedaLocalLinealEmi
1,0,0.002019,BusquedaLocalCuadraticaEmi
1,0,0.00147,GrafoRandomDBajaHeurNipo
1,0,0.000716,GrafoRandomDBajaHeurEmi
1,0,0.001704,BusquedaLocalLinealEmi
1,0,0.002008,BusquedaLocalCuadraticaEmi
1,0,0.001449,GrafoRandomDBajaHeurNipo
1,0,0.000732,GrafoRandomDBajaHeurEmi
1,0,0.001613,BusquedaLocalLinealEmi
1,0,0.001965,BusquedaLocalCuadraticaEmi
1,0,0.001495,GrafoRandomDBajaHeurNipo
1,0,0.000736,GrafoRandomDBajaHeurEmi
1,0,0.001649,BusquedaLocalLinealEmi
1,0,0.002037,BusquedaLocalCuadraticaEmi
1,0,0.001512,GrafoRandomDBajaHeurNipo
1,0,0.000711,GrafoRandomDBajaHeurEmi
1,0,0.00168,BusquedaLocalLinealEmi
1,0,0.001979,BusquedaLocalCuadraticaEmi
1,0,0.001422,GrafoRandomDBajaHeurNipo
1,0,0.000731,GrafoRandomDBajaHeurEmi
1,0,0.001674,BusquedaLocalLinealEmi
1,0,0.002068,BusquedaLocalCuadraticaEmi
1,0,0.001445,GrafoRandomDBajaHeurNipo
1,0,0.000727,GrafoRandomDBajaHeurEmi
1,0,0.00163,BusquedaLocalLinealEmi
1,0,0.001976,BusquedaLocalCuadraticaEmi
1,0,0.001438,GrafoRandomDBajaHeurNipo
1,0,0.000729,GrafoRandomDBajaHeurEmi
