cantNod,Res,Tiempo,Tipo
1,0,0.002123,GrafoRandomDBajaHeurNipo
1,0,0.001082,GrafoRandomDBajaHeurEmi
1,0,0.01325,BusquedaLocalLinealEmi
1,0,0.003024,BusquedaLocalCuadraticaEmi
1,0,0.001584,GrafoRandomDBajaHeurNipo
1,0,0.000775,GrafoRandomDBajaHeurEmi
1,0,0.00175,BusquedaLocalLinealEmi
1,0,0.002097,BusquedaLocalCuadraticaEmi
1,0,0.001512,GrafoRandomDBajaHeurNipo
1,0,0.000692,GrafoRandomDBajaHeurEmi
1,0,0.001685,BusquedaLocalLinealEmi
1,0,0.001967,BusquedaLocalCuadraticaEmi
1,0,0.001438,GrafoRandomDBajaHeurNipo
1,0,0.000713,GrafoRandomDBajaHeurEmi
1,0,0.001614,BusquedaLocalLinealEmi
1,0,0.001995,BusquedaLocalCuadraticaEmi
1,0,0.001466,GrafoRandomDBajaHeurNipo
1,0,0.000714,GrafoRandomDBajaHeurEmi
1,0,0.001659,BusquedaLocalLinealEmi
1,0,0.002004,BusquedaLocalCuadraticaEmi
1,0,0.001522,GrafoRandomDBajaHeurNipo
1,0,0.000734,GrafoRandomDBajaHeurEmi
1,0,0.001634,BusquedaLocalLinealEmi
1,0,0.002003,BusquedaLocalCuadraticaEmi
1,0,0.001472,GrafoRandomDBajaHeurNipo
1,0,0.000688,GrafoRandomDBajaHeurEmi
1,0,0.001663,BusquedaLocalLinealEmi
1,0,0.00199,BusquedaLocalCuadraticaEmi
1,0,0.001447,GrafoRandomDBajaHeurNipo
1,0,0.000686,GrafoRandomDBajaHeurEmi
1,0,0.001608,BusquedaLocalLinealEmi
1,0,0.001996,BusquedaLocalCuadraticaEmi
1,0,0.001487,GrafoRandomDBajaHeurNipo
1,0,0.0007,GrafoRandomDBajaHeurEmi
1,0,0.001633,BusquedaLocalLinealEmi
1,0,0.001964,BusquedaLocalCuadraticaEmi
1,0,0.001439,GrafoRandomDBajaHeurNipo
1,0,0.000689,GrafoRandomDBajaHeurEmi
1,0,0.001627,BusquedaLocalLinealEmi
1,0,0.001976,BusquedaLocalCuadraticaEmi
1,0,0.001447,GrafoRandomDBajaHeurNipo
1,0,0.000722,GrafoRandomDBajaHeurEmi
1,0,0.001644,BusquedaLocalLinealEmi
1,0,0.002046,BusquedaLocalCuadraticaEmi
1,0,0.00147,GrafoRandomDBajaHeurNipo
1,0,0.000687,GrafoRandomDBajaHeurEmi
1,0,0.001641,BusquedaLocalLinealEmi
1,0,0.001969,BusquedaLocalCuadraticaEmi
1,0,0.001436,GrafoRandomDBajaHeurNipo
1,0,0.000691,GrafoRandomDBajaHeurEmi
1,0,0.001637,BusquedaLocalLinealEmi
1,0,0.002001,BusquedaLocalCuadraticaEmi
1,0,0.001453,GrafoRandomDBajaHeurNipo
1,0,0.000702,GrafoRandomDBajaHeurEmi
1,0,0.001655,BusquedaLocalLinealEmi
1,0,0.001981,BusquedaLocalCuadraticaEmi
1,0,0.001433,GrafoRandomDBajaHeurNipo
1,0,0.000688,GrafoRandomDBajaHeurEmi
1,0,0.001677,BusquedaLocalLinealEmi
1,0,0.001993,BusquedaLocalCuadraticaEmi
2,0,0.001706,GrafoRandomDBajaHeurNipo
2,0,0.001605,GrafoRandomDBajaHeurEmi
2,0,0.002779,BusquedaLocalLinealEmi
2,0,0.013589,BusquedaLocalCuadraticaEmi
2,0,0.001661,GrafoRandomDBajaHeurNipo
2,0,0.001394,GrafoRandomDBajaHeurEmi
2,0,0.002547,BusquedaLocalLinealEmi
2,0,0.003242,BusquedaLocalCuadraticaEmi
2,0,0.001696,GrafoRandomDBajaHeurNipo
2,0,0.001356,GrafoRandomDBajaHeurEmi
2,0,0.002479,BusquedaLocalLinealEmi
2,0,0.003099,BusquedaLocalCuadraticaEmi
2,0,0.001657,GrafoRandomDBajaHeurNipo
2,0,0.00132,GrafoRandomDBajaHeurEmi
2,0,0.002484,BusquedaLocalLinealEmi
2,0,0.003176,BusquedaLocalCuadraticaEmi
2,0,0.00164,GrafoRandomDBajaHeurNipo
2,0,0.001344,GrafoRandomDBajaHeurEmi
2,0,0.00249,BusquedaLocalLinealEmi
2,0,0.003135,BusquedaLocalCuadraticaEmi
2,0,0.001669,GrafoRandomDBajaHeurNipo
2,0,0.001322,GrafoRandomDBajaHeurEmi
2,0,0.002522,BusquedaLocalLinealEmi
2,0,0.00316,BusquedaLocalCuadraticaEmi
2,0,0.001644,GrafoRandomDBajaHeurNipo
2,0,0.001351,GrafoRandomDBajaHeurEmi
2,0,0.002518,BusquedaLocalLinealEmi
2,0,0.003133,BusquedaLocalCuadraticaEmi
2,0,0.001644,GrafoRandomDBajaHeurNipo
2,0,0.001345,GrafoRandomDBajaHeurEmi
2,0,0.002443,BusquedaLocalLinealEmi
2,0,0.003158,BusquedaLocalCuadraticaEmi
2,0,0.001677,GrafoRandomDBajaHeurNipo
2,0,0.001314,GrafoRandomDBajaHeurEmi
2,0,0.002499,BusquedaLocalLinealEmi
2,0,0.003151,BusquedaLocalCuadraticaEmi
2,0,0.001685,GrafoRandomDBajaHeurNipo
2,0,0.001336,GrafoRandomDBajaHeurEmi
2,0,0.00249,BusquedaLocalLinealEmi
2,0,0.003169,BusquedaLocalCuadraticaEmi
2,0,0.001682,GrafoRandomDBajaHeurNipo
2,0,0.001349,GrafoRandomDBajaHeurEmi
2,0,0.002524,BusquedaLocalLinealEmi
2,0,0.003088,BusquedaLocalCuadraticaEmi
2,0,0.001647,GrafoRandomDBajaHeurNipo
2,0,0.001323,GrafoRandomDBajaHeurEmi
2,0,0.002456,BusquedaLocalLinealEmi
2,0,0.003125,BusquedaLocalCuadraticaEmi
2,0,0.001656,GrafoRandomDBajaHeurNipo
2,0,0.001355,GrafoRandomDBajaHeurEmi
2,0,0.002589,BusquedaLocalLinealEmi
2,0,0.003137,BusquedaLocalCuadraticaEmi
2,0,0.001734,GrafoRandomDBajaHeurNipo
2,0,0.001353,GrafoRandomDBajaHeurEmi
2,0,0.002456,BusquedaLocalLinealEmi
2,0,0.003112,BusquedaLocalCuadraticaEmi
2,0,0.001715,GrafoRandomDBajaHeurNipo
2,0,0.001349,GrafoRandomDBajaHeurEmi
2,0,0.002441,BusquedaLocalLinealEmi
2,0,0.003202,BusquedaLocalCuadraticaEmi
3,0,0.001916,GrafoRandomDBajaHeurNipo
3,0,0.002769,GrafoRandomDBajaHeurEmi
3,0,0.013657,BusquedaLocalLinealEmi
3,0,0.004633,BusquedaLocalCuadraticaEmi
3,0,0.001861,GrafoRandomDBajaHeurNipo
3,0,0.002471,GrafoRandomDBajaHeurEmi
3,0,0.003407,BusquedaLocalLinealEmi
3,0,0.004447,BusquedaLocalCuadraticaEmi
3,0,0.001853,GrafoRandomDBajaHeurNipo
3,0,0.00249,GrafoRandomDBajaHeurEmi
3,0,0.003384,BusquedaLocalLinealEmi
3,0,0.004335,BusquedaLocalCuadraticaEmi
3,0,0.001873,GrafoRandomDBajaHeurNipo
3,0,0.002424,GrafoRandomDBajaHeurEmi
3,0,0.003402,BusquedaLocalLinealEmi
3,0,0.004348,BusquedaLocalCuadraticaEmi
3,0,0.001843,GrafoRandomDBajaHeurNipo
3,0,0.002449,GrafoRandomDBajaHeurEmi
3,0,0.003282,BusquedaLocalLinealEmi
3,0,0.004294,BusquedaLocalCuadraticaEmi
3,0,0.001867,GrafoRandomDBajaHeurNipo
3,0,0.002406,GrafoRandomDBajaHeurEmi
3,0,0.003369,BusquedaLocalLinealEmi
3,0,0.004279,BusquedaLocalCuadraticaEmi
3,0,0.001804,GrafoRandomDBajaHeurNipo
3,0,0.002294,GrafoRandomDBajaHeurEmi
3,0,0.003304,BusquedaLocalLinealEmi
3,0,0.004266,BusquedaLocalCuadraticaEmi
3,0,0.00185,GrafoRandomDBajaHeurNipo
3,0,0.002379,GrafoRandomDBajaHeurEmi
3,0,0.003357,BusquedaLocalLinealEmi
