cantNod,Res,Tiempo,Tipo
1,0,0.003031,GrafoRandomDMediaHeurNipo
1,0,0.001363,GrafoRandomDMediaHeurEmi
1,0,0.005985,BusquedaLocalLinealEmi
1,0,0.003329,BusquedaLocalCuadraticaEmi
1,0,0.001812,GrafoRandomDMediaHeurNipo
1,0,0.000841,GrafoRandomDMediaHeurEmi
1,0,0.001888,BusquedaLocalLinealEmi
1,0,0.002306,BusquedaLocalCuadraticaEmi
1,0,0.001629,GrafoRandomDMediaHeurNipo
1,0,0.000802,GrafoRandomDMediaHeurEmi
1,0,0.001802,BusquedaLocalLinealEmi
1,0,0.002158,BusquedaLocalCuadraticaEmi
1,0,0.001572,GrafoRandomDMediaHeurNipo
1,0,0.000831,GrafoRandomDMediaHeurEmi
1,0,0.001822,BusquedaLocalLinealEmi
1,0,0.002158,BusquedaLocalCuadraticaEmi
1,0,0.001612,GrafoRandomDMediaHeurNipo
1,0,0.00077,GrafoRandomDMediaHeurEmi
1,0,0.001736,BusquedaLocalLinealEmi
1,0,0.002241,BusquedaLocalCuadraticaEmi
1,0,0.001627,GrafoRandomDMediaHeurNipo
1,0,0.000785,GrafoRandomDMediaHeurEmi
1,0,0.001783,BusquedaLocalLinealEmi
1,0,0.002221,BusquedaLocalCuadraticaEmi
1,0,0.001613,GrafoRandomDMediaHeurNipo
1,0,0.00079,GrafoRandomDMediaHeurEmi
1,0,0.001767,BusquedaLocalLinealEmi
1,0,0.002181,BusquedaLocalCuadraticaEmi
1,0,0.001638,GrafoRandomDMediaHeurNipo
1,0,0.000779,GrafoRandomDMediaHeurEmi
1,0,0.001828,BusquedaLocalLinealEmi
1,0,0.002219,BusquedaLocalCuadraticaEmi
1,0,0.001565,GrafoRandomDMediaHeurNipo
1,0,0.000791,GrafoRandomDMediaHeurEmi
1,0,0.001727,BusquedaLocalLinealEmi
1,0,0.002234,BusquedaLocalCuadraticaEmi
1,0,0.001571,GrafoRandomDMediaHeurNipo
1,0,0.000779,GrafoRandomDMediaHeurEmi
1,0,0.001769,BusquedaLocalLinealEmi
1,0,0.002211,BusquedaLocalCuadraticaEmi
1,0,0.001585,GrafoRandomDMediaHeurNipo
1,0,0.000801,GrafoRandomDMediaHeurEmi
1,0,0.001767,BusquedaLocalLinealEmi
1,0,0.002194,BusquedaLocalCuadraticaEmi
1,0,0.001573,GrafoRandomDMediaHeurNipo
1,0,0.000777,GrafoRandomDMediaHeurEmi
1,0,0.002301,BusquedaLocalLinealEmi
1,0,0.00242,BusquedaLocalCuadraticaEmi
1,0,0.001702,GrafoRandomDMediaHeurNipo
1,0,0.000842,GrafoRandomDMediaHeurEmi
1,0,0.001754,BusquedaLocalLinealEmi
1,0,0.002196,BusquedaLocalCuadraticaEmi
1,0,0.001521,GrafoRandomDMediaHeurNipo
1,0,0.000774,GrafoRandomDMediaHeurEmi
1,0,0.001797,BusquedaLocalLinealEmi
1,0,0.002148,BusquedaLocalCuadraticaEmi
1,0,0.001598,GrafoRandomDMediaHeurNipo
1,0,0.000785,GrafoRandomDMediaHeurEmi
1,0,0.001745,BusquedaLocalLinealEmi
1,0,0.002178,BusquedaLocalCuadraticaEmi
1,0,0.001532,GrafoRandomDMediaHeurNipo
1,0,0.000801,GrafoRandomDMediaHeurEmi
1,0,0.001759,BusquedaLocalLinealEmi
1,0,0.002151,BusquedaLocalCuadraticaEmi
1,0,0.001553,GrafoRandomDMediaHeurNipo
1,0,0.000793,GrafoRandomDMediaHeurEmi
1,0,0.001732,BusquedaLocalLinealEmi
1,0,0.002168,BusquedaLocalCuadraticaEmi
1,0,0.001598,GrafoRandomDMediaHeurNipo
1,0,0.000798,GrafoRandomDMediaHeurEmi
1,0,0.001726,BusquedaLocalLinealEmi
1,0,0.002237,BusquedaLocalCuadraticaEmi
1,0,0.001542,GrafoRandomDMediaHeurNipo
1,0,0.000778,GrafoRandomDMediaHeurEmi
1,0,0.001773,BusquedaLocalLinealEmi
1,0,0.002196,BusquedaLocalCuadraticaEmi
1,0,0.001601,GrafoRandomDMediaHeurNipo
1,0,0.000788,GrafoRandomDMediaHeurEmi
1,0,0.001769,BusquedaLocalLinealEmi
1,0,0.002206,BusquedaLocalCuadraticaEmi
1,0,0.001595,GrafoRandomDMediaHeurNipo
1,0,0.000779,GrafoRandomDMediaHeurEmi
1,0,0.001755,BusquedaLocalLinealEmi
1,0,0.002232,BusquedaLocalCuadraticaEmi
1,0,0.001528,GrafoRandomDMediaHeurNipo
1,0,0.000775,GrafoRandomDMediaHeurEmi
1,0,0.001757,BusquedaLocalLinealEmi
1,0,0.002179,BusquedaLocalCuadraticaEmi
1,0,0.001569,GrafoRandomDMediaHeurNipo
1,0,0.000783,GrafoRandomDMediaHeurEmi
1,0,0.001759,BusquedaLocalLinealEmi
1,0,0.00219,BusquedaLocalCuadraticaEmi
1,0,0.001668,GrafoRandomDMediaHeurNipo
1,0,0.000813,GrafoRandomDMediaHeurEmi
1,0,0.001767,BusquedaLocalLinealEmi
1,0,0.002198,BusquedaLocalCuadraticaEmi
1,0,0.001626,GrafoRandomDMediaHeurNipo
1,0,0.000783,GrafoRandomDMediaHeurEmi
1,0,0.001761,BusquedaLocalLinealEmi
1,0,0.002144,BusquedaLocalCuadraticaEmi
