cantNod,Res,Tiempo,Tipo
1,0,1.01405,Grasp
1,0,1.00723,Grasp
1,0,1.00924,Grasp
1,0,0.978991,Grasp
1,0,0.969596,Grasp
1,0,0.927367,Grasp
1,0,1.02843,Grasp
1,0,0.900006,Grasp
1,0,0.902453,Grasp
1,0,0.858587,Grasp
1,0,0.857406,Grasp
1,0,0.866222,Grasp
1,0,0.857971,Grasp
1,0,0.858223,Grasp
1,0,0.858515,Grasp
1,0,0.857842,Grasp
1,0,0.860819,Grasp
1,0,0.859763,Grasp
1,0,0.85784,Grasp
1,0,0.857818,Grasp
1,0,0.858285,Grasp
1,0,0.860863,Grasp
1,0,0.857511,Grasp
1,0,0.957708,Grasp
1,0,0.871386,Grasp
1,0,0.871549,Grasp
1,0,1.02513,Grasp
1,0,0.881537,Grasp
1,0,0.859025,Grasp
1,0,0.863402,Grasp
2,0,1.17634,Grasp
2,0,1.18018,Grasp
2,0,1.12359,Grasp
2,0,1.12662,Grasp
2,0,1.12303,Grasp
2,0,1.17384,Grasp
2,0,1.12301,Grasp
2,0,1.1198,Grasp
2,0,1.16729,Grasp
2,0,1.15816,Grasp
2,0,1.12505,Grasp
2,0,1.12377,Grasp
2,0,1.12301,Grasp
2,0,1.12376,Grasp
2,0,1.12288,Grasp
2,0,1.12375,Grasp
2,0,1.12282,Grasp
2,0,1.1263,Grasp
2,0,1.1237,Grasp
2,0,1.1252,Grasp
2,0,1.12596,Grasp
2,0,1.12377,Grasp
2,0,1.3151,Grasp
2,0,1.34711,Grasp
2,0,1.28556,Grasp
2,0,1.16317,Grasp
2,0,1.12034,Grasp
2,0,1.36367,Grasp
2,0,1.17334,Grasp
2,0,1.16163,Grasp
3,1,2.02449,Grasp
3,1,2.01421,Grasp
3,1,2.05144,Grasp
3,1,2.0117,Grasp
3,1,2.01213,Grasp
3,1,2.01132,Grasp
3,1,2.01319,Grasp
3,1,2.01086,Grasp
3,1,2.01266,Grasp
3,1,2.01877,Grasp
3,1,2.27048,Grasp
3,1,2.31812,Grasp
3,1,1.98203,Grasp
3,1,2.02868,Grasp
3,1,1.98981,Grasp
3,1,1.97717,Grasp
3,1,1.94078,Grasp
3,1,1.97696,Grasp
3,1,2.03665,Grasp
3,1,1.94381,Grasp
3,1,1.93986,Grasp
3,1,1.94068,Grasp
3,1,1.94218,Grasp
3,1,1.94352,Grasp
3,1,1.94877,Grasp
3,1,1.94814,Grasp
3,1,1.94476,Grasp
3,1,1.94049,Grasp
3,1,1.94149,Grasp
3,1,1.94089,Grasp
4,3,2.88321,Grasp
4,3,2.85105,Grasp
4,3,2.8815,Grasp
4,3,3.02908,Grasp
4,3,2.84727,Grasp
4,3,2.84623,Grasp
4,3,2.84318,Grasp
4,3,2.84555,Grasp
4,3,2.94909,Grasp
4,3,3.16401,Grasp
4,3,2.89024,Grasp
4,3,2.85274,Grasp
4,3,2.85003,Grasp
4,3,2.85664,Grasp
4,3,2.85266,Grasp
4,3,2.95508,Grasp
4,3,2.85413,Grasp
4,3,2.8516,Grasp
4,3,2.901,Grasp
4,3,2.91943,Grasp
4,3,2.89694,Grasp
4,3,2.89922,Grasp
4,3,2.90703,Grasp
4,3,2.90409,Grasp
4,3,2.85811,Grasp
4,3,2.85556,Grasp
4,3,2.85789,Grasp
4,3,2.85993,Grasp
4,3,2.85478,Grasp
4,3,2.85644,Grasp
5,4,3.78923,Grasp
5,3,3.12478,Grasp
5,4,3.89332,Grasp
5,3,3.13348,Grasp
5,4,3.757,Grasp
5,3,3.11514,Grasp
5,4,3.7584,Grasp
5,3,3.38442,Grasp
5,4,3.87662,Grasp
5,3,3.20021,Grasp
5,4,3.79276,Grasp
5,3,3.22593,Grasp
5,4,3.75569,Grasp
5,3,3.11521,Grasp
5,4,3.76041,Grasp
5,3,3.12288,Grasp
5,4,3.7574,Grasp
5,3,3.12018,Grasp
5,4,3.75632,Grasp
5,3,3.11795,Grasp
5,4,3.75874,Grasp
5,3,3.24693,Grasp
5,4,3.90731,Grasp
5,3,3.23497,Grasp
